Date,FNF,Qsim,QsimBC
1979-10-16,10.850,11.599,21.026
1979-11-16,23.050,12.018,41.134
1979-12-16,31.520,20.715,37.057
1980-01-16,383.490,451.634,290.657
1980-02-16,256.890,328.348,247.512
1980-03-16,136.450,232.528,165.038
1980-04-16,201.870,118.865,108.422
1980-05-16,320.500,198.917,189.151
1980-06-16,267.740,187.900,116.016
1980-07-16,133.590,265.716,176.127
1980-08-16,25.870,131.044,43.135
1980-09-16,12.630,38.823,29.080
1980-10-16,9.460,14.296,46.527
1980-11-16,7.380,8.525,23.311
1980-12-16,11.510,7.044,13.594
1981-01-16,40.180,9.439,15.014
1981-02-16,39.880,61.254,46.598
1981-03-16,82.460,136.843,98.862
1981-04-16,164.430,185.045,203.669
1981-05-16,164.620,199.972,200.651
1981-06-16,57.100,135.778,89.798
1981-07-16,6.290,24.797,15.787
1981-08-16,2.900,11.668,6.644
1981-09-16,4.790,6.853,3.763
1981-10-16,9.530,4.959,8.748
1981-11-16,99.700,70.756,58.550
1981-12-16,187.090,224.087,157.686
1982-01-16,169.320,249.055,182.747
1982-02-16,329.080,370.661,255.322
1982-03-16,253.190,276.781,219.638
1982-04-16,432.670,458.666,449.712
1982-05-16,440.570,361.660,504.634
1982-06-16,251.340,324.052,515.914
1982-07-16,108.700,217.830,108.235
1982-08-16,25.590,114.109,40.434
1982-09-16,38.270,26.878,25.793
1982-10-16,88.400,34.221,74.042
1982-11-16,121.710,141.906,205.131
1982-12-16,160.380,288.958,212.565
1983-01-16,182.760,201.510,145.555
1983-02-16,245.140,298.392,195.438
1983-03-16,411.480,450.073,384.116
1983-04-16,213.290,205.457,209.868
1983-05-16,504.010,310.705,379.831
1983-06-16,632.380,510.620,804.657
1983-07-16,286.500,409.271,273.595
1983-08-16,76.630,187.817,48.516
1983-09-16,28.900,58.396,54.100
1983-10-16,23.760,24.846,76.585
1983-11-16,225.130,155.010,132.949
1983-12-16,153.450,343.796,274.416
1984-01-16,144.210,207.960,151.006
1984-02-16,98.370,77.972,54.870
1984-03-16,137.020,131.680,89.058
1984-04-16,156.540,126.578,126.106
1984-05-16,297.060,286.077,369.276
1984-06-16,147.750,291.888,277.713
1984-07-16,41.250,132.709,52.537
1984-08-16,9.510,22.176,12.757
1984-09-16,0.010,11.229,12.885
1984-10-16,10.980,7.295,11.594
1984-11-16,47.680,14.457,43.266
1984-12-16,31.160,63.539,115.169
1985-01-16,26.050,50.192,50.662
1985-02-16,48.090,50.078,35.789
1985-03-16,78.630,109.766,79.600
1985-04-16,205.960,220.501,218.878
1985-05-16,171.160,286.318,370.422
1985-06-16,52.530,117.657,60.623
1985-07-16,3.470,21.972,12.397
1985-08-16,0.000,10.666,6.121
1985-09-16,2.330,6.766,3.775
1985-10-16,0.000,6.320,10.616
1985-11-16,40.271,6.302,21.641
1985-12-16,43.461,22.693,38.559
1986-01-16,98.977,121.463,89.004
1986-02-16,532.074,491.308,406.836
1986-03-16,352.657,423.779,336.312
1986-04-16,252.875,212.552,212.420
1986-05-16,300.463,261.157,333.499
1986-06-16,214.736,312.573,452.845
1986-07-16,56.527,77.669,24.742
1986-08-16,19.067,18.318,10.152
1986-09-16,25.097,10.838,6.348
1986-10-16,13.370,8.009,12.720
1986-11-16,3.187,6.125,21.434
1986-12-16,8.916,5.129,12.162
1987-01-16,12.804,4.491,10.581
1987-02-16,28.864,19.829,25.465
1987-03-16,58.541,107.013,78.526
1987-04-16,103.717,139.018,133.329
1987-05-16,94.242,141.964,133.468
1987-06-16,27.057,26.957,18.219
1987-07-16,11.213,12.385,3.593
1987-08-16,5.959,7.052,0.000
1987-09-16,4.170,4.583,0.000
1987-10-16,3.100,3.504,0.000
1987-11-16,10.407,2.754,1.961
1987-12-16,13.519,3.519,9.950
1988-01-16,26.543,14.791,26.620
1988-02-16,34.972,28.988,28.878
1988-03-16,59.147,72.864,61.359
1988-04-16,86.169,121.159,125.864
1988-05-16,82.998,105.146,89.968
1988-06-16,39.764,65.938,35.392
1988-07-16,12.432,18.865,10.320
1988-08-16,5.882,8.962,2.779
1988-09-16,3.301,5.449,1.376
1988-10-16,8.823,4.027,3.790
1988-11-16,5.970,3.013,4.984
1988-12-16,13.919,4.608,11.927
1989-01-16,17.590,13.308,24.456
1989-02-16,29.890,28.269,28.917
1989-03-16,181.145,313.073,253.136
1989-04-16,233.539,231.367,238.926
1989-05-16,161.540,179.900,174.199
1989-06-16,93.535,142.383,87.282
1989-07-16,23.555,49.125,21.813
1989-08-16,7.488,12.520,6.862
1989-09-16,1.313,7.250,4.395
1989-10-16,22.251,5.908,9.444
1989-11-16,17.364,13.823,46.362
1989-12-16,12.561,22.856,41.478
1990-01-16,24.811,38.442,41.708
1990-02-16,24.011,50.202,39.920
1990-03-16,82.528,131.365,91.339
1990-04-16,133.768,190.847,207.726
1990-05-16,87.323,111.570,92.351
1990-06-16,51.184,69.465,37.381
1990-07-16,11.952,24.852,15.934
1990-08-16,1.096,10.746,6.235
1990-09-16,0.000,6.387,3.720
1990-10-16,3.089,4.677,8.648
1990-11-16,2.107,3.453,8.808
1990-12-16,3.424,2.958,8.971
1991-01-16,2.872,2.665,7.594
1991-02-16,1.416,3.404,4.549
1991-03-16,81.118,72.780,59.148
1991-04-16,97.236,181.664,201.599
1991-05-16,182.667,134.439,94.658
1991-06-16,106.408,169.422,111.103
1991-07-16,21.339,65.103,23.632
1991-08-16,3.352,15.054,9.439
1991-09-16,6.133,8.370,5.517
1991-10-16,12.332,5.689,9.140
1991-11-16,14.211,5.724,17.165
1991-12-16,12.820,8.447,21.961
1992-01-16,18.303,13.561,26.026
1992-02-16,72.139,73.921,52.967
1992-03-16,78.405,163.652,115.515
1992-04-16,135.841,181.716,201.877
1992-05-16,94.960,143.388,153.163
1992-06-16,16.625,23.896,18.283
1992-07-16,18.507,12.088,3.387
1992-08-16,6.228,7.779,0.002
1992-09-16,5.670,5.026,0.000
1992-10-16,6.001,3.800,2.435
1992-11-16,7.932,4.128,10.017
1992-12-16,26.554,12.056,26.445
1993-01-16,182.070,249.837,182.971
1993-02-16,108.259,178.781,102.089
1993-03-16,234.133,313.546,253.652
1993-04-16,248.563,286.889,316.697
1993-05-16,406.979,386.495,535.017
1993-06-16,240.884,260.356,173.804
1993-07-16,76.140,188.120,103.735
1993-08-16,16.554,53.441,25.591
1993-09-16,2.710,13.672,17.220
1993-10-16,9.744,8.548,15.266
1993-11-16,9.813,6.107,21.150
1993-12-16,13.210,5.496,12.093
1994-01-16,15.370,6.912,13.817
1994-02-16,28.829,22.222,27.957
1994-03-16,61.352,119.466,82.579
1994-04-16,106.059,95.390,84.931
1994-05-16,159.400,138.235,102.866
1994-06-16,41.141,120.803,66.397
1994-07-16,4.276,20.694,11.607
1994-08-16,0.000,10.012,3.998
1994-09-16,5.915,6.013,2.684
1994-10-16,5.101,4.634,8.064
1994-11-16,24.188,4.898,11.560
1994-12-16,25.602,28.627,49.024
1995-01-16,229.550,359.975,199.029
1995-02-16,100.116,167.664,99.034
1995-03-16,414.536,474.469,433.784
1995-04-16,276.065,277.681,294.050
1995-05-16,484.381,457.788,637.109
1995-06-16,459.620,309.388,390.636
1995-07-16,261.207,390.740,275.687
1995-08-16,50.076,209.202,85.355
1995-09-16,17.798,41.309,30.257
