Date,FNF,Qsim,QsimBC
1979-10-16,29.209,42.466,47.816
1979-11-16,42.254,32.082,80.929
1979-12-16,49.367,30.421,69.736
1980-01-16,532.139,391.970,447.162
1980-02-16,394.146,396.043,375.728
1980-03-16,221.193,349.274,349.531
1980-04-16,312.976,162.648,247.360
1980-05-16,497.417,200.048,195.974
1980-06-16,538.735,304.281,150.422
1980-07-16,346.614,657.701,424.899
1980-08-16,58.826,430.932,131.361
1980-09-16,22.257,123.356,55.682
1980-10-16,11.252,48.930,108.770
1980-11-16,8.336,31.060,64.276
1980-12-16,25.775,25.118,49.457
1981-01-16,48.161,22.710,32.890
1981-02-16,63.489,61.915,81.396
1981-03-16,125.911,106.707,129.138
1981-04-16,243.170,155.887,237.082
1981-05-16,328.483,336.888,493.697
1981-06-16,151.210,371.966,226.261
1981-07-16,21.814,77.728,33.205
1981-08-16,19.142,45.378,17.160
1981-09-16,8.773,29.442,8.622
1981-10-16,29.096,21.681,10.666
1981-11-16,173.742,43.419,91.228
1981-12-16,220.245,146.853,248.703
1982-01-16,227.881,256.530,238.195
1982-02-16,388.399,370.470,348.280
1982-03-16,339.749,404.483,424.753
1982-04-16,660.325,554.752,636.644
1982-05-16,693.110,488.942,681.801
1982-06-16,566.805,595.004,761.054
1982-07-16,322.582,519.012,249.058
1982-08-16,79.983,369.171,85.086
1982-09-16,103.860,78.451,35.254
1982-10-16,152.862,76.509,160.673
1982-11-16,176.231,132.384,382.504
1982-12-16,244.606,286.402,401.579
1983-01-16,261.243,282.207,244.163
1983-02-16,327.834,384.730,374.996
1983-03-16,560.146,585.686,640.710
1983-04-16,303.525,299.387,340.474
1983-05-16,695.933,361.404,520.425
1983-06-16,1016.190,762.358,893.814
1983-07-16,629.625,772.746,662.077
1983-08-16,205.170,464.762,108.021
1983-09-16,58.030,134.669,98.666
1983-10-16,43.833,61.488,142.956
1983-11-16,310.276,107.386,180.474
1983-12-16,402.190,333.441,450.721
1984-01-16,175.424,309.777,278.362
1984-02-16,150.674,149.787,140.156
1984-03-16,199.589,161.317,171.191
1984-04-16,202.815,134.741,224.055
1984-05-16,535.744,326.431,366.448
1984-06-16,329.550,492.199,513.324
1984-07-16,92.967,393.808,143.734
1984-08-16,21.172,67.804,34.062
1984-09-16,6.534,37.706,18.292
1984-10-16,26.106,27.471,18.521
1984-11-16,85.226,25.490,48.768
1984-12-16,48.236,49.990,196.809
1985-01-16,40.637,47.402,77.691
1985-02-16,68.682,50.231,63.408
1985-03-16,125.917,96.512,125.276
1985-04-16,301.904,181.601,278.682
1985-05-16,341.349,453.491,600.485
1985-06-16,134.904,281.902,148.371
1985-07-16,22.584,66.709,26.000
1985-08-16,15.241,39.472,13.052
1985-09-16,17.827,27.167,6.517
1985-10-16,30.726,21.672,10.640
1985-11-16,49.202,17.958,16.659
1985-12-16,94.118,30.190,67.220
1986-01-16,129.323,76.194,110.205
1986-02-16,616.493,495.344,494.044
1986-03-16,492.540,522.194,551.925
1986-04-16,319.713,286.533,334.986
1986-05-16,540.315,377.937,537.552
1986-06-16,506.647,729.207,976.089
1986-07-16,144.170,369.070,115.887
1986-08-16,30.006,62.309,27.667
1986-09-16,17.643,37.470,18.230
1986-10-16,18.326,28.751,22.756
1986-11-16,8.274,22.740,37.638
1986-12-16,13.130,20.096,34.137
1987-01-16,6.352,18.074,22.761
1987-02-16,37.076,23.842,36.357
1987-03-16,88.982,78.398,112.086
1987-04-16,194.340,116.513,189.038
1987-05-16,203.457,327.633,393.613
1987-06-16,64.654,70.195,42.238
1987-07-16,10.193,39.354,12.715
1987-08-16,8.082,26.640,2.807
1987-09-16,2.725,19.296,0.804
1987-10-16,10.666,15.732,1.935
1987-11-16,26.144,12.559,6.221
1987-12-16,50.314,11.763,4.499
1988-01-16,70.422,22.557,31.388
1988-02-16,57.053,27.433,36.445
1988-03-16,104.925,46.888,89.491
1988-04-16,159.417,106.142,183.192
1988-05-16,212.874,191.717,189.788
1988-06-16,98.221,225.829,77.883
1988-07-16,23.503,62.634,23.311
1988-08-16,6.396,31.308,7.774
1988-09-16,0.915,21.799,4.369
1988-10-16,3.554,17.248,3.480
1988-11-16,21.228,13.473,7.153
1988-12-16,26.609,13.421,14.618
1989-01-16,36.544,20.303,24.983
1989-02-16,61.500,28.150,38.138
1989-03-16,285.046,176.506,201.904
1989-04-16,309.418,227.589,305.662
1989-05-16,320.768,265.959,320.339
1989-06-16,207.394,353.933,208.590
1989-07-16,28.061,184.052,57.553
1989-08-16,2.106,44.064,16.241
1989-09-16,9.679,28.499,6.737
1989-10-16,48.807,23.085,11.154
1989-11-16,24.878,21.381,24.992
1989-12-16,21.644,24.870,49.223
1990-01-16,38.235,31.516,56.962
1990-02-16,52.727,42.518,60.287
1990-03-16,129.680,91.253,123.921
1990-04-16,220.291,181.512,288.861
1990-05-16,181.713,252.137,297.554
1990-06-16,100.254,185.251,62.492
1990-07-16,20.080,66.501,25.233
1990-08-16,3.600,34.310,8.461
1990-09-16,0.682,23.802,4.922
1990-10-16,1.249,18.921,6.633
1990-11-16,8.477,14.672,10.900
1990-12-16,4.504,12.598,12.482
1991-01-16,4.977,10.851,4.438
1991-02-16,8.149,8.688,31.570
1991-03-16,167.738,81.917,112.403
1991-04-16,179.569,146.083,229.434
1991-05-16,335.932,154.348,174.207
1991-06-16,295.465,371.097,222.514
1991-07-16,67.290,198.407,58.822
1991-08-16,18.991,49.206,22.063
1991-09-16,6.738,30.705,10.014
1991-10-16,15.712,23.119,11.164
1991-11-16,25.216,18.594,17.377
1991-12-16,17.934,17.475,21.812
1992-01-16,25.329,23.166,36.901
1992-02-16,92.880,60.007,68.239
1992-03-16,114.853,129.732,169.229
1992-04-16,230.294,167.183,260.880
1992-05-16,189.424,388.495,543.951
1992-06-16,46.305,76.954,54.932
1992-07-16,59.231,41.716,12.601
1992-08-16,13.795,29.545,4.748
1992-09-16,4.047,21.485,2.381
1992-10-16,10.431,17.327,3.646
1992-11-16,14.271,13.986,8.370
1992-12-16,45.928,19.036,26.147
1993-01-16,278.432,175.660,177.035
1993-02-16,161.069,185.304,157.995
1993-03-16,319.015,341.172,340.702
1993-04-16,334.965,372.827,451.093
1993-05-16,630.922,562.301,830.605
1993-06-16,524.051,439.672,295.445
1993-07-16,225.810,433.226,209.176
1993-08-16,53.823,142.910,53.801
1993-09-16,24.843,44.249,21.794
1993-10-16,18.787,30.729,29.107
1993-11-16,7.484,22.645,36.214
1993-12-16,18.418,19.415,28.975
1994-01-16,21.904,17.436,6.274
1994-02-16,53.241,26.595,35.457
1994-03-16,108.309,73.014,104.624
1994-04-16,195.219,92.607,168.603
1994-05-16,275.062,209.766,206.674
1994-06-16,118.698,260.356,99.611
1994-07-16,32.885,53.012,19.990
1994-08-16,25.176,31.902,7.715
1994-09-16,9.502,22.118,4.376
1994-10-16,10.217,17.794,5.281
1994-11-16,64.214,15.060,11.753
1994-12-16,57.836,29.180,50.297
1995-01-16,347.701,288.429,250.749
1995-02-16,160.230,236.812,189.598
1995-03-16,578.656,528.961,499.661
1995-04-16,384.947,339.542,369.698
1995-05-16,658.899,498.845,728.083
1995-06-16,810.870,447.980,324.425
1995-07-16,651.643,757.097,554.804
1995-08-16,161.589,535.970,236.605
1995-09-16,35.003,135.363,104.395
1995-10-16,12.041,48.297,80.093
1995-11-16,7.169,31.822,73.125
1995-12-16,71.564,30.233,68.001
1996-01-16,129.492,74.425,104.977
1996-02-16,347.688,299.389,321.108
1996-03-16,289.540,353.376,354.459
1996-04-16,323.424,268.642,319.689
1996-05-16,576.285,510.815,778.208
1996-06-16,389.269,559.049,591.881
1996-07-16,132.903,358.888,103.548
1996-08-16,26.072,75.268,38.176
1996-09-16,10.870,39.460,20.339
1996-10-16,8.112,29.246,24.811
1996-11-16,111.871,30.913,61.188
1996-12-16,387.137,215.518,251.343
1997-01-16,1033.400,937.476,1233.603
1997-02-16,170.075,307.832,345.460
1997-03-16,231.657,174.286,192.028
1997-04-16,276.654,169.976,260.324
1997-05-16,541.541,408.654,565.187
1997-06-16,335.830,442.408,303.862
1997-07-16,57.012,307.920,89.131
1997-08-16,49.118,82.804,38.410
1997-09-16,21.295,35.351,15.320
1997-10-16,10.250,26.467,18.091
1997-11-16,18.134,20.399,24.744
1997-12-16,34.987,20.338,33.460
1998-01-16,202.111,116.873,147.055
1998-02-16,358.314,404.068,409.465
1998-03-16,353.689,322.327,313.881
1998-04-16,351.279,329.490,372.317
1998-05-16,476.635,314.730,346.788
1998-06-16,854.947,458.487,332.547
1998-07-16,559.117,760.568,634.467
1998-08-16,83.544,345.604,77.774
1998-09-16,35.323,68.854,30.003
1998-10-16,20.570,43.908,50.297
1998-11-16,48.462,31.663,67.984
1998-12-16,67.748,34.797,71.584
1999-01-16,135.958,83.124,125.218
1999-02-16,252.085,242.138,184.551
1999-03-16,170.848,220.366,255.885
1999-04-16,261.996,177.919,264.146
1999-05-16,568.878,296.644,334.733
1999-06-16,436.082,506.817,528.175
1999-07-16,109.393,339.325,83.775
1999-08-16,35.311,58.279,25.694
1999-09-16,20.075,35.533,15.555
1999-10-16,11.161,26.625,18.399
1999-11-16,17.090,20.162,23.717
1999-12-16,10.127,18.023,23.683
2000-01-16,131.569,47.792,77.549
2000-02-16,276.976,247.178,255.208
2000-03-16,252.878,331.831,332.492
2000-04-16,334.173,242.941,308.398
2000-05-16,539.373,386.018,541.290
2000-06-16,321.669,483.250,470.243
2000-07-16,70.378,179.880,56.803
2000-08-16,35.487,50.045,21.382
2000-09-16,18.367,31.905,10.125
2000-10-16,17.018,24.566,12.258
2000-11-16,16.770,19.522,19.934
2000-12-16,22.159,17.219,18.359
2001-01-16,31.936,19.523,23.734
2001-02-16,59.944,40.870,53.141
2001-03-16,179.254,108.607,126.805
2001-04-16,226.866,122.916,195.172
2001-05-16,407.945,440.869,574.341
2001-06-16,55.237,248.870,98.945
2001-07-16,12.356,59.913,22.692
2001-08-16,1.840,36.418,9.828
2001-09-16,2.299,25.231,6.261
2001-10-16,4.022,19.993,10.230
2001-11-16,39.604,15.603,12.940
2001-12-16,93.123,39.128,95.752
2002-01-16,108.717,121.158,173.142
2002-02-16,79.476,86.892,110.074
2002-03-16,141.421,123.016,164.352
2002-04-16,301.344,153.279,230.608
2002-05-16,371.721,233.399,236.724
2002-06-16,223.295,474.240,402.099
2002-07-16,24.307,115.774,37.237
2002-08-16,8.268,43.507,13.998
2002-09-16,6.172,28.504,7.228
2002-10-16,0.028,22.008,10.987
2002-11-16,68.924,18.371,16.979
2002-12-16,69.119,37.290,93.779
2003-01-16,89.266,87.428,130.460
2003-02-16,64.967,74.081,94.148
2003-03-16,123.601,97.425,125.965
2003-04-16,218.261,152.768,232.060
2003-05-16,520.406,242.395,249.295
2003-06-16,372.393,630.797,812.037
2003-07-16,55.418,201.975,67.625
2003-08-16,29.801,54.066,23.748
2003-09-16,14.910,33.876,13.269
2003-10-16,5.290,25.487,15.497
