Date,FNF,Qsim,QsimBC
1979-10-16,37.430,14.879,12.260
1979-11-16,81.560,56.549,76.303
1979-12-16,85.200,139.645,186.345
1980-01-16,239.900,261.459,246.393
1980-02-16,312.600,353.103,289.801
1980-03-16,162.500,312.394,287.490
1980-04-16,195.800,159.942,118.558
1980-05-16,201.000,126.032,122.223
1980-06-16,101.900,63.148,42.593
1980-07-16,45.180,43.870,21.702
1980-08-16,5.960,27.054,8.414
1980-09-16,3.730,17.331,4.091
1980-10-16,7.540,12.715,7.404
1980-11-16,10.690,9.391,12.992
1980-12-16,65.370,34.051,57.502
1981-01-16,132.300,77.479,81.921
1981-02-16,162.800,205.543,159.361
1981-03-16,146.100,234.194,195.234
1981-04-16,158.600,225.292,200.993
1981-05-16,124.500,130.955,132.248
1981-06-16,42.060,67.542,50.988
1981-07-16,10.930,38.976,14.128
1981-08-16,2.050,23.865,4.198
1981-09-16,1.080,15.566,1.432
1981-10-16,19.580,12.023,4.397
1981-11-16,261.560,260.204,262.214
1981-12-16,369.320,494.788,604.517
1982-01-16,104.710,214.319,191.187
1982-02-16,274.160,267.264,274.538
1982-03-16,198.130,323.809,357.308
1982-04-16,261.360,273.073,243.189
1982-05-16,301.850,353.019,378.773
1982-06-16,158.140,132.059,119.244
1982-07-16,51.190,63.340,45.591
1982-08-16,11.150,34.827,14.910
1982-09-16,5.520,21.104,8.175
1982-10-16,45.750,15.168,13.925
1982-11-16,54.510,42.445,79.376
1982-12-16,156.480,219.924,351.339
1983-01-16,231.440,266.619,289.512
1983-02-16,284.860,401.265,342.414
1983-03-16,514.810,650.728,588.842
1983-04-16,271.410,320.231,259.303
1983-05-16,560.250,376.850,385.718
1983-06-16,513.720,397.540,415.219
1983-07-16,247.970,160.389,143.445
1983-08-16,76.690,61.426,27.455
1983-09-16,32.530,32.075,17.089
1983-10-16,21.090,23.504,105.093
1983-11-16,143.720,146.032,190.663
1983-12-16,305.810,352.288,430.987
1984-01-16,163.000,246.230,235.541
1984-02-16,113.750,135.404,119.121
1984-03-16,171.530,191.945,160.480
1984-04-16,164.570,201.200,150.542
1984-05-16,262.430,203.376,189.813
1984-06-16,115.760,114.540,101.983
1984-07-16,65.690,57.201,37.216
1984-08-16,15.140,30.915,9.363
1984-09-16,16.730,19.107,6.220
1984-10-16,14.170,13.798,8.404
1984-11-16,147.160,62.063,81.252
1984-12-16,72.390,166.912,192.955
1985-01-16,50.970,101.119,130.196
1985-02-16,61.440,69.055,65.439
1985-03-16,77.000,91.340,92.911
1985-04-16,207.190,170.491,145.118
1985-05-16,122.930,134.395,148.850
1985-06-16,54.390,63.066,42.477
1985-07-16,13.950,38.458,13.282
1985-08-16,8.000,23.360,2.496
1985-09-16,8.120,17.453,3.849
1985-10-16,11.730,20.406,43.896
1985-11-16,12.380,28.701,75.415
1985-12-16,33.750,66.850,108.564
1986-01-16,152.060,155.909,141.330
1986-02-16,499.517,627.189,523.358
1986-03-16,356.720,413.662,452.961
1986-04-16,190.460,251.642,228.205
1986-05-16,194.010,176.746,175.589
1986-06-16,90.860,100.076,100.761
1986-07-16,22.860,45.175,24.541
1986-08-16,8.900,25.790,7.399
1986-09-16,12.360,16.482,2.329
1986-10-16,16.930,18.817,26.425
1986-11-16,12.627,18.815,66.260
1986-12-16,21.413,19.328,43.531
1987-01-16,46.365,25.493,54.615
1987-02-16,107.737,103.291,104.227
1987-03-16,238.150,276.651,199.246
1987-04-16,207.070,230.764,206.424
1987-05-16,157.988,127.367,123.277
1987-06-16,46.680,53.977,32.846
1987-07-16,13.490,31.241,10.421
1987-08-16,12.093,19.931,1.393
1987-09-16,0.000,13.402,0.000
1987-10-16,3.359,10.121,2.401
1987-11-16,9.619,7.388,5.698
1987-12-16,194.537,32.895,55.151
1988-01-16,103.753,81.278,83.100
1988-02-16,104.192,109.013,107.918
1988-03-16,113.200,164.466,151.961
1988-04-16,138.890,155.381,110.235
1988-05-16,140.411,137.498,157.270
1988-06-16,100.639,96.246,92.090
1988-07-16,27.020,56.929,37.324
1988-08-16,7.310,31.343,11.007
1988-09-16,0.000,19.283,7.242
1988-10-16,3.620,13.814,8.487
1988-11-16,59.617,11.295,20.541
1988-12-16,38.468,60.999,97.337
1989-01-16,45.474,66.405,72.175
1989-02-16,48.180,57.283,58.770
