Date,FNF,Qsim,QsimBC
1979-10-16,5.850,3.977,16.665
1979-11-16,7.540,4.415,16.239
1979-12-16,9.200,4.981,17.323
1980-01-16,87.170,32.687,38.951
1980-02-16,55.410,46.874,57.837
1980-03-16,41.040,40.601,42.229
1980-04-16,91.000,107.307,98.587
1980-05-16,140.480,195.485,284.465
1980-06-16,87.950,84.841,119.534
1980-07-16,41.390,28.698,45.366
1980-08-16,6.480,5.254,7.632
1980-09-16,5.800,3.488,12.521
1980-10-16,5.670,3.060,9.897
1980-11-16,8.680,2.618,13.238
1980-12-16,10.440,2.487,13.218
1981-01-16,9.770,3.007,12.263
1981-02-16,18.780,5.431,14.549
1981-03-16,18.350,19.277,24.672
1981-04-16,37.830,47.115,49.390
1981-05-16,41.160,33.653,50.559
1981-06-16,13.210,6.636,18.530
1981-07-16,1.500,3.319,5.605
1981-08-16,0.460,2.521,2.130
1981-09-16,1.300,2.073,2.226
1981-10-16,7.290,1.939,4.434
1981-11-16,80.430,44.861,117.135
1981-12-16,108.040,121.029,137.981
1982-01-16,40.260,32.726,39.090
1982-02-16,113.140,100.946,151.922
1982-03-16,62.000,71.192,74.502
1982-04-16,132.410,128.755,124.123
1982-05-16,191.370,178.326,194.259
1982-06-16,103.440,89.401,136.707
1982-07-16,42.560,29.858,46.073
1982-08-16,4.940,5.267,7.874
1982-09-16,12.910,3.301,7.870
1982-10-16,30.290,5.202,24.943
1982-11-16,24.820,18.875,33.283
1982-12-16,28.760,21.751,36.835
1983-01-16,23.390,14.797,30.018
1983-02-16,24.490,23.331,32.921
1983-03-16,87.540,76.198,80.195
1983-04-16,86.110,78.064,84.513
1983-05-16,279.720,192.224,214.400
1983-06-16,254.210,196.093,279.766
1983-07-16,92.690,55.567,86.504
1983-08-16,31.290,9.623,14.618
1983-09-16,8.300,3.710,13.732
1983-10-16,16.120,3.236,9.911
1983-11-16,84.580,32.393,55.961
1983-12-16,80.390,56.348,82.710
1984-01-16,48.440,36.279,87.942
1984-02-16,27.720,16.875,20.219
1984-03-16,57.890,48.239,43.083
1984-04-16,67.730,73.731,79.687
1984-05-16,125.270,142.535,159.324
1984-06-16,67.290,67.811,95.147
1984-07-16,19.630,13.047,26.004
1984-08-16,6.070,3.647,5.479
1984-09-16,9.040,2.784,4.979
1984-10-16,0.000,2.506,6.604
1984-11-16,19.290,2.464,9.695
1984-12-16,12.740,2.734,14.354
1985-01-16,10.570,2.549,11.157
1985-02-16,12.380,3.472,12.758
1985-03-16,23.920,9.182,18.798
1985-04-16,88.600,82.501,85.998
1985-05-16,69.200,68.536,85.511
1985-06-16,22.890,9.137,24.273
1985-07-16,6.110,3.471,5.991
1985-08-16,2.100,2.588,2.380
1985-09-16,3.200,2.123,2.701
1985-10-16,5.032,1.948,4.441
1985-11-16,8.515,1.723,6.300
1985-12-16,11.195,1.778,8.513
1986-01-16,29.232,5.845,17.032
1986-02-16,145.181,78.320,73.670
1986-03-16,156.926,80.645,86.698
1986-04-16,98.051,115.570,105.500
1986-05-16,101.679,149.929,166.546
1986-06-16,73.077,95.228,143.872
1986-07-16,19.143,10.752,21.165
1986-08-16,3.418,3.465,4.262
1986-09-16,6.217,2.650,4.563
1986-10-16,6.049,2.407,5.939
1986-11-16,6.901,2.201,9.068
1986-12-16,8.293,2.057,10.927
1987-01-16,9.683,1.898,10.025
1987-02-16,14.196,1.677,8.964
1987-03-16,24.428,6.825,17.209
1987-04-16,38.970,43.797,40.857
1987-05-16,38.027,17.058,33.625
1987-06-16,5.244,3.615,9.957
1987-07-16,1.500,2.407,3.879
1987-08-16,1.000,1.875,0.654
1987-09-16,3.300,1.553,0.674
1987-10-16,1.480,1.439,2.987
1987-11-16,6.528,1.249,4.930
1987-12-16,10.218,1.193,5.568
1988-01-16,7.961,1.242,5.526
1988-02-16,11.198,2.190,10.625
1988-03-16,18.265,10.653,23.366
1988-04-16,20.092,16.236,23.824
1988-05-16,20.800,10.810,24.428
1988-06-16,10.068,4.512,13.850
1988-07-16,1.463,1.856,0.983
1988-08-16,0.000,1.338,0.000
1988-09-16,0.000,1.099,0.000
1988-10-16,2.239,1.014,0.000
1988-11-16,12.910,0.939,2.821
1988-12-16,9.409,0.951,3.519
1989-01-16,9.221,1.194,4.302
1989-02-16,15.745,2.746,11.213
1989-03-16,87.013,56.395,52.645
1989-04-16,98.865,113.821,102.359
1989-05-16,70.929,82.813,101.862
1989-06-16,45.576,27.332,47.954
1989-07-16,7.019,4.282,8.887
1989-08-16,3.390,2.791,3.081
1989-09-16,4.571,2.250,3.023
1989-10-16,10.002,2.318,5.139
1989-11-16,9.616,4.142,15.605
1989-12-16,8.745,4.452,16.019
1990-01-16,12.554,6.414,21.780
1990-02-16,10.945,4.900,13.786
1990-03-16,31.590,37.172,36.670
1990-04-16,59.494,68.634,69.801
1990-05-16,33.904,12.821,26.019
1990-06-16,18.232,9.771,25.551
1990-07-16,3.791,3.294,5.522
1990-08-16,1.888,2.335,1.580
1990-09-16,3.250,1.870,1.860
1990-10-16,3.406,1.700,3.621
1990-11-16,3.509,1.500,5.371
1990-12-16,4.166,1.421,6.513
1991-01-16,4.475,1.333,6.832
1991-02-16,6.328,1.259,7.946
1991-03-16,24.730,5.753,13.494
1991-04-16,30.420,43.688,40.779
1991-05-16,47.230,38.621,58.212
1991-06-16,34.348,17.616,33.856
1991-07-16,6.792,3.944,7.874
1991-08-16,2.794,2.393,1.785
1991-09-16,2.159,1.856,1.731
1991-10-16,4.434,1.723,3.621
1991-11-16,7.234,1.480,5.142
1991-12-16,6.388,1.743,8.450
1992-01-16,5.953,1.715,9.687
1992-02-16,14.254,6.340,15.818
1992-03-16,22.369,26.661,28.372
1992-04-16,39.927,34.658,33.259
1992-05-16,22.125,8.249,20.941
1992-06-16,6.715,2.661,4.642
1992-07-16,2.323,1.929,1.152
1992-08-16,0.976,1.652,0.167
1992-09-16,1.218,1.378,0.000
1992-10-16,3.601,1.276,2.090
1992-11-16,4.216,1.086,3.506
1992-12-16,10.518,1.271,5.948
1993-01-16,15.964,1.369,6.702
1993-02-16,14.741,1.653,8.857
1993-03-16,76.892,61.343,55.945
1993-04-16,110.359,150.803,151.219
1993-05-16,159.866,157.555,175.035
1993-06-16,96.341,60.232,78.064
1993-07-16,25.017,12.224,22.621
1993-08-16,5.667,3.546,4.279
1993-09-16,3.045,2.646,4.565
1993-10-16,6.071,2.367,5.726
1993-11-16,5.063,2.036,8.452
1993-12-16,8.149,1.944,10.449
1994-01-16,6.008,2.245,10.672
1994-02-16,8.751,1.894,10.603
1994-03-16,24.076,17.613,24.185
1994-04-16,27.770,29.641,30.062
1994-05-16,29.711,17.476,38.300
1994-06-16,9.849,4.067,10.802
1994-07-16,1.022,2.370,3.551
1994-08-16,0.159,1.848,0.912
1994-09-16,1.323,1.538,0.610
1994-10-16,4.547,1.420,2.930
1994-11-16,5.172,1.246,4.910
1994-12-16,8.676,1.318,6.014
1995-01-16,38.972,10.177,23.403
1995-02-16,33.879,23.415,32.100
1995-03-16,117.982,116.316,149.462
1995-04-16,103.488,86.383,86.439
1995-05-16,187.264,190.342,238.995
1995-06-16,170.856,129.990,204.287
