Date,FNF,Qsim,QsimBC
1979-10-16,1.110,2.136,2.106
1979-11-16,1.290,3.343,2.216
1979-12-16,1.050,5.102,3.156
1980-01-16,7.140,23.065,11.217
1980-02-16,4.390,12.670,12.644
1980-03-16,3.970,10.202,9.978
1980-04-16,15.330,8.078,6.861
1980-05-16,28.820,36.071,25.261
1980-06-16,19.310,30.699,19.920
1980-07-16,11.630,17.373,15.304
1980-08-16,3.630,5.157,5.035
1980-09-16,2.330,2.641,2.936
1980-10-16,1.580,1.871,1.836
1980-11-16,1.360,1.488,1.393
1980-12-16,1.470,1.970,1.404
1981-01-16,1.420,3.252,2.071
1981-02-16,2.300,3.471,2.185
1981-03-16,2.880,4.524,3.546
1981-04-16,11.740,11.403,7.980
1981-05-16,11.750,25.203,14.619
1981-06-16,4.690,9.144,6.419
1981-07-16,2.140,4.195,2.019
1981-08-16,1.460,2.350,1.223
1981-09-16,0.750,1.442,0.811
1981-10-16,1.130,1.067,0.883
1981-11-16,6.280,5.899,2.919
1981-12-16,9.710,15.771,11.252
1982-01-16,4.730,11.378,6.672
1982-02-16,10.090,7.609,4.047
1982-03-16,7.380,9.874,8.564
1982-04-16,17.370,13.390,9.623
1982-05-16,37.580,57.862,41.137
1982-06-16,25.160,39.372,30.783
1982-07-16,11.990,13.529,12.620
1982-08-16,4.100,4.770,4.348
1982-09-16,2.970,2.686,2.867
1982-10-16,4.890,5.588,3.327
1982-11-16,5.240,11.261,11.023
1982-12-16,3.950,7.036,3.583
1983-01-16,3.420,4.756,2.370
1983-02-16,3.090,3.264,2.050
1983-03-16,4.820,3.967,3.296
1983-04-16,6.590,4.381,1.905
1983-05-16,38.080,27.383,14.739
1983-06-16,59.310,83.641,59.372
1983-07-16,26.600,36.008,29.385
1983-08-16,13.100,8.003,7.365
1983-09-16,7.160,5.087,6.381
1983-10-16,3.210,5.592,4.894
1983-11-16,9.280,8.760,5.099
1983-12-16,8.910,8.969,3.957
1984-01-16,6.200,6.858,3.902
1984-02-16,4.090,4.098,2.767
1984-03-16,7.470,4.133,3.312
1984-04-16,14.630,7.319,5.814
1984-05-16,30.460,49.783,37.381
1984-06-16,16.850,31.423,21.294
1984-07-16,6.550,9.154,7.234
1984-08-16,3.030,4.196,3.816
1984-09-16,2.300,2.442,2.641
1984-10-16,2.110,1.823,1.714
1984-11-16,2.690,3.532,2.247
1984-12-16,3.150,4.492,1.953
1985-01-16,2.520,3.230,1.989
1985-02-16,2.360,2.310,1.419
1985-03-16,2.960,2.328,2.352
1985-04-16,16.470,14.381,10.101
1985-05-16,14.990,35.423,25.377
1985-06-16,6.720,8.424,5.577
1985-07-16,2.760,3.826,1.821
1985-08-16,2.250,2.167,1.049
1985-09-16,1.970,1.610,1.016
1985-10-16,1.430,2.478,3.126
1985-11-16,1.440,3.551,2.307
1985-12-16,1.980,3.505,1.779
1986-01-16,3.330,3.157,1.785
1986-02-16,8.700,4.367,3.131
1986-03-16,18.250,12.432,11.360
1986-04-16,23.200,25.635,17.676
1986-05-16,29.660,47.979,34.677
1986-06-16,20.800,30.660,19.236
1986-07-16,7.420,7.068,5.471
1986-08-16,3.610,3.455,2.460
1986-09-16,2.580,2.099,2.062
1986-10-16,1.880,2.059,2.062
1986-11-16,1.620,2.040,1.617
1986-12-16,2.040,1.755,1.236
1987-01-16,2.050,1.442,1.232
1987-02-16,1.870,1.166,1.110
1987-03-16,2.760,2.315,2.332
1987-04-16,9.200,16.195,13.112
1987-05-16,12.030,14.029,8.086
1987-06-16,3.210,6.310,2.958
1987-07-16,2.020,3.750,1.737
1987-08-16,1.440,2.258,1.150
1987-09-16,0.866,1.420,0.776
1987-10-16,0.874,1.016,0.812
1987-11-16,1.260,0.780,0.879
1987-12-16,1.883,1.148,1.040
1988-01-16,2.000,1.575,1.302
1988-02-16,2.098,1.713,1.341
1988-03-16,3.070,3.738,3.286
1988-04-16,5.530,17.830,15.319
1988-05-16,6.410,10.253,5.416
1988-06-16,3.970,5.115,2.196
1988-07-16,1.730,3.326,1.220
1988-08-16,0.981,2.064,0.954
1988-09-16,0.766,1.336,0.754
1988-10-16,0.509,0.979,0.811
1988-11-16,0.825,0.708,0.837
1988-12-16,1.080,0.769,0.949
1989-01-16,1.140,0.884,1.031
1989-02-16,1.320,1.201,1.149
1989-03-16,9.880,7.971,5.609
1989-04-16,20.900,32.073,24.494
1989-05-16,15.360,31.895,17.822
1989-06-16,9.270,14.574,11.527
1989-07-16,3.060,5.627,2.753
1989-08-16,2.100,2.872,1.487
1989-09-16,1.820,1.820,1.132
1989-10-16,1.690,2.306,2.888
1989-11-16,1.530,4.795,2.987
1989-12-16,1.410,5.309,3.299
1990-01-16,1.470,4.334,2.288
1990-02-16,1.130,3.268,2.102
1990-03-16,3.960,4.593,3.548
1990-04-16,10.820,20.505,16.627
1990-05-16,7.230,13.958,8.022
1990-06-16,4.260,7.391,5.076
1990-07-16,1.630,4.577,2.552
1990-08-16,1.488,2.838,1.479
1990-09-16,1.363,1.887,1.260
1990-10-16,0.787,1.557,1.562
1990-11-16,0.780,1.402,1.349
1990-12-16,0.787,1.391,1.159
1991-01-16,1.020,1.311,1.169
1991-02-16,0.958,1.359,1.327
1991-03-16,1.670,3.022,2.768
1991-04-16,5.940,10.046,7.784
1991-05-16,14.560,21.815,12.106
1991-06-16,8.370,18.192,14.906
1991-07-16,2.190,6.584,5.321
1991-08-16,1.254,3.693,3.051
1991-09-16,0.910,2.358,2.518
1991-10-16,0.935,1.811,1.730
1991-11-16,1.261,2.330,1.823
1991-12-16,1.174,3.972,1.943
1992-01-16,1.100,3.347,2.128
1992-02-16,1.400,2.674,1.880
1992-03-16,2.850,3.680,3.254
1992-04-16,8.280,21.042,16.757
1992-05-16,5.720,13.982,8.122
1992-06-16,2.140,5.023,2.199
1992-07-16,1.590,3.760,1.817
1992-08-16,0.941,3.017,1.800
1992-09-16,0.690,2.094,2.063
1992-10-16,0.618,1.688,1.629
1992-11-16,1.000,2.539,2.039
1992-12-16,1.131,3.154,1.739
1993-01-16,1.350,2.609,1.599
1993-02-16,1.420,1.942,1.400
1993-03-16,5.580,6.055,4.800
1993-04-16,15.950,18.210,15.341
1993-05-16,35.380,60.659,54.309
1993-06-16,18.640,30.339,18.962
1993-07-16,7.920,10.944,11.695
1993-08-16,2.926,3.862,3.620
1993-09-16,2.065,2.117,2.302
1993-10-16,1.543,1.451,1.306
1993-11-16,1.267,1.212,1.240
1993-12-16,1.408,1.177,1.056
1994-01-16,1.480,1.254,1.120
1994-02-16,1.170,1.242,1.254
1994-03-16,2.370,3.241,2.842
1994-04-16,6.460,15.374,11.864
1994-05-16,7.060,17.198,12.046
1994-06-16,2.930,7.488,5.355
1994-07-16,1.370,3.747,1.760
1994-08-16,0.818,2.153,1.076
1994-09-16,0.714,1.342,0.767
1994-10-16,1.015,1.046,0.819
1994-11-16,1.422,1.249,1.266
1994-12-16,1.408,2.026,1.417
1995-01-16,2.290,2.566,1.476
1995-02-16,3.360,2.803,1.907
1995-03-16,10.830,9.916,7.698
1995-04-16,15.100,14.972,11.163
1995-05-16,49.440,42.382,29.983
1995-06-16,44.440,62.605,47.480
1995-07-16,26.230,32.142,23.846
1995-08-16,7.090,7.704,10.917
1995-09-16,3.200,3.117,4.074
1995-10-16,2.050,1.936,1.851
1995-11-16,1.820,1.269,1.273
1995-12-16,3.080,1.914,1.372
1996-01-16,3.010,6.073,3.375
1996-02-16,7.660,9.237,8.819
1996-03-16,7.450,8.962,6.895
1996-04-16,18.730,17.640,14.719
1996-05-16,33.750,56.625,38.057
1996-06-16,15.490,20.507,14.472
1996-07-16,5.670,6.541,3.366
1996-08-16,2.510,3.310,2.153
1996-09-16,1.860,2.028,1.812
1996-10-16,1.700,1.469,1.373
1996-11-16,3.090,2.024,1.607
1996-12-16,3.725,8.607,3.967
1997-01-16,23.360,34.647,15.292
1997-02-16,4.310,7.985,5.550
1997-03-16,12.220,8.684,6.399
1997-04-16,23.140,28.406,21.052
1997-05-16,11.665,34.942,24.064
1997-06-16,13.560,12.252,8.005
1997-07-16,3.400,6.147,3.056
1997-08-16,2.510,3.231,2.060
1997-09-16,2.050,1.944,1.362
1997-10-16,1.920,1.422,1.125
1997-11-16,1.730,1.230,1.261
1997-12-16,1.750,1.411,1.141
1998-01-16,2.410,1.902,1.354
1998-02-16,2.020,2.363,1.421
1998-03-16,8.780,5.354,3.961
1998-04-16,11.960,10.805,7.797
1998-05-16,25.720,34.282,20.782
1998-06-16,35.120,50.092,41.108
1998-07-16,16.000,19.130,14.607
1998-08-16,5.170,5.221,4.884
1998-09-16,3.910,2.798,3.016
1998-10-16,2.070,3.018,3.416
1998-11-16,2.190,3.205,2.126
1998-12-16,2.320,4.938,2.551
1999-01-16,2.200,4.444,2.323
1999-02-16,2.450,3.915,2.356
1999-03-16,3.690,4.892,3.762
1999-04-16,9.530,9.257,7.559
1999-05-16,35.280,45.823,30.922
1999-06-16,21.010,28.708,17.186
1999-07-16,6.430,8.474,6.555
1999-08-16,3.080,3.488,2.510
1999-09-16,2.060,2.059,1.847
1999-10-16,1.600,1.488,1.449
1999-11-16,1.830,1.205,1.216
1999-12-16,1.690,1.447,1.166
2000-01-16,1.650,1.594,1.306
2000-02-16,1.880,2.440,1.529
