Date,FNF,Qsim,QsimBC
1979-10-16,2.990,7.495,5.368
1979-11-16,2.990,5.370,4.227
1979-12-16,3.100,4.766,4.084
1980-01-16,10.240,7.329,5.270
1980-02-16,6.770,10.777,8.805
1980-03-16,6.530,11.237,7.667
1980-04-16,21.490,21.394,18.070
1980-05-16,53.190,41.338,36.307
1980-06-16,73.710,94.211,74.164
1980-07-16,69.410,135.378,99.287
1980-08-16,18.510,37.995,35.981
1980-09-16,6.690,15.432,14.228
1980-10-16,4.340,9.835,10.425
1980-11-16,3.290,6.726,6.058
1980-12-16,3.080,5.451,4.613
1981-01-16,2.590,4.924,4.015
1981-02-16,3.180,4.989,4.062
1981-03-16,4.310,8.059,6.552
1981-04-16,17.720,17.369,14.923
1981-05-16,35.290,64.217,50.258
1981-06-16,27.350,38.405,45.991
1981-07-16,6.350,15.517,12.734
1981-08-16,2.890,9.378,3.798
1981-09-16,1.810,6.261,2.129
1981-10-16,2.350,4.787,1.990
1981-11-16,7.260,3.998,3.008
1981-12-16,9.020,6.315,5.601
1982-01-16,5.380,8.511,7.145
1982-02-16,11.860,10.994,7.489
1982-03-16,8.770,14.495,10.484
1982-04-16,28.460,20.934,17.960
1982-05-16,74.730,77.236,66.448
1982-06-16,81.010,164.767,122.819
1982-07-16,61.550,91.129,74.268
1982-08-16,23.450,26.009,23.187
1982-09-16,14.550,12.572,9.707
1982-10-16,13.480,10.447,11.005
1982-11-16,10.390,12.905,11.729
1982-12-16,7.170,12.516,9.028
1983-01-16,6.260,9.848,8.463
1983-02-16,5.720,7.094,5.288
1983-03-16,8.740,6.619,4.883
1983-04-16,11.910,10.796,7.744
1983-05-16,61.760,59.090,46.223
1983-06-16,123.000,167.666,120.690
1983-07-16,85.050,127.827,95.721
1983-08-16,40.740,38.145,25.607
1983-09-16,14.630,16.094,14.861
1983-10-16,7.330,10.195,12.281
1983-11-16,10.740,7.343,6.306
1983-12-16,8.730,7.654,7.675
1984-01-16,8.310,8.447,6.211
1984-02-16,5.850,7.204,5.392
1984-03-16,9.940,12.340,8.715
1984-04-16,18.310,23.688,19.323
1984-05-16,68.430,100.581,74.155
1984-06-16,57.330,90.548,73.500
1984-07-16,31.720,24.730,32.991
1984-08-16,10.810,12.406,9.450
1984-09-16,5.970,7.732,3.847
1984-10-16,4.450,5.700,3.280
1984-11-16,4.510,4.578,3.286
1984-12-16,4.180,5.005,4.513
1985-01-16,3.380,4.830,3.896
1985-02-16,3.280,4.007,3.452
1985-03-16,5.360,4.962,3.959
1985-04-16,25.440,24.460,19.443
1985-05-16,42.720,84.269,68.465
1985-06-16,32.540,25.016,38.417
1985-07-16,8.380,13.270,7.933
1985-08-16,3.730,8.372,2.772
1985-09-16,3.640,5.735,1.422
1985-10-16,5.530,4.580,1.497
1985-11-16,4.090,4.055,3.064
1985-12-16,4.610,4.138,3.303
1986-01-16,5.280,4.341,3.459
1986-02-16,11.710,10.304,6.689
1986-03-16,21.850,20.974,15.676
1986-04-16,31.230,43.373,34.227
1986-05-16,67.690,115.514,107.284
1986-06-16,89.850,85.312,70.017
1986-07-16,35.540,21.528,18.932
1986-08-16,11.770,11.279,6.007
1986-09-16,5.320,7.194,3.556
1986-10-16,4.670,5.384,3.011
1986-11-16,3.020,4.044,3.092
1986-12-16,3.300,3.392,2.644
1987-01-16,2.880,2.811,2.297
1987-02-16,2.880,2.179,2.138
1987-03-16,3.730,2.620,2.577
1987-04-16,15.910,23.668,19.292
1987-05-16,27.770,27.212,24.096
1987-06-16,14.040,14.843,12.455
1987-07-16,3.960,10.178,4.555
1987-08-16,2.210,7.080,2.255
1987-09-16,1.320,5.054,1.177
1987-10-16,1.331,4.009,1.274
1987-11-16,3.060,3.069,1.350
1987-12-16,8.640,2.610,1.383
1988-01-16,4.020,2.279,1.786
1988-02-16,3.740,1.999,2.087
1988-03-16,4.870,6.362,4.303
1988-04-16,11.090,31.932,25.761
1988-05-16,23.210,20.822,22.348
1988-06-16,19.910,14.718,12.327
1988-07-16,6.670,10.136,3.960
1988-08-16,2.680,6.944,1.964
1988-09-16,1.490,4.945,1.144
1988-10-16,1.320,3.925,1.212
1988-11-16,1.800,3.008,1.266
1988-12-16,2.210,2.520,1.282
1989-01-16,2.520,2.087,1.354
1989-02-16,3.090,1.634,1.393
1989-03-16,9.740,7.474,6.109
1989-04-16,25.910,25.298,20.123
1989-05-16,38.880,62.922,50.123
1989-06-16,46.370,52.658,49.444
1989-07-16,14.590,18.924,16.593
1989-08-16,5.160,10.564,5.786
1989-09-16,3.540,6.912,2.936
1989-10-16,3.530,5.550,3.117
1989-11-16,3.160,4.970,3.813
1989-12-16,2.690,6.161,5.674
1990-01-16,2.000,5.881,4.814
1990-02-16,2.400,4.772,3.778
1990-03-16,6.570,6.550,4.714
1990-04-16,19.940,38.710,28.362
