Date,FNF,Qsim,QsimBC
1979-10-16,36.470,16.387,38.766
1979-11-16,74.380,41.810,113.676
1979-12-16,127.190,117.002,174.701
1980-01-16,945.710,1079.053,1043.565
1980-02-16,598.840,735.100,678.098
1980-03-16,315.690,372.372,342.604
1980-04-16,335.990,226.895,197.222
1980-05-16,397.220,249.222,283.892
1980-06-16,224.370,145.484,141.208
1980-07-16,86.110,57.485,66.425
1980-08-16,25.440,24.019,16.137
1980-09-16,18.550,15.540,18.217
1980-10-16,21.120,11.845,23.451
1980-11-16,25.120,8.801,29.010
1980-12-16,55.440,8.942,30.165
1981-01-16,101.320,43.924,50.921
1981-02-16,166.400,181.756,138.036
1981-03-16,226.640,319.076,243.660
1981-04-16,248.740,283.509,260.843
1981-05-16,179.430,158.006,203.655
1981-06-16,46.680,50.467,57.417
1981-07-16,16.810,29.316,22.164
1981-08-16,12.210,19.396,12.346
1981-09-16,0.000,13.463,13.449
1981-10-16,40.170,12.215,23.839
1981-11-16,613.440,600.105,640.998
1981-12-16,777.120,883.657,975.328
1982-01-16,375.900,357.869,310.739
1982-02-16,669.230,726.909,595.507
1982-03-16,468.080,441.048,402.648
1982-04-16,885.170,860.585,807.431
1982-05-16,635.660,506.183,584.427
1982-06-16,304.920,273.840,374.925
1982-07-16,101.090,99.745,120.427
1982-08-16,26.470,29.949,38.459
1982-09-16,29.140,18.009,21.456
1982-10-16,119.320,39.740,162.324
1982-11-16,190.520,173.931,305.814
1982-12-16,361.350,480.635,437.145
1983-01-16,309.610,389.762,364.803
1983-02-16,565.660,596.333,516.761
1983-03-16,926.430,917.429,815.673
1983-04-16,428.030,416.798,425.195
1983-05-16,714.990,537.063,672.680
1983-06-16,713.380,587.432,729.111
1983-07-16,275.210,295.598,247.875
1983-08-16,61.550,58.541,63.304
1983-09-16,33.080,24.584,40.269
1983-10-16,51.200,17.912,43.627
1983-11-16,519.170,486.049,521.326
1983-12-16,816.280,774.104,792.484
1984-01-16,308.410,292.412,269.207
1984-02-16,243.570,234.120,187.081
1984-03-16,325.650,319.081,231.781
1984-04-16,254.720,239.762,201.490
1984-05-16,395.610,394.844,441.896
1984-06-16,175.130,254.894,314.355
1984-07-16,41.450,58.588,68.804
1984-08-16,13.530,24.350,17.927
1984-09-16,18.680,16.031,18.679
1984-10-16,33.660,12.365,24.473
1984-11-16,172.430,77.511,180.481
1984-12-16,96.550,128.666,188.517
1985-01-16,60.980,93.533,87.817
1985-02-16,126.980,170.035,137.287
1985-03-16,162.240,207.003,172.584
1985-04-16,327.960,358.511,327.240
1985-05-16,233.010,239.947,282.360
1985-06-16,60.870,54.172,61.549
1985-07-16,13.740,28.167,19.143
1985-08-16,13.490,18.629,11.883
1985-09-16,16.660,13.060,10.689
1985-10-16,36.015,10.203,17.741
1985-11-16,53.445,7.913,19.549
1985-12-16,112.286,64.782,109.259
1986-01-16,275.109,271.946,228.169
1986-02-16,1351.200,1376.562,1463.125
1986-03-16,791.545,728.541,623.688
1986-04-16,317.480,294.364,307.722
1986-05-16,294.265,315.660,396.346
1986-06-16,144.379,242.526,282.831
1986-07-16,36.231,49.927,50.084
1986-08-16,17.686,22.402,15.454
1986-09-16,41.983,16.090,18.692
1986-10-16,37.149,13.185,33.682
1986-11-16,23.822,12.509,58.192
1986-12-16,26.339,12.481,46.177
1987-01-16,48.761,22.062,40.008
1987-02-16,155.869,175.967,136.487
1987-03-16,217.800,294.887,208.366
1987-04-16,199.700,245.011,209.024
1987-05-16,113.785,99.536,107.515
1987-06-16,24.786,37.222,27.558
1987-07-16,16.000,24.506,13.515
1987-08-16,12.550,16.835,4.953
1987-09-16,6.449,11.933,6.324
1987-10-16,6.474,9.415,14.019
1987-11-16,17.422,7.166,19.066
1987-12-16,141.051,46.896,76.948
1988-01-16,155.886,209.302,175.697
1988-02-16,92.695,145.862,112.982
1988-03-16,145.581,187.811,164.646
1988-04-16,157.460,169.572,187.015
1988-05-16,124.113,115.518,170.017
1988-06-16,53.020,55.218,70.467
1988-07-16,14.172,30.960,24.511
1988-08-16,7.702,20.237,13.120
1988-09-16,3.369,13.905,14.396
1988-10-16,7.210,10.751,20.751
1988-11-16,136.815,54.885,118.259
1988-12-16,71.187,77.768,128.912
1989-01-16,85.484,130.172,103.602
1989-02-16,137.408,192.783,162.304
1989-03-16,854.198,1005.371,971.660
1989-04-16,507.918,416.883,425.503
1989-05-16,282.300,289.386,333.407
1989-06-16,77.636,103.505,112.858
1989-07-16,62.121,34.869,27.406
1989-08-16,17.986,21.638,13.521
1989-09-16,21.770,14.809,17.071
1989-10-16,60.573,18.415,49.502
1989-11-16,57.573,52.085,126.737
1989-12-16,38.046,77.139,124.221
1990-01-16,138.271,182.353,137.205
1990-02-16,100.862,148.750,128.122
1990-03-16,231.757,318.522,224.901
1990-04-16,243.169,263.651,228.321
1990-05-16,191.153,116.126,168.629
1990-06-16,121.091,152.276,177.231
1990-07-16,35.266,44.970,38.208
1990-08-16,10.651,26.897,27.816
1990-09-16,9.306,17.557,21.279
1990-10-16,14.016,13.155,33.718
1990-11-16,18.584,9.708,36.193
1990-12-16,21.324,7.885,26.482
1991-01-16,19.904,6.591,29.652
1991-02-16,30.928,7.115,4.829
1991-03-16,323.005,362.067,325.661
1991-04-16,263.397,384.461,335.544
1991-05-16,294.319,252.027,292.060
1991-06-16,142.678,110.076,106.206
1991-07-16,30.590,43.636,35.269
1991-08-16,6.912,26.283,26.206
1991-09-16,13.362,17.407,21.149
1991-10-16,17.421,15.581,37.352
1991-11-16,29.289,10.070,42.104
1991-12-16,33.968,12.766,47.147
1992-01-16,39.898,41.174,52.279
1992-02-16,242.497,354.459,309.383
1992-03-16,196.894,334.310,308.616
1992-04-16,218.512,260.438,226.110
1992-05-16,90.960,76.061,106.714
1992-06-16,19.230,35.632,26.667
1992-07-16,13.403,23.867,13.575
1992-08-16,4.189,16.448,4.996
1992-09-16,5.865,11.754,5.841
1992-10-16,20.079,9.390,12.032
1992-11-16,19.557,7.931,21.986
1992-12-16,111.419,52.779,91.049
1993-01-16,452.462,570.482,484.435
1993-02-16,294.019,372.529,353.404
1993-03-16,565.041,599.879,513.227
1993-04-16,425.478,446.846,461.417
1993-05-16,554.562,514.851,632.571
1993-06-16,329.563,296.667,448.017
1993-07-16,82.114,67.970,86.955
1993-08-16,28.697,30.686,44.257
1993-09-16,20.346,19.473,29.105
1993-10-16,29.030,14.551,36.497
1993-11-16,22.911,10.534,43.035
1993-12-16,69.470,28.553,61.274
1994-01-16,51.842,45.143,61.386
1994-02-16,102.985,143.578,101.822
1994-03-16,171.795,248.602,191.341
1994-04-16,186.242,213.723,198.636
1994-05-16,167.944,127.024,187.027
1994-06-16,44.397,45.891,47.979
1994-07-16,16.502,27.950,18.856
1994-08-16,4.467,18.599,11.885
1994-09-16,9.952,12.944,10.430
1994-10-16,17.058,10.119,16.617
1994-11-16,43.432,8.118,22.920
1994-12-16,146.362,167.347,192.611
1995-01-16,806.183,965.192,705.932
1995-02-16,321.931,283.078,242.774
1995-03-16,992.737,1039.051,957.465
1995-04-16,554.837,537.361,526.736
1995-05-16,829.221,748.362,876.819
1995-06-16,551.985,504.686,639.068
1995-07-16,237.987,303.644,282.701
1995-08-16,44.648,64.010,74.027
1995-09-16,24.092,25.632,43.773
1995-10-16,19.237,17.542,43.755
1995-11-16,17.462,12.390,55.940
1995-12-16,201.929,90.104,141.228
1996-01-16,267.295,338.994,301.894
1996-02-16,828.883,870.024,808.640
1996-03-16,402.941,410.544,366.673
1996-04-16,456.923,484.395,487.089
1996-05-16,762.338,670.155,800.093
1996-06-16,196.974,148.656,143.507
1996-07-16,40.853,46.521,37.834
1996-08-16,32.889,26.775,26.304
1996-09-16,19.659,18.275,24.382
1996-10-16,22.128,13.142,30.236
1996-11-16,114.426,31.556,74.703
1996-12-16,911.505,825.833,835.848
1997-01-16,1481.870,1483.296,1459.872
1997-02-16,298.958,261.614,201.739
1997-03-16,214.771,218.917,172.547
1997-04-16,291.703,288.927,272.577
1997-05-16,247.393,238.347,282.031
1997-06-16,102.315,77.139,91.153
1997-07-16,20.707,28.490,19.490
1997-08-16,7.545,18.231,9.026
1997-09-16,15.214,12.685,8.780
1997-10-16,27.770,10.589,19.563
1997-11-16,65.947,19.567,71.893
1997-12-16,85.785,87.923,141.161
1998-01-16,529.169,617.411,468.537
1998-02-16,566.020,658.377,564.892
1998-03-16,453.535,437.628,378.111
1998-04-16,433.276,381.224,327.936
1998-05-16,586.701,554.605,724.634
1998-06-16,594.893,520.015,658.695
1998-07-16,200.881,212.250,243.942
1998-08-16,43.589,43.669,50.995
1998-09-16,34.170,24.276,38.226
1998-10-16,37.396,17.243,40.985
1998-11-16,106.135,31.375,74.374
1998-12-16,190.856,249.267,259.309
1999-01-16,353.976,351.421,299.734
1999-02-16,523.020,542.615,480.110
1999-03-16,370.693,362.018,322.993
1999-04-16,306.349,290.041,292.151
1999-05-16,466.157,412.780,464.065
1999-06-16,283.800,270.051,335.600
1999-07-16,67.012,66.672,85.751
1999-08-16,17.899,25.226,25.074
1999-09-16,20.837,16.419,18.908
1999-10-16,33.852,13.141,29.022
1999-11-16,41.418,10.160,42.470
1999-12-16,38.573,13.732,50.328
2000-01-16,254.927,220.257,184.277
2000-02-16,538.798,659.796,566.739
2000-03-16,399.821,441.357,428.104
2000-04-16,385.592,425.642,440.281
2000-05-16,364.468,309.655,376.862
2000-06-16,102.642,95.197,96.686
2000-07-16,34.685,34.505,27.221
2000-08-16,15.345,21.712,13.908
2000-09-16,18.757,14.773,16.399
2000-10-16,18.602,11.366,22.305
2000-11-16,42.478,8.796,27.122
2000-12-16,43.678,9.991,38.630
2001-01-16,48.010,24.973,42.342
2001-02-16,93.886,98.933,92.478
