Date,FNF,Qsim,QsimBC
1979-10-16,31.190,84.707,47.435
1979-11-16,66.400,66.382,86.195
1979-12-16,93.680,67.770,151.413
1980-01-16,1207.960,895.387,597.867
1980-02-16,716.760,780.489,711.755
1980-03-16,402.850,630.778,659.144
1980-04-16,407.070,266.496,314.979
1980-05-16,486.610,287.868,327.489
1980-06-16,299.270,266.769,180.829
1980-07-16,126.700,249.548,105.368
1980-08-16,19.440,158.792,36.413
1980-09-16,13.150,105.635,25.078
1980-10-16,19.230,79.601,42.479
1980-11-16,18.300,60.603,66.042
1980-12-16,42.280,53.543,89.658
1981-01-16,92.000,49.717,49.497
1981-02-16,136.210,73.500,100.252
1981-03-16,267.730,191.684,221.303
1981-04-16,291.950,284.416,402.365
1981-05-16,215.610,209.796,255.012
1981-06-16,44.600,161.497,74.222
1981-07-16,0.000,122.380,12.859
1981-08-16,0.000,89.025,2.473
1981-09-16,0.080,65.993,4.085
1981-10-16,42.270,55.536,8.550
1981-11-16,531.390,135.941,332.946
1981-12-16,838.290,786.920,1017.378
1982-01-16,529.490,772.549,592.918
1982-02-16,896.770,767.080,697.968
1982-03-16,687.810,747.747,742.651
1982-04-16,1130.490,988.953,1154.760
1982-05-16,841.900,570.997,891.498
1982-06-16,387.340,462.840,754.942
1982-07-16,135.900,291.951,152.264
1982-08-16,41.100,169.988,38.391
1982-09-16,61.140,115.339,25.449
1982-10-16,168.870,89.717,47.885
1982-11-16,277.900,114.317,378.322
1982-12-16,565.140,624.131,897.228
1983-01-16,454.160,505.450,461.540
1983-02-16,695.710,778.268,715.003
1983-03-16,1167.210,1135.059,1247.641
1983-04-16,605.280,518.114,609.280
1983-05-16,982.720,590.675,925.548
1983-06-16,942.210,631.515,1026.125
1983-07-16,382.050,485.623,386.055
1983-08-16,89.930,224.347,74.927
1983-09-16,50.586,140.536,62.220
1983-10-16,48.560,103.369,174.552
1983-11-16,721.590,280.286,1095.631
1983-12-16,946.810,810.790,1055.010
1984-01-16,379.420,577.407,528.705
1984-02-16,287.510,289.633,267.010
1984-03-16,379.850,330.705,351.913
1984-04-16,318.790,266.674,316.652
1984-05-16,492.750,311.275,398.175
1984-06-16,237.260,388.656,384.473
1984-07-16,49.790,222.182,81.878
1984-08-16,21.720,141.892,20.385
1984-09-16,17.090,95.833,13.488
1984-10-16,35.670,74.274,19.957
1984-11-16,188.030,67.011,85.431
1984-12-16,101.650,117.039,360.578
1985-01-16,69.560,120.944,177.883
1985-02-16,140.650,135.333,170.286
1985-03-16,199.930,206.650,238.472
1985-04-16,434.560,296.093,408.365
1985-05-16,282.860,255.041,327.598
1985-06-16,78.530,183.490,99.859
1985-07-16,13.630,134.109,14.905
1985-08-16,4.850,94.922,3.419
1985-09-16,24.310,69.102,4.728
1985-10-16,20.954,57.520,9.888
1985-11-16,69.387,48.418,19.942
1985-12-16,153.923,70.140,155.612
1986-01-16,357.806,168.546,271.137
1986-02-16,1866.220,1491.767,1730.424
1986-03-16,966.836,968.634,920.845
1986-04-16,401.588,365.335,439.950
1986-05-16,419.124,303.016,345.656
1986-06-16,309.635,316.054,257.584
1986-07-16,50.615,186.745,46.304
1986-08-16,25.155,124.230,16.758
1986-09-16,12.042,85.694,12.458
1986-10-16,28.339,68.264,18.939
1986-11-16,12.439,54.411,43.846
1986-12-16,12.084,48.851,46.720
1987-01-16,49.765,45.630,24.783
1987-02-16,133.030,55.922,59.298
1987-03-16,208.587,140.075,162.531
1987-04-16,211.837,180.838,215.935
1987-05-16,177.227,163.280,124.041
1987-06-16,30.682,117.018,28.114
1987-07-16,8.547,90.895,1.797
1987-08-16,3.398,69.815,0.000
1987-09-16,3.850,54.786,0.000
1987-10-16,9.108,48.032,0.001
1987-11-16,14.533,40.874,8.603
1987-12-16,89.484,40.690,11.845
1988-01-16,160.807,75.580,101.701
1988-02-16,93.148,102.772,137.071
1988-03-16,140.334,117.354,83.317
1988-04-16,165.160,123.364,69.344
1988-05-16,128.222,128.790,84.550
1988-06-16,51.144,105.763,22.510
1988-07-16,1.103,86.803,0.218
1988-08-16,0.000,68.645,0.000
1988-09-16,0.050,54.231,0.000
1988-10-16,5.560,47.364,0.000
1988-11-16,85.163,41.133,9.380
1988-12-16,62.283,48.374,41.707
1989-01-16,66.274,68.503,101.345
1989-02-16,109.260,90.597,108.827
1989-03-16,866.372,778.413,723.821
1989-04-16,552.920,479.771,559.621
1989-05-16,315.650,288.445,334.534
1989-06-16,145.186,215.297,153.012
1989-07-16,16.653,154.763,32.724
1989-08-16,2.826,107.664,8.445
1989-09-16,19.278,76.514,8.055
1989-10-16,35.510,62.217,16.340
1989-11-16,39.673,54.242,40.342
1989-12-16,29.099,58.446,113.596
1990-01-16,101.288,72.704,101.771
1990-02-16,100.917,103.432,137.638
1990-03-16,241.319,211.865,234.957
1990-04-16,270.533,210.437,244.157
1990-05-16,180.519,185.125,188.470
1990-06-16,108.991,157.758,55.066
1990-07-16,5.611,127.072,13.845
1990-08-16,1.593,93.606,3.301
1990-09-16,2.733,68.733,4.673
1990-10-16,3.924,56.834,9.897
1990-11-16,7.108,46.220,17.081
1990-12-16,11.577,41.791,17.548
1991-01-16,10.953,37.695,18.272
1991-02-16,24.126,32.306,36.915
1991-03-16,331.179,124.183,145.369
1991-04-16,275.990,293.850,406.843
1991-05-16,327.487,223.138,265.442
1991-06-16,168.965,185.688,99.293
1991-07-16,25.313,150.427,22.421
1991-08-16,0.000,109.081,11.619
1991-09-16,8.052,77.700,10.254
1991-10-16,17.261,62.907,16.913
1991-11-16,31.679,51.385,33.922
1991-12-16,24.490,47.328,39.184
1992-01-16,25.007,49.894,54.469
1992-02-16,231.166,107.957,138.314
1992-03-16,209.878,289.166,332.051
1992-04-16,238.521,218.882,252.472
1992-05-16,91.727,179.049,177.793
1992-06-16,16.660,125.666,31.424
1992-07-16,14.350,94.962,2.928
1992-08-16,0.000,71.246,0.000
1992-09-16,0.000,54.706,0.000
1992-10-16,14.280,47.253,0.000
1992-11-16,19.511,40.005,6.972
1992-12-16,128.470,49.208,46.607
1993-01-16,520.798,530.580,475.189
1993-02-16,360.730,482.946,395.398
1993-03-16,659.486,567.945,491.206
1993-04-16,516.414,493.490,572.131
1993-05-16,667.799,378.416,616.320
1993-06-16,385.621,372.409,329.591
1993-07-16,96.015,234.847,92.171
