Date,FNF,Qsim,QsimBC
1979-10-16,1.230,8.773,3.472
1979-11-16,5.330,7.019,5.430
1979-12-16,11.710,9.945,14.378
1980-01-16,210.940,231.224,155.290
1980-02-16,193.520,197.602,122.965
1980-03-16,103.230,130.501,90.585
1980-04-16,52.790,57.805,39.610
1980-05-16,40.710,40.805,27.211
1980-06-16,15.280,24.647,14.443
1980-07-16,4.350,16.868,4.334
1980-08-16,0.000,12.159,2.241
1980-09-16,0.000,8.986,1.661
1980-10-16,0.000,7.338,2.011
1980-11-16,1.690,5.662,4.287
1980-12-16,4.270,4.744,4.261
1981-01-16,16.440,11.823,10.703
1981-02-16,13.270,15.290,12.420
1981-03-16,51.820,71.502,49.953
1981-04-16,27.990,50.063,36.600
1981-05-16,13.830,27.765,15.156
1981-06-16,0.000,16.871,4.799
1981-07-16,0.000,11.778,1.553
1981-08-16,0.000,8.308,0.916
1981-09-16,0.000,6.050,0.256
1981-10-16,1.680,4.978,0.548
1981-11-16,38.880,37.259,43.283
1981-12-16,88.160,146.823,117.001
1982-01-16,145.060,201.204,131.592
1982-02-16,167.480,233.670,194.688
1982-03-16,189.800,215.114,179.019
1982-04-16,238.500,273.880,281.856
1982-05-16,87.500,86.199,100.152
1982-06-16,23.740,34.181,32.440
1982-07-16,8.230,21.178,8.315
1982-08-16,3.350,15.049,4.155
1982-09-16,4.370,11.200,2.810
1982-10-16,12.250,10.342,7.446
1982-11-16,50.270,49.627,53.643
1982-12-16,149.010,182.657,148.595
1983-01-16,145.630,183.401,113.496
1983-02-16,193.840,220.976,158.532
1983-03-16,328.760,342.590,311.122
1983-04-16,134.680,147.446,129.408
1983-05-16,138.410,116.205,123.702
1983-06-16,66.540,55.646,66.021
1983-07-16,23.210,27.880,17.037
1983-08-16,6.610,17.226,4.678
1983-09-16,4.080,12.388,3.530
1983-10-16,3.750,10.033,5.115
1983-11-16,102.690,85.722,86.833
1983-12-16,200.530,230.806,194.266
1984-01-16,67.580,100.249,56.873
1984-02-16,58.210,78.206,45.879
1984-03-16,67.020,87.602,55.174
1984-04-16,39.340,55.207,39.231
1984-05-16,26.300,45.156,44.448
1984-06-16,11.280,24.503,13.830
1984-07-16,3.160,16.213,3.498
1984-08-16,1.600,11.775,1.873
1984-09-16,0.010,8.747,1.285
1984-10-16,2.570,7.236,1.603
1984-11-16,20.270,11.406,13.823
1984-12-16,16.170,26.282,20.720
1985-01-16,10.000,25.251,20.679
1985-02-16,27.430,41.400,30.780
1985-03-16,36.790,64.188,46.134
1985-04-16,42.670,67.056,53.696
1985-05-16,14.370,31.796,21.171
1985-06-16,3.890,17.175,5.189
1985-07-16,0.430,11.970,1.733
1985-08-16,0.000,8.576,1.040
1985-09-16,1.700,6.155,0.314
1985-10-16,0.760,4.994,0.570
1985-11-16,7.590,4.047,1.812
1985-12-16,20.230,13.570,16.191
1986-01-16,48.110,73.726,53.813
1986-02-16,350.360,411.764,336.585
1986-03-16,198.510,227.371,196.886
1986-04-16,46.160,65.729,48.679
1986-05-16,24.540,40.060,31.010
1986-06-16,8.650,22.962,9.987
1986-07-16,3.010,16.175,3.472
1986-08-16,1.110,11.932,2.027
1986-09-16,1.110,8.950,1.594
1986-10-16,0.960,7.374,2.032
1986-11-16,1.170,5.796,4.399
1986-12-16,2.440,4.844,4.419
1987-01-16,4.410,4.089,3.302
1987-02-16,14.080,12.715,8.284
1987-03-16,22.370,47.398,27.126
1987-04-16,7.180,25.505,13.925
1987-05-16,4.410,16.431,4.764
1987-06-16,1.720,10.744,0.000
1987-07-16,1.500,8.021,0.000
1987-08-16,1.490,6.057,0.000
1987-09-16,0.000,4.605,0.000
1987-10-16,0.000,3.843,0.000
1987-11-16,1.400,3.061,0.217
1987-12-16,2.214,2.734,0.568
1988-01-16,14.810,9.865,9.602
1988-02-16,6.910,10.377,7.893
1988-03-16,10.836,16.795,4.994
1988-04-16,10.564,16.047,5.794
1988-05-16,7.560,14.503,3.823
1988-06-16,5.220,10.772,0.000
1988-07-16,2.621,8.214,0.001
1988-08-16,2.170,6.140,0.000
1988-09-16,0.560,4.625,0.000
1988-10-16,0.000,3.832,0.000
1988-11-16,3.040,3.076,0.220
1988-12-16,3.810,3.506,2.760
1989-01-16,6.750,7.741,8.646
1989-02-16,11.930,14.163,10.391
1989-03-16,105.688,161.698,130.751
1989-04-16,38.592,63.040,42.433
1989-05-16,14.530,30.688,20.143
1989-06-16,4.770,18.391,6.576
1989-07-16,1.320,12.874,2.097
1989-08-16,1.091,9.275,1.117
1989-09-16,0.910,6.825,0.730
1989-10-16,3.420,5.488,0.978
1989-11-16,4.480,4.677,3.114
1989-12-16,3.470,5.934,6.763
1990-01-16,9.150,18.920,15.726
1990-02-16,12.850,34.975,19.553
1990-03-16,33.270,61.977,40.772
1990-04-16,19.280,33.752,22.872
1990-05-16,8.940,22.637,14.344
1990-06-16,9.300,18.263,6.076
1990-07-16,2.640,12.834,1.914
1990-08-16,0.196,9.082,1.081
1990-09-16,0.000,6.591,0.662
1990-10-16,0.000,5.304,0.908
1990-11-16,0.734,4.116,2.179
1990-12-16,0.594,3.481,3.141
1991-01-16,0.461,2.930,2.311
1991-02-16,1.837,2.404,2.049
1991-03-16,49.758,56.473,32.799
1991-04-16,32.379,53.014,39.065
1991-05-16,24.258,28.900,15.341
1991-06-16,9.810,17.214,4.959
1991-07-16,1.733,11.971,1.641
1991-08-16,0.041,8.508,1.034
1991-09-16,0.000,6.204,0.564
1991-10-16,0.000,5.141,0.759
1991-11-16,1.299,4.044,2.053
1991-12-16,2.074,3.905,3.636
1992-01-16,3.619,6.522,4.553
1992-02-16,39.851,48.603,35.601
1992-03-16,41.013,63.000,42.688
1992-04-16,19.233,34.512,24.558
1992-05-16,4.086,20.562,11.003
1992-06-16,1.614,12.976,3.353
1992-07-16,2.136,9.481,0.566
1992-08-16,1.139,7.040,0.135
1992-09-16,0.000,5.288,0.000
1992-10-16,0.000,4.365,0.000
1992-11-16,0.271,3.462,1.242
1992-12-16,13.568,12.690,16.173
1993-01-16,129.415,214.921,167.712
1993-02-16,102.027,149.808,101.696
1993-03-16,145.890,162.561,131.928
1993-04-16,100.249,112.159,116.763
1993-05-16,47.535,54.366,54.452
1993-06-16,22.620,30.054,20.855
1993-07-16,0.125,19.473,5.623
1993-08-16,0.000,13.604,3.088
1993-09-16,0.000,9.857,2.035
1993-10-16,0.000,7.901,2.426
1993-11-16,0.218,5.994,4.498
1993-12-16,4.689,5.377,4.610
1994-01-16,4.551,6.521,4.410
1994-02-16,15.619,22.707,15.025
1994-03-16,16.436,36.624,21.666
1994-04-16,10.655,21.811,8.599
1994-05-16,10.544,19.967,7.712
1994-06-16,2.530,14.173,3.462
1994-07-16,0.890,10.354,1.345
1994-08-16,1.044,7.559,0.318
1994-09-16,0.088,5.614,0.000
1994-10-16,0.000,4.598,0.000
1994-11-16,4.342,4.244,2.421
1994-12-16,16.006,27.199,21.569
1995-01-16,197.309,306.026,260.649
1995-02-16,57.912,85.028,57.214
1995-03-16,275.406,303.262,242.978
1995-04-16,121.168,147.981,135.369
1995-05-16,145.409,148.597,176.992
1995-06-16,51.741,51.603,62.969
1995-07-16,15.666,28.341,20.206
1995-08-16,4.844,18.330,6.707
1995-09-16,1.455,12.930,4.579
1995-10-16,0.000,10.340,12.198
1995-11-16,0.654,7.971,11.657
1995-12-16,10.180,7.454,8.936
1996-01-16,52.820,69.839,53.118
1996-02-16,125.063,203.053,153.829
1996-03-16,110.547,155.457,114.034
1996-04-16,66.111,95.366,68.870
1996-05-16,62.503,75.509,89.025
1996-06-16,18.564,33.432,25.570
1996-07-16,7.623,21.178,8.315
1996-08-16,3.718,14.654,3.639
1996-09-16,1.656,10.601,2.457
1996-10-16,0.000,8.523,3.075
1996-11-16,14.675,7.560,6.093
