Date,FNF,Qsim,QsimBC
1979-10-16,4.840,7.209,7.364
1979-11-16,5.230,7.334,5.864
1979-12-16,5.260,11.009,8.066
1980-01-16,34.270,64.814,55.706
1980-02-16,21.850,65.324,60.441
1980-03-16,18.720,54.373,31.859
1980-04-16,48.180,52.495,28.372
1980-05-16,89.960,122.383,83.408
1980-06-16,81.150,109.546,97.247
1980-07-16,51.090,70.037,72.030
1980-08-16,12.950,20.632,20.028
1980-09-16,7.400,11.272,11.774
1980-10-16,5.730,8.473,8.838
1980-11-16,4.530,6.757,5.791
1980-12-16,5.030,7.697,5.486
1981-01-16,4.820,11.125,7.587
1981-02-16,7.730,11.446,6.936
1981-03-16,9.100,23.704,11.575
1981-04-16,29.440,53.729,29.748
1981-05-16,42.220,68.786,50.557
1981-06-16,22.010,32.516,32.679
1981-07-16,6.050,15.905,8.881
1981-08-16,4.340,9.384,4.814
1981-09-16,2.670,5.985,2.974
1981-10-16,3.750,4.425,2.866
1981-11-16,16.770,10.482,9.662
1981-12-16,26.840,33.705,23.806
1982-01-16,13.730,32.663,16.434
1982-02-16,46.240,53.780,38.373
1982-03-16,24.100,50.670,30.741
1982-04-16,67.060,79.824,43.233
1982-05-16,113.500,190.706,131.785
1982-06-16,97.430,129.101,109.516
1982-07-16,48.820,48.956,48.289
1982-08-16,15.980,19.150,18.840
1982-09-16,11.970,10.876,10.895
1982-10-16,19.660,14.729,12.260
1982-11-16,18.950,33.021,41.656
1982-12-16,17.900,29.465,20.442
1983-01-16,16.580,28.422,14.147
1983-02-16,18.820,27.078,14.110
1983-03-16,33.050,39.364,19.544
1983-04-16,29.990,44.106,21.753
1983-05-16,113.780,135.630,96.633
1983-06-16,171.600,272.017,228.570
1983-07-16,89.800,104.337,84.471
1983-08-16,32.550,27.169,26.031
1983-09-16,16.760,16.661,20.541
1983-10-16,11.240,14.549,19.384
1983-11-16,29.900,19.273,15.871
1983-12-16,31.230,37.339,29.247
1984-01-16,20.630,33.042,14.845
1984-02-16,13.630,22.263,10.455
1984-03-16,23.140,29.283,12.011
1984-04-16,34.970,61.092,35.855
1984-05-16,94.290,147.570,111.864
1984-06-16,60.920,72.279,74.414
1984-07-16,23.920,24.787,26.456
1984-08-16,21.440,13.641,9.417
1984-09-16,17.080,8.623,6.476
1984-10-16,7.350,6.406,5.942
1984-11-16,9.440,7.810,5.961
1984-12-16,8.350,11.549,9.218
1985-01-16,7.170,10.462,7.121
1985-02-16,7.200,8.918,5.902
1985-03-16,10.830,12.845,7.966
1985-04-16,44.450,64.559,36.595
1985-05-16,51.220,92.547,65.631
1985-06-16,25.770,26.291,18.194
1985-07-16,8.710,14.010,5.750
1985-08-16,6.020,8.473,3.672
1985-09-16,5.710,5.849,2.671
1985-10-16,5.950,6.521,6.471
1985-11-16,5.770,7.756,6.326
1985-12-16,9.180,8.670,5.497
1986-01-16,12.350,11.097,7.240
1986-02-16,52.690,47.813,23.566
1986-03-16,63.840,78.636,41.318
1986-04-16,64.680,122.896,77.111
1986-05-16,98.100,137.353,104.167
1986-06-16,81.470,50.477,58.902
1986-07-16,26.940,18.620,11.279
1986-08-16,10.200,10.627,5.896
1986-09-16,7.370,6.869,3.756
1986-10-16,7.370,5.549,3.804
1986-11-16,4.200,5.045,5.027
1986-12-16,3.680,4.687,4.458
1987-01-16,3.560,4.182,3.274
1987-02-16,5.900,4.418,4.505
1987-03-16,7.370,10.259,7.812
1987-04-16,26.590,47.259,23.651
1987-05-16,33.330,36.615,26.752
1987-06-16,11.100,21.609,14.404
1987-07-16,5.430,13.690,5.742
1987-08-16,3.250,8.617,3.819
1987-09-16,2.070,5.630,2.307
1987-10-16,2.930,4.163,2.459
1987-11-16,3.760,3.127,2.495
1987-12-16,4.930,3.498,3.415
1988-01-16,4.590,4.289,3.418
1988-02-16,5.185,5.001,5.667
1988-03-16,9.720,30.866,14.098
1988-04-16,16.640,41.260,19.516
1988-05-16,21.610,26.436,21.738
1988-06-16,12.200,16.762,9.121
1988-07-16,5.690,12.002,4.995
1988-08-16,3.810,7.868,3.030
1988-09-16,1.540,5.247,1.899
1988-10-16,1.910,3.970,2.277
1988-11-16,3.030,2.962,2.303
1988-12-16,3.260,3.202,3.369
1989-01-16,2.960,3.825,3.200
1989-02-16,5.650,3.984,2.534
1989-03-16,26.980,33.719,16.469
1989-04-16,47.920,87.610,44.416
1989-05-16,50.370,90.901,62.333
1989-06-16,42.750,39.221,38.259
1989-07-16,11.180,18.932,13.019
1989-08-16,5.980,10.786,6.187
1989-09-16,4.710,6.821,3.658
1989-10-16,4.840,6.097,5.618
1989-11-16,4.550,8.244,6.979
1989-12-16,3.880,11.459,9.038
1990-01-16,4.480,12.209,8.497
1990-02-16,5.890,10.294,6.692
1990-03-16,13.520,17.966,9.388
1990-04-16,28.390,57.594,31.945
1990-05-16,23.710,32.760,23.325
1990-06-16,15.220,20.202,12.196
1990-07-16,6.080,14.361,5.955
1990-08-16,3.850,9.970,5.183
1990-09-16,2.810,6.979,4.525
1990-10-16,2.290,5.466,3.799
1990-11-16,2.200,4.353,3.756
1990-12-16,2.210,3.968,3.598
1991-01-16,3.010,3.792,3.188
1991-02-16,2.620,4.137,4.246
1991-03-16,7.090,7.888,5.667
1991-04-16,16.010,43.447,22.875
1991-05-16,38.660,67.566,48.639
1991-06-16,33.190,41.571,53.631
1991-07-16,8.330,18.930,12.996
1991-08-16,4.710,11.164,6.880
1991-09-16,3.540,7.262,4.935
1991-10-16,3.880,5.559,3.849
1991-11-16,5.760,5.595,5.233
1991-12-16,5.280,9.476,5.918
1992-01-16,4.370,10.019,6.920
1992-02-16,5.830,9.616,6.409
1992-03-16,9.170,21.080,9.903
1992-04-16,26.010,58.764,33.918
1992-05-16,23.390,33.087,24.004
1992-06-16,8.290,15.698,10.395
1992-07-16,4.680,10.547,4.382
1992-08-16,3.020,7.867,3.040
1992-09-16,2.140,5.809,2.628
1992-10-16,2.450,4.725,3.635
1992-11-16,2.540,4.444,4.080
1992-12-16,3.620,5.795,5.167
1993-01-16,6.740,6.446,4.706
1993-02-16,6.480,7.592,5.795
1993-03-16,33.660,59.140,32.275
1993-04-16,43.210,103.306,61.948
1993-05-16,107.200,183.753,122.266
1993-06-16,76.880,77.786,72.647
1993-07-16,31.490,28.125,28.072
1993-08-16,9.420,13.998,9.850
1993-09-16,5.990,8.335,6.181
1993-10-16,4.350,5.922,5.316
1993-11-16,4.100,4.516,4.202
1993-12-16,4.410,4.174,3.594
1994-01-16,4.200,4.410,3.635
1994-02-16,4.200,4.888,5.563
1994-03-16,9.370,15.204,9.109
1994-04-16,23.710,47.462,25.046
1994-05-16,33.800,52.557,38.755
1994-06-16,18.200,29.379,30.702
1994-07-16,5.310,15.378,7.883
1994-08-16,3.030,9.086,3.875
1994-09-16,2.200,5.791,2.584
1994-10-16,3.710,4.427,2.871
1994-11-16,5.360,4.724,4.533
1994-12-16,5.590,7.143,5.304
1995-01-16,14.740,17.483,9.944
1995-02-16,14.150,23.977,13.420
1995-03-16,47.340,81.392,63.007
1995-04-16,43.140,61.771,35.267
1995-05-16,111.900,132.853,90.599
1995-06-16,144.400,194.578,169.567
1995-07-16,105.200,140.082,120.565
1995-08-16,30.430,30.335,36.343
1995-09-16,11.450,13.854,17.034
1995-10-16,7.330,8.953,10.554
1995-11-16,2.500,6.067,5.421
1995-12-16,10.200,6.126,5.255
1996-01-16,9.260,13.476,8.683
1996-02-16,32.020,41.653,18.818
1996-03-16,32.550,55.283,31.705
1996-04-16,55.860,81.452,43.395
1996-05-16,111.600,150.123,112.488
1996-06-16,75.490,94.932,82.882
1996-07-16,25.020,31.432,31.450
1996-08-16,8.720,15.442,12.251
1996-09-16,7.140,9.381,7.972
1996-10-16,5.240,6.764,6.964
1996-11-16,10.300,6.046,5.356
1996-12-16,20.200,21.382,14.673
1997-01-16,97.320,142.108,117.937
1997-02-16,18.170,46.384,29.352
1997-03-16,31.890,76.804,45.960
1997-04-16,61.090,117.151,70.466
