Date,FNF,Qsim,QsimBC
1979-10-16,4.560,8.121,6.945
1979-11-16,4.920,7.334,6.652
1979-12-16,4.550,7.578,6.917
1980-01-16,14.030,10.335,8.153
1980-02-16,10.980,15.609,15.300
1980-03-16,8.720,17.706,13.893
1980-04-16,14.870,19.244,4.000
1980-05-16,30.010,69.247,22.479
1980-06-16,31.780,77.232,30.952
1980-07-16,40.020,107.571,56.794
1980-08-16,14.990,35.433,23.961
1980-09-16,8.680,12.888,12.246
1980-10-16,6.720,9.967,9.430
1980-11-16,5.800,8.305,8.547
1980-12-16,6.090,8.083,7.350
1981-01-16,5.620,8.078,7.260
1981-02-16,7.390,7.296,8.049
1981-03-16,6.650,8.863,8.870
1981-04-16,6.400,18.490,3.126
1981-05-16,6.760,47.268,9.521
1981-06-16,10.740,35.717,12.545
1981-07-16,2.800,13.886,4.175
1981-08-16,1.330,8.871,2.304
1981-09-16,1.930,6.698,1.798
1981-10-16,4.230,5.970,2.114
1981-11-16,6.210,5.566,3.445
1981-12-16,6.420,6.001,4.334
1982-01-16,5.840,6.731,5.924
1982-02-16,12.310,6.491,6.481
1982-03-16,7.560,13.376,10.717
1982-04-16,17.320,23.109,6.316
1982-05-16,28.530,65.170,18.097
1982-06-16,42.980,105.355,50.168
1982-07-16,37.840,68.808,37.898
1982-08-16,18.780,34.907,23.197
1982-09-16,15.820,13.819,18.543
1982-10-16,17.350,12.041,16.790
1982-11-16,15.580,14.587,22.833
1982-12-16,15.140,15.368,29.010
1983-01-16,5.980,13.926,13.994
1983-02-16,10.970,11.569,11.358
1983-03-16,20.310,13.915,10.678
1983-04-16,16.190,15.667,2.327
1983-05-16,38.510,65.828,19.050
1983-06-16,74.180,171.619,90.404
1983-07-16,52.010,91.294,48.063
1983-08-16,36.840,30.153,16.129
1983-09-16,18.340,13.668,14.981
1983-10-16,15.780,11.317,13.749
1983-11-16,16.210,10.356,11.285
1983-12-16,20.780,10.837,13.169
1984-01-16,11.650,12.172,9.379
1984-02-16,8.370,11.113,11.036
1984-03-16,10.310,11.667,10.363
1984-04-16,10.010,30.472,11.399
1984-05-16,21.440,67.216,21.493
1984-06-16,28.830,80.041,33.285
1984-07-16,20.620,30.793,18.077
1984-08-16,9.890,12.093,5.998
1984-09-16,6.950,8.268,5.063
1984-10-16,6.800,7.183,5.719
1984-11-16,7.670,6.724,5.808
1984-12-16,6.480,6.927,6.360
1985-01-16,5.660,6.927,6.006
1985-02-16,6.450,6.256,5.805
1985-03-16,9.160,6.927,5.450
1985-04-16,11.190,19.006,3.259
1985-05-16,11.700,62.126,16.390
1985-06-16,14.570,27.426,7.008
1985-07-16,5.070,12.284,2.323
1985-08-16,3.660,8.688,1.801
1985-09-16,4.880,6.934,1.992
1985-10-16,6.550,7.035,5.061
1985-11-16,4.750,6.799,5.902
1985-12-16,7.412,7.033,6.433
1986-01-16,5.851,7.035,6.126
1986-02-16,20.420,7.551,8.092
1986-03-16,22.820,25.809,19.550
1986-04-16,19.790,43.926,14.962
1986-05-16,33.440,96.657,42.747
1986-06-16,49.480,103.631,43.882
1986-07-16,25.450,31.650,18.933
1986-08-16,12.030,11.814,4.077
1986-09-16,6.650,7.999,3.954
1986-10-16,7.280,7.122,5.319
1986-11-16,5.880,6.472,5.592
1986-12-16,5.520,6.256,4.609
1987-01-16,5.510,5.842,4.577
1987-02-16,7.740,5.069,4.100
1987-03-16,4.150,5.615,2.615
1987-04-16,4.990,8.582,1.263
1987-05-16,7.800,29.030,4.126
1987-06-16,4.380,16.430,2.947
1987-07-16,1.180,10.755,1.596
1987-08-16,0.000,7.846,1.244
1987-09-16,2.004,6.205,1.423
1987-10-16,3.186,5.618,1.291
1987-11-16,4.544,5.081,2.088
1987-12-16,3.878,5.233,2.278
1988-01-16,4.421,5.233,2.739
1988-02-16,5.170,4.899,3.779
1988-03-16,3.340,6.020,3.368
1988-04-16,1.980,14.633,2.086
1988-05-16,2.940,19.062,2.180
1988-06-16,3.110,19.291,3.606
1988-07-16,2.210,11.700,2.150
1988-08-16,3.066,7.974,1.302
1988-09-16,2.734,6.329,1.624
1988-10-16,2.073,5.792,2.055
1988-11-16,3.485,5.136,2.253
1988-12-16,2.881,5.059,1.977
1989-01-16,3.262,4.894,2.451
1989-02-16,4.666,4.291,2.662
1989-03-16,5.000,6.435,4.086
1989-04-16,3.273,19.244,4.210
1989-05-16,9.309,36.323,6.927
1989-06-16,17.045,46.916,19.561
1989-07-16,4.040,25.422,9.259
1989-08-16,2.460,10.908,3.739
1989-09-16,2.065,7.896,3.864
1989-10-16,3.679,7.709,6.758
1989-11-16,4.091,7.460,6.865
1989-12-16,1.984,7.709,7.110
1990-01-16,4.371,7.709,6.810
1990-02-16,3.598,6.918,7.305
1990-03-16,6.282,7.667,7.248
1990-04-16,2.362,19.895,4.639
1990-05-16,2.020,27.632,3.694
1990-06-16,3.496,20.272,3.920
1990-07-16,3.442,13.388,3.630
1990-08-16,2.750,9.723,2.793
1990-09-16,2.230,7.342,2.072
1990-10-16,2.434,6.587,3.842
1990-11-16,2.193,5.871,4.482
1990-12-16,1.970,5.722,3.819
1991-01-16,2.673,5.449,3.879
1991-02-16,2.920,4.828,3.732
1991-03-16,5.330,5.342,2.522
1991-04-16,1.750,8.047,0.860
1991-05-16,2.439,25.497,2.942
1991-06-16,8.778,33.724,11.938
1991-07-16,4.267,19.298,5.823
1991-08-16,2.368,10.133,2.953
1991-09-16,2.956,7.412,2.751
1991-10-16,3.212,6.545,3.451
1991-11-16,3.740,5.853,4.082
1991-12-16,2.940,6.037,4.421
1992-01-16,3.060,6.037,5.299
1992-02-16,4.100,5.647,5.430
1992-03-16,2.657,6.597,5.168
1992-04-16,1.507,17.794,2.767
1992-05-16,2.903,30.520,6.229
1992-06-16,3.183,13.232,1.785
1992-07-16,2.160,9.433,0.925
1992-08-16,2.030,7.741,0.854
