Date,FNF,Qsim,QsimBC
1979-10-16,148.610,122.967,154.546
1979-11-16,144.290,134.299,332.498
1979-12-16,196.280,205.525,352.445
1980-01-16,1447.380,1303.354,1028.572
1980-02-16,1158.060,1119.338,1144.795
1980-03-16,650.490,1074.071,957.233
1980-04-16,579.840,471.818,511.329
1980-05-16,565.170,357.563,411.292
1980-06-16,282.350,231.665,199.948
1980-07-16,158.490,177.465,132.200
1980-08-16,72.130,144.460,99.237
1980-09-16,129.820,121.211,100.778
1980-10-16,93.730,109.544,123.397
1980-11-16,90.880,94.473,138.362
1980-12-16,233.630,126.547,198.347
1981-01-16,262.910,139.850,172.428
1981-02-16,362.230,373.716,370.725
1981-03-16,406.730,545.803,565.352
1981-04-16,385.540,478.461,525.225
1981-05-16,280.560,289.880,327.112
1981-06-16,118.650,200.715,186.525
1981-07-16,88.890,149.866,103.514
1981-08-16,76.160,126.871,79.200
1981-09-16,77.720,106.430,80.323
1981-10-16,147.000,98.622,93.277
1981-11-16,1240.390,727.230,1137.449
1981-12-16,1326.310,1342.956,1738.547
1982-01-16,654.970,871.920,721.790
1982-02-16,1146.290,944.284,998.263
1982-03-16,883.280,1081.202,1034.440
1982-04-16,1689.180,1488.799,1621.906
1982-05-16,998.500,746.074,993.345
1982-06-16,441.830,313.890,365.403
1982-07-16,220.920,203.248,186.530
1982-08-16,125.890,152.565,127.080
1982-09-16,123.410,126.178,110.437
1982-10-16,213.240,116.087,139.999
1982-11-16,349.740,162.343,360.544
1982-12-16,633.160,625.427,953.954
1983-01-16,712.600,685.226,665.660
1983-02-16,1196.480,1264.642,1157.809
1983-03-16,2028.930,2100.949,2256.182
1983-04-16,1024.040,1031.297,936.528
1983-05-16,1426.710,1104.071,1321.965
1983-06-16,1121.710,813.380,974.845
1983-07-16,367.980,384.480,354.810
1983-08-16,197.330,212.614,164.199
1983-09-16,145.980,148.762,161.163
1983-10-16,156.100,131.432,215.981
1983-11-16,747.030,477.615,903.197
1983-12-16,1397.880,1163.555,1501.050
1984-01-16,595.060,855.494,710.979
1984-02-16,494.770,498.664,470.280
1984-03-16,710.730,697.300,710.019
1984-04-16,512.920,541.334,572.336
1984-05-16,510.640,405.594,447.644
1984-06-16,278.060,261.893,246.658
1984-07-16,154.280,190.869,145.556
1984-08-16,98.070,147.749,122.286
1984-09-16,111.310,123.621,104.627
1984-10-16,130.680,111.792,124.240
1984-11-16,324.120,150.623,346.665
1984-12-16,194.810,301.125,413.255
1985-01-16,157.980,212.221,272.951
1985-02-16,239.270,236.271,215.813
1985-03-16,328.800,347.247,350.093
1985-04-16,559.820,443.584,460.333
1985-05-16,290.170,268.989,298.002
1985-06-16,131.520,175.508,143.272
1985-07-16,101.550,145.859,93.487
1985-08-16,83.720,124.270,75.416
1985-09-16,99.130,104.691,72.291
1985-10-16,92.590,95.729,82.733
1985-11-16,139.581,85.214,103.751
1985-12-16,198.717,148.629,234.114
1986-01-16,517.788,392.483,441.094
1986-02-16,2677.100,1940.108,2082.987
