Date,FNF,Qsim,QsimBC
1979-10-16,32.264,84.968,41.089
1979-11-16,28.065,51.883,47.403
1979-12-16,29.100,43.363,54.904
1980-01-16,308.426,191.819,159.940
1980-02-16,270.480,240.300,249.189
1980-03-16,190.328,254.665,289.299
1980-04-16,290.091,120.079,199.023
1980-05-16,523.142,163.058,180.811
1980-06-16,713.844,257.579,114.687
1980-07-16,454.872,930.497,465.316
1980-08-16,118.224,512.398,143.668
1980-09-16,32.748,191.554,59.344
1980-10-16,18.380,89.289,43.209
1980-11-16,17.879,50.656,44.670
1980-12-16,25.194,38.080,43.291
1981-01-16,27.469,31.516,52.577
1981-02-16,46.394,31.703,43.947
1981-03-16,69.202,58.583,79.560
1981-04-16,200.248,100.981,172.148
1981-05-16,342.658,245.426,424.946
1981-06-16,213.210,406.104,251.014
1981-07-16,40.459,219.018,51.074
1981-08-16,14.934,131.299,44.180
1981-09-16,12.278,90.911,29.921
1981-10-16,18.429,56.738,30.779
1981-11-16,57.174,36.683,29.702
1981-12-16,54.905,41.807,47.416
1982-01-16,100.212,86.542,131.973
1982-02-16,130.266,109.021,112.231
1982-03-16,177.148,196.328,200.295
1982-04-16,528.055,333.764,553.514
1982-05-16,699.263,419.783,738.488
1982-06-16,600.419,636.339,718.896
1982-07-16,369.040,492.656,194.172
1982-08-16,133.406,356.421,122.398
1982-09-16,184.570,181.057,47.074
1982-10-16,125.825,164.546,84.307
1982-11-16,141.292,137.628,189.786
1982-12-16,203.575,191.447,248.633
1983-01-16,195.052,192.357,160.066
1983-02-16,224.451,216.902,186.621
1983-03-16,329.398,293.915,370.423
1983-04-16,209.055,194.747,289.926
1983-05-16,662.900,199.597,282.530
1983-06-16,1155.140,753.129,884.132
1983-07-16,671.664,1146.894,727.962
1983-08-16,277.537,686.420,197.555
1983-09-16,90.814,260.781,188.677
1983-10-16,51.273,138.433,80.053
1983-11-16,116.776,84.683,89.775
1983-12-16,176.752,140.460,197.220
1984-01-16,105.090,196.407,302.662
1984-02-16,93.756,108.256,126.158
1984-03-16,148.048,113.389,139.482
1984-04-16,205.891,122.754,202.186
1984-05-16,511.422,235.705,330.404
1984-06-16,252.364,643.572,728.703
1984-07-16,165.801,320.767,104.879
1984-08-16,75.806,156.732,44.669
1984-09-16,31.532,87.362,24.231
1984-10-16,28.562,54.093,25.564
1984-11-16,44.615,35.339,26.471
1984-12-16,41.691,32.613,37.141
1985-01-16,42.356,31.351,49.866
1985-02-16,49.619,29.538,38.910
1985-03-16,77.914,42.518,57.213
1985-04-16,267.439,86.880,164.523
1985-05-16,354.695,330.057,562.706
1985-06-16,206.230,395.131,230.994
1985-07-16,77.269,219.842,48.993
1985-08-16,22.735,105.176,24.054
1985-09-16,22.923,62.388,19.383
1985-10-16,23.491,39.414,18.423
1985-11-16,38.174,29.057,19.230
1985-12-16,67.020,34.960,39.420
1986-01-16,95.057,69.097,104.741
1986-02-16,385.981,281.650,306.411
1986-03-16,369.694,330.752,416.895
1986-04-16,371.664,212.805,350.911
1986-05-16,735.795,235.726,330.556
1986-06-16,702.458,889.254,1207.734
1986-07-16,267.471,683.800,307.481
1986-08-16,96.326,223.395,68.531
1986-09-16,36.508,96.845,30.675
1986-10-16,30.500,55.162,27.285
1986-11-16,18.900,39.946,36.085
1986-12-16,16.400,33.746,39.412
1987-01-16,19.600,28.708,43.171
1987-02-16,34.300,27.969,36.749
1987-03-16,56.400,53.674,77.773
1987-04-16,181.300,79.168,146.003
1987-05-16,230.800,302.617,544.501
1987-06-16,113.900,168.704,65.393
1987-07-16,35.000,100.623,28.367
1987-08-16,14.500,73.381,14.048
1987-09-16,12.660,50.387,13.146
1987-10-16,13.527,34.413,14.683
1987-11-16,20.920,25.205,17.807
1987-12-16,23.796,25.832,24.950
1988-01-16,60.968,37.465,54.202
1988-02-16,40.118,45.624,53.866
1988-03-16,79.543,72.202,110.522
1988-04-16,151.832,128.175,214.443
1988-05-16,224.311,174.343,234.186
1988-06-16,130.612,276.414,120.379
1988-07-16,31.995,228.893,71.560
1988-08-16,23.718,101.941,23.090
1988-09-16,18.607,59.236,18.228
1988-10-16,9.290,38.601,18.413
1988-11-16,17.354,26.759,18.917
1988-12-16,24.217,22.775,16.340
1989-01-16,26.172,21.162,20.049
1989-02-16,40.785,19.579,23.843
1989-03-16,112.472,61.678,91.423
1989-04-16,250.407,159.610,242.588
1989-05-16,232.682,264.803,451.605
1989-06-16,130.116,314.941,168.576
1989-07-16,25.670,224.064,62.836
1989-08-16,12.385,93.849,20.049
1989-09-16,15.844,49.651,12.379
1989-10-16,18.954,35.847,16.183
1989-11-16,15.904,29.234,20.382
1989-12-16,13.395,29.984,36.754
1990-01-16,21.297,31.476,52.004
1990-02-16,26.962,30.315,40.536
1990-03-16,70.398,49.455,69.174
1990-04-16,168.588,133.632,216.631
1990-05-16,181.018,217.939,317.858
1990-06-16,114.248,196.654,71.909
1990-07-16,32.055,151.781,35.073
1990-08-16,12.202,78.442,15.493
1990-09-16,9.009,47.251,10.708
1990-10-16,10.445,33.590,12.863
1990-11-16,8.505,24.181,17.793
1990-12-16,9.602,20.300,15.255
1991-01-16,10.749,17.467,15.681
1991-02-16,9.265,14.672,21.906
1991-03-16,124.239,49.537,69.389
1991-04-16,127.606,124.388,207.640
1991-05-16,305.060,174.006,230.730
1991-06-16,337.709,419.039,251.806
1991-07-16,85.933,289.814,84.855
1991-08-16,15.622,122.050,39.266
1991-09-16,16.199,61.028,20.016
1991-10-16,14.240,39.530,19.250
1991-11-16,21.971,27.922,19.040
1991-12-16,15.219,25.304,24.017
1992-01-16,20.694,25.079,25.561
1992-02-16,50.480,32.096,45.662
1992-03-16,59.386,75.605,115.538
1992-04-16,190.380,143.668,225.884
1992-05-16,223.060,377.777,673.140
1992-06-16,61.947,201.726,108.590
1992-07-16,24.284,96.443,28.433
1992-08-16,10.207,66.583,13.711
1992-09-16,7.456,44.817,9.845
1992-10-16,14.462,33.730,12.590
1992-11-16,20.325,29.044,19.155
1992-12-16,32.849,32.697,38.445
1993-01-16,159.836,107.856,134.343
1993-02-16,102.841,133.340,163.777
1993-03-16,193.849,172.013,178.082
1993-04-16,278.537,208.533,343.535
1993-05-16,709.667,494.286,846.594
1993-06-16,602.421,616.769,707.140
1993-07-16,285.120,595.525,264.329
1993-08-16,56.738,272.099,106.107
1993-09-16,22.574,105.812,36.160
1993-10-16,16.384,55.951,29.519
1993-11-16,15.618,35.144,27.535
1993-12-16,22.709,28.210,33.353
1994-01-16,20.085,25.198,26.441
1994-02-16,39.987,25.914,33.612
1994-03-16,76.888,54.377,77.966
1994-04-16,167.953,85.736,158.304
1994-05-16,273.515,151.307,180.287
1994-06-16,177.313,360.070,210.437
1994-07-16,33.238,198.383,45.313
1994-08-16,4.370,79.638,17.742
1994-09-16,19.222,44.678,9.805
1994-10-16,45.995,37.573,17.074
