Date,FNF,Qsim,QsimBC
1979-10-16,18.185,42.929,30.523
1979-11-16,18.191,35.408,25.169
1979-12-16,17.943,31.312,29.279
1980-01-16,138.623,238.768,111.849
1980-02-16,159.033,254.502,141.993
1980-03-16,130.700,216.129,127.349
1980-04-16,204.072,231.312,143.208
1980-05-16,284.376,359.457,267.031
1980-06-16,274.923,289.928,272.053
1980-07-16,198.878,345.077,244.005
1980-08-16,69.894,184.289,80.183
1980-09-16,35.094,75.004,55.058
1980-10-16,27.101,48.869,42.383
1980-11-16,24.322,37.898,33.442
1980-12-16,28.610,33.480,31.944
1981-01-16,25.843,28.266,31.755
1981-02-16,32.239,22.485,22.953
1981-03-16,43.185,35.550,28.954
1981-04-16,67.534,91.020,48.145
1981-05-16,90.787,150.551,94.672
1981-06-16,65.684,134.164,67.183
1981-07-16,25.480,70.265,23.088
1981-08-16,15.618,48.826,15.033
1981-09-16,12.254,39.012,13.603
1981-10-16,14.040,34.782,14.354
1981-11-16,18.456,28.628,15.183
1981-12-16,21.463,24.709,17.724
1982-01-16,33.811,21.143,19.583
1982-02-16,49.500,22.095,22.617
1982-03-16,71.368,57.233,38.137
1982-04-16,202.876,182.225,129.711
1982-05-16,253.013,253.741,170.952
1982-06-16,194.865,214.003,140.771
1982-07-16,124.608,147.097,72.788
1982-08-16,58.083,105.027,68.427
1982-09-16,60.584,56.452,36.113
1982-10-16,45.091,54.577,46.505
1982-11-16,55.225,47.780,68.340
1982-12-16,73.679,68.313,52.532
1983-01-16,80.980,87.416,69.015
1983-02-16,121.218,146.810,99.007
1983-03-16,227.410,362.660,219.042
1983-04-16,182.141,234.052,144.393
1983-05-16,465.938,402.180,358.750
1983-06-16,567.208,727.690,695.824
1983-07-16,285.287,386.502,264.917
1983-08-16,152.620,187.891,78.777
1983-09-16,61.129,79.129,61.429
1983-10-16,46.690,54.770,45.250
1983-11-16,66.042,43.189,46.711
1983-12-16,93.679,88.462,79.641
1984-01-16,68.847,125.523,78.426
1984-02-16,54.154,90.973,48.120
1984-03-16,77.234,122.085,65.948
1984-04-16,87.742,141.991,65.060
1984-05-16,159.370,149.985,90.434
1984-06-16,90.537,191.255,110.042
1984-07-16,72.440,98.647,37.965
1984-08-16,45.652,55.328,23.350
1984-09-16,26.888,40.734,16.058
1984-10-16,26.311,36.217,15.877
1984-11-16,33.600,29.935,18.208
1984-12-16,35.455,27.408,21.249
1985-01-16,36.705,27.461,26.252
1985-02-16,36.964,27.980,27.941
1985-03-16,48.869,68.332,43.069
1985-04-16,133.569,168.228,79.248
1985-05-16,147.366,226.543,161.376
1985-06-16,100.242,158.039,87.549
1985-07-16,38.500,86.252,32.546
1985-08-16,23.340,50.789,21.650
1985-09-16,16.796,38.630,11.347
1985-10-16,16.082,34.191,12.976
1985-11-16,21.247,28.012,14.543
1985-12-16,31.716,27.576,21.793
1986-01-16,39.805,42.054,40.275
1986-02-16,143.610,268.744,165.804
1986-03-16,196.178,297.048,156.407
1986-04-16,198.642,270.743,204.790
1986-05-16,283.900,376.300,282.171
1986-06-16,250.417,349.852,340.730
1986-07-16,107.524,238.296,124.746
1986-08-16,46.110,83.525,45.241
1986-09-16,24.270,49.915,26.859
1986-10-16,32.274,40.238,24.007
1986-11-16,23.378,33.570,21.226
1986-12-16,22.665,29.496,24.842
1987-01-16,23.824,24.563,23.567
1987-02-16,27.319,23.475,24.065
1987-03-16,37.016,49.391,35.752
1987-04-16,55.361,111.425,57.275
1987-05-16,72.773,166.065,122.145
1987-06-16,58.005,86.031,31.230
1987-07-16,26.498,58.999,19.994
1987-08-16,13.408,43.683,12.032
1987-09-16,10.150,35.959,10.021
1987-10-16,11.792,31.824,9.817
1987-11-16,13.448,25.941,11.424
1987-12-16,15.198,22.225,13.451
1988-01-16,21.493,21.688,20.489
1988-02-16,18.597,26.835,25.844
1988-03-16,28.410,58.224,41.062
1988-04-16,39.113,100.297,55.201
1988-05-16,57.438,106.978,71.150
1988-06-16,41.521,116.340,56.581
1988-07-16,19.775,89.907,37.673
1988-08-16,13.676,50.705,22.749
1988-09-16,10.957,39.264,15.036
1988-10-16,8.836,34.975,14.748
1988-11-16,9.977,28.800,16.986
1988-12-16,14.597,24.886,18.190
1989-01-16,15.366,21.321,20.531
1989-02-16,22.614,22.038,21.540
1989-03-16,64.000,92.034,48.245
1989-04-16,90.235,176.203,87.601
1989-05-16,69.776,121.838,72.712
1989-06-16,48.409,128.420,65.924
1989-07-16,22.120,75.071,26.818
1989-08-16,12.268,47.111,13.674
1989-09-16,10.169,37.315,10.406
1989-10-16,10.433,33.166,11.623
1989-11-16,10.475,27.156,12.650
1989-12-16,10.003,23.294,16.595
1990-01-16,11.441,19.007,16.132
1990-02-16,11.810,16.047,16.469
1990-03-16,21.378,22.258,23.536
1990-04-16,31.960,58.341,35.641
1990-05-16,38.476,73.958,52.428
1990-06-16,29.100,75.283,25.937
1990-07-16,14.852,59.986,21.568
1990-08-16,8.140,41.557,11.316
1990-09-16,6.240,34.521,8.964
1990-10-16,8.283,30.169,9.266
1990-11-16,7.599,24.412,11.131
1990-12-16,7.787,20.666,12.434
1991-01-16,9.306,16.429,11.292
1991-02-16,8.515,12.961,11.970
1991-03-16,44.238,29.106,24.608
1991-04-16,55.237,106.925,56.443
1991-05-16,78.904,129.393,77.434
1991-06-16,100.659,141.048,69.641
1991-07-16,37.960,87.168,33.448
1991-08-16,14.037,47.753,14.394
1991-09-16,11.106,37.516,10.622
1991-10-16,9.426,32.951,10.716
1991-11-16,12.732,26.927,12.152
1991-12-16,11.613,23.075,15.286
1992-01-16,12.669,19.555,19.015
1992-02-16,20.000,19.447,19.663
1992-03-16,24.593,78.257,47.200
1992-04-16,54.195,133.457,64.078
1992-05-16,74.697,181.662,131.314
1992-06-16,33.243,80.573,28.643
1992-07-16,16.086,53.018,14.727
1992-08-16,11.336,40.680,10.039
1992-09-16,7.506,33.911,8.496
1992-10-16,9.558,29.828,8.784
1992-11-16,11.429,24.143,9.960
1992-12-16,13.395,20.664,12.377
1993-01-16,36.159,31.988,36.778
1993-02-16,35.790,55.237,35.935
1993-03-16,90.093,190.922,116.004
1993-04-16,131.895,284.805,234.597
1993-05-16,202.757,379.899,284.216
1993-06-16,163.966,205.182,112.293
1993-07-16,88.061,210.473,116.467
1993-08-16,34.432,98.118,61.214
1993-09-16,16.052,51.947,35.309
1993-10-16,13.363,41.057,27.252
1993-11-16,14.081,33.949,24.213
1993-12-16,16.891,29.793,26.106
1994-01-16,17.992,24.833,24.742
1994-02-16,22.636,19.511,19.914
1994-03-16,38.339,38.674,30.560
1994-04-16,46.200,67.829,37.258
1994-05-16,68.361,87.462,56.400
1994-06-16,56.548,125.553,63.930
1994-07-16,20.763,74.181,26.233
1994-08-16,11.127,45.575,13.539
1994-09-16,9.063,36.616,10.281
1994-10-16,14.692,32.152,10.154
1994-11-16,12.234,26.219,11.861
1994-12-16,14.035,22.395,13.688
1995-01-16,41.997,25.081,24.511
1995-02-16,45.868,41.810,34.807
1995-03-16,146.218,166.512,90.601
1995-04-16,137.314,171.167,81.852
1995-05-16,244.923,247.491,161.005
1995-06-16,282.044,236.612,188.575
1995-07-16,227.505,302.413,172.597
1995-08-16,78.301,180.700,71.006
1995-09-16,36.693,69.628,43.080
1995-10-16,24.028,47.437,39.559
1995-11-16,20.795,37.410,31.802
1995-12-16,25.680,33.125,31.585
1996-01-16,36.574,28.687,32.672
1996-02-16,87.833,107.861,55.733
1996-03-16,99.665,177.922,97.226
1996-04-16,143.661,233.478,159.272
1996-05-16,218.431,273.928,215.558
1996-06-16,150.679,211.811,132.569
1996-07-16,67.881,146.386,87.535
1996-08-16,29.891,75.266,41.930
1996-09-16,16.078,46.196,23.656
1996-10-16,15.001,38.132,18.579
1996-11-16,39.499,38.218,33.332
1996-12-16,80.780,128.632,106.475
1997-01-16,231.778,372.748,175.780
1997-02-16,94.807,166.380,128.195
1997-03-16,112.968,185.482,100.702
1997-04-16,141.921,258.289,201.713
1997-05-16,210.626,283.195,250.655
1997-06-16,137.704,240.391,223.576
1997-07-16,71.087,125.341,68.837
1997-08-16,39.630,67.280,29.904
1997-09-16,23.516,43.949,16.587
1997-10-16,43.476,36.297,16.159
1997-11-16,25.091,29.811,17.912
1997-12-16,26.081,26.476,19.241
1998-01-16,40.436,35.837,36.955
1998-02-16,101.369,98.206,50.915
1998-03-16,126.829,231.144,134.880
1998-04-16,163.637,252.474,198.003
1998-05-16,277.468,385.298,309.516
1998-06-16,346.258,342.462,295.180
