Date,FNF,Qsim,QsimBC
1979-10-16,7.151,13.159,8.171
1979-11-16,7.448,11.600,11.208
1979-12-16,7.141,10.944,15.016
1980-01-16,143.236,118.496,112.688
1980-02-16,130.130,123.967,120.066
1980-03-16,92.711,111.415,102.098
1980-04-16,96.136,47.665,51.892
1980-05-16,126.584,75.853,70.938
1980-06-16,153.646,105.642,63.045
1980-07-16,89.099,190.009,156.707
1980-08-16,23.028,91.759,35.686
1980-09-16,8.220,26.259,18.025
1980-10-16,5.649,15.451,12.715
1980-11-16,5.482,10.977,10.593
1980-12-16,8.769,9.918,14.721
1981-01-16,8.957,8.344,14.329
1981-02-16,16.753,11.855,13.227
1981-03-16,25.450,26.054,26.689
1981-04-16,51.139,42.037,44.406
1981-05-16,71.564,80.466,81.163
1981-06-16,38.902,67.306,41.852
1981-07-16,10.487,21.719,9.550
1981-08-16,3.469,12.322,2.729
1981-09-16,1.781,8.784,1.793
1981-10-16,4.550,7.290,2.549
1981-11-16,11.770,6.507,4.342
1981-12-16,14.712,7.001,7.318
1982-01-16,32.625,27.188,24.860
1982-02-16,40.340,39.680,31.509
1982-03-16,63.190,81.227,64.901
1982-04-16,190.850,170.905,175.629
1982-05-16,173.102,128.107,168.529
1982-06-16,118.808,124.656,112.281
1982-07-16,65.601,73.809,39.052
1982-08-16,22.751,31.380,19.950
1982-09-16,33.339,17.226,7.987
1982-10-16,34.695,28.182,34.473
1982-11-16,51.521,37.368,59.267
1982-12-16,86.740,82.541,76.573
1983-01-16,95.073,90.055,54.833
1983-02-16,119.054,122.067,121.930
1983-03-16,172.703,184.713,162.208
1983-04-16,99.696,89.511,98.013
1983-05-16,202.682,107.259,132.071
1983-06-16,284.412,211.811,294.387
1983-07-16,162.216,220.480,186.557
1983-08-16,68.524,120.463,41.155
1983-09-16,24.689,41.053,43.753
1983-10-16,16.415,23.000,32.024
1983-11-16,43.581,24.908,39.817
1983-12-16,68.724,69.317,67.041
1984-01-16,45.273,74.103,54.818
1984-02-16,38.462,42.268,33.051
1984-03-16,47.544,50.174,48.743
1984-04-16,53.941,48.013,52.317
1984-05-16,110.326,83.405,85.237
1984-06-16,48.524,109.102,73.393
1984-07-16,27.771,33.773,16.565
1984-08-16,11.417,16.802,7.213
1984-09-16,4.866,11.272,3.752
1984-10-16,7.734,9.130,4.709
1984-11-16,15.402,7.918,7.221
1984-12-16,15.037,12.344,15.330
