Date,FNF,Qsim,QsimBC
1979-10-16,10.089,20.107,16.731
1979-11-16,17.149,17.420,35.571
1979-12-16,18.809,20.259,28.862
1980-01-16,243.378,248.465,169.570
1980-02-16,156.679,201.006,132.333
1980-03-16,96.375,141.546,134.414
1980-04-16,134.049,75.248,99.838
1980-05-16,201.723,112.135,147.363
1980-06-16,177.159,133.834,153.465
1980-07-16,70.288,83.531,89.041
1980-08-16,7.416,36.502,17.313
1980-09-16,2.648,24.019,6.609
1980-10-16,1.839,18.889,11.287
1980-11-16,3.624,15.743,16.590
1980-12-16,6.421,15.669,16.826
1981-01-16,15.196,15.956,17.799
1981-02-16,26.497,31.305,22.059
1981-03-16,43.914,68.640,60.130
1981-04-16,110.676,79.879,109.923
1981-05-16,125.783,95.983,142.079
1981-06-16,34.018,50.091,34.189
1981-07-16,0.965,31.532,6.426
1981-08-16,0.379,22.106,2.402
1981-09-16,0.350,16.812,2.713
1981-10-16,6.020,15.700,4.263
1981-11-16,76.794,36.265,62.032
1981-12-16,128.089,132.583,122.067
1982-01-16,89.265,169.218,92.123
1982-02-16,202.484,230.037,163.642
1982-03-16,149.102,179.385,164.585
1982-04-16,292.511,248.381,324.946
1982-05-16,306.367,207.980,345.658
1982-06-16,191.932,170.449,267.293
1982-07-16,66.494,68.184,60.947
1982-08-16,18.139,35.331,13.773
1982-09-16,20.264,23.712,5.889
1982-10-16,66.087,22.406,34.777
1982-11-16,62.554,76.220,133.248
1982-12-16,103.191,170.465,153.806
1983-01-16,92.294,151.012,90.489
1983-02-16,135.022,182.050,106.474
1983-03-16,247.557,275.959,261.010
1983-04-16,137.117,124.174,173.053
1983-05-16,315.407,148.389,238.095
1983-06-16,400.945,269.669,447.066
1983-07-16,222.956,201.948,190.348
1983-08-16,41.404,57.885,26.733
1983-09-16,23.857,32.061,21.525
1983-10-16,16.670,25.681,75.747
1983-11-16,161.577,107.273,108.081
1983-12-16,194.151,229.020,205.746
1984-01-16,90.964,116.779,73.278
1984-02-16,63.124,71.328,63.746
1984-03-16,90.224,87.666,88.727
1984-04-16,94.713,68.608,99.073
1984-05-16,228.586,130.677,210.382
1984-06-16,109.725,176.303,300.774
1984-07-16,22.786,58.555,47.651
1984-08-16,4.926,31.778,7.671
1984-09-16,2.740,22.003,5.757
1984-10-16,8.901,18.129,10.406
1984-11-16,34.784,19.513,47.873
1984-12-16,20.928,38.970,47.893
1985-01-16,19.408,37.119,34.198
1985-02-16,27.986,42.371,38.299
1985-03-16,46.476,67.327,57.336
1985-04-16,138.419,92.018,124.212
1985-05-16,141.660,133.553,217.993
1985-06-16,34.321,54.750,60.478
1985-07-16,4.124,32.550,8.420
1985-08-16,2.171,22.726,2.843
