Date,FNF,Qsim,QsimBC
1979-10-16,9.560,25.319,21.060
1979-11-16,8.810,15.487,22.398
1979-12-16,20.750,12.898,38.537
1980-01-16,265.570,291.396,230.371
1980-02-16,258.490,317.068,241.112
1980-03-16,155.800,242.594,170.509
1980-04-16,172.480,105.318,128.671
1980-05-16,285.790,138.910,114.672
1980-06-16,288.820,178.372,92.131
1980-07-16,136.630,359.104,234.418
1980-08-16,30.610,198.793,52.048
1980-09-16,12.200,70.967,26.980
1980-10-16,9.810,30.252,28.285
1980-11-16,5.700,15.474,22.055
1980-12-16,9.630,10.384,30.876
1981-01-16,21.420,8.125,22.257
1981-02-16,26.870,14.069,27.790
1981-03-16,52.240,58.616,58.925
1981-04-16,121.990,113.250,142.424
1981-05-16,158.820,173.722,226.617
1981-06-16,68.890,189.956,130.062
1981-07-16,16.000,76.016,23.056
1981-08-16,4.610,31.841,8.558
1981-09-16,5.030,17.191,5.651
1981-10-16,5.740,11.013,6.942
1981-11-16,50.150,12.837,20.428
1981-12-16,63.600,49.713,81.656
1982-01-16,135.060,171.813,115.498
1982-02-16,202.630,303.363,231.926
1982-03-16,189.420,260.122,187.417
1982-04-16,428.810,409.937,359.862
1982-05-16,418.280,274.553,361.458
1982-06-16,262.960,282.872,286.251
1982-07-16,123.120,215.328,84.958
1982-08-16,36.490,163.263,33.457
1982-09-16,30.930,61.764,16.677
1982-10-16,51.320,35.115,36.518
1982-11-16,84.140,53.792,160.829
1982-12-16,150.310,173.308,196.729
1983-01-16,185.590,199.880,157.065
1983-02-16,231.920,303.822,225.151
1983-03-16,369.720,433.612,372.330
1983-04-16,197.450,188.408,189.273
1983-05-16,382.290,214.986,287.790
1983-06-16,656.050,449.097,595.034
1983-07-16,351.670,391.037,276.147
1983-08-16,97.050,216.359,54.075
1983-09-16,29.030,73.734,24.402
1983-10-16,28.440,34.280,36.182
1983-11-16,114.310,38.233,76.303
1983-12-16,203.840,214.896,233.793
1984-01-16,93.220,223.218,200.172
1984-02-16,80.790,87.582,64.535
1984-03-16,97.380,89.775,67.997
1984-04-16,128.910,83.120,104.385
1984-05-16,264.660,148.762,143.802
1984-06-16,114.350,242.829,170.255
1984-07-16,46.670,171.965,49.088
1984-08-16,8.030,58.447,12.867
1984-09-16,0.000,24.325,6.529
1984-10-16,8.420,13.992,10.739
1984-11-16,28.110,9.789,11.300
1984-12-16,21.370,12.679,37.275
1985-01-16,18.890,13.782,40.308
1985-02-16,33.260,17.300,29.699
1985-03-16,58.960,48.346,56.175
1985-04-16,147.010,108.370,131.893
1985-05-16,170.940,188.457,262.073
1985-06-16,56.690,135.587,54.669
1985-07-16,12.160,49.900,15.217
1985-08-16,4.830,23.037,5.701
1985-09-16,6.360,12.915,3.304
1985-10-16,11.594,8.969,3.285
1985-11-16,16.267,7.080,7.230
1985-12-16,33.621,10.260,27.567
1986-01-16,44.882,38.590,63.972
1986-02-16,362.110,464.437,369.838
1986-03-16,287.398,387.278,339.422
1986-04-16,191.449,180.450,174.163
1986-05-16,315.612,204.783,283.744
1986-06-16,227.696,346.553,475.992
1986-07-16,50.525,234.925,115.365
1986-08-16,12.165,71.398,18.176
1986-09-16,5.036,26.640,8.147
1986-10-16,6.715,15.000,11.987
1986-11-16,2.552,10.015,15.156
1986-12-16,4.646,7.954,21.025
1987-01-16,5.897,6.678,15.019
1987-02-16,18.392,7.040,21.340
1987-03-16,36.302,26.112,44.599
1987-04-16,94.972,61.938,90.792
1987-05-16,94.672,143.375,134.961
1987-06-16,25.016,61.797,24.848
1987-07-16,6.033,28.394,9.632
1987-08-16,2.555,15.292,3.258
1987-09-16,0.000,9.355,1.213
1987-10-16,4.160,7.109,1.324
1987-11-16,15.028,6.225,1.347
1987-12-16,12.877,6.406,1.441
1988-01-16,27.550,6.486,11.244
1988-02-16,24.188,9.238,25.721
1988-03-16,48.461,25.612,42.247
1988-04-16,92.724,64.852,94.235
1988-05-16,106.668,97.562,89.681
1988-06-16,54.885,109.880,36.945
1988-07-16,19.307,63.450,20.992
1988-08-16,6.318,26.000,6.912
1988-09-16,3.184,13.416,3.995
1988-10-16,1.220,8.920,3.561
1988-11-16,4.901,6.694,6.922
1988-12-16,9.678,6.427,5.608
1989-01-16,12.134,6.406,5.274
1989-02-16,22.710,7.000,18.287
1989-03-16,95.563,118.636,102.488
1989-04-16,160.188,163.236,168.005
1989-05-16,131.888,139.995,118.724
1989-06-16,72.951,126.793,50.353
1989-07-16,12.848,77.085,23.129
1989-08-16,4.515,29.421,7.680
1989-09-16,5.001,14.492,4.281
1989-10-16,15.220,9.913,4.870
1989-11-16,10.894,7.924,9.161
1989-12-16,9.081,8.966,23.081
1990-01-16,14.716,13.812,40.681
1990-02-16,21.173,25.219,33.711
1990-03-16,56.090,70.114,64.790
1990-04-16,113.775,115.840,147.440
1990-05-16,86.945,135.349,114.510
1990-06-16,47.800,100.885,32.751
1990-07-16,23.068,53.874,16.462
1990-08-16,5.541,24.158,6.396
1990-09-16,2.116,12.819,3.495
1990-10-16,2.027,8.696,3.093
1990-11-16,1.350,6.565,6.255
1990-12-16,1.442,6.422,5.211
1991-01-16,4.988,6.399,4.572
1991-02-16,3.142,5.789,13.011
1991-03-16,95.549,31.972,47.845
1991-04-16,80.835,151.042,161.052
1991-05-16,184.346,141.798,126.828
1991-06-16,144.750,235.458,157.250
1991-07-16,36.360,134.936,32.899
1991-08-16,3.786,44.277,11.903
1991-09-16,1.881,19.307,6.246
1991-10-16,4.990,11.937,8.360
1991-11-16,10.723,7.883,9.055
1991-12-16,8.164,6.958,12.523
1992-01-16,12.580,6.605,14.057
1992-02-16,53.858,21.976,32.904
1992-03-16,50.703,99.821,93.154
1992-04-16,131.046,135.169,150.011
1992-05-16,104.727,196.450,281.231
1992-06-16,30.638,84.224,30.100
1992-07-16,32.630,32.316,10.400
1992-08-16,5.783,17.880,4.005
1992-09-16,2.397,10.774,1.651
1992-10-16,1.817,7.956,2.083
1992-11-16,6.551,6.387,4.904
1992-12-16,21.861,6.529,8.197
1993-01-16,190.061,147.635,105.217
1993-02-16,100.343,176.502,105.979
1993-03-16,156.537,257.350,187.087
1993-04-16,181.432,250.238,226.545
1993-05-16,454.515,351.934,476.600
1993-06-16,280.301,256.521,206.478
1993-07-16,95.882,213.997,51.462
1993-08-16,33.514,99.749,30.343
1993-09-16,7.889,34.224,12.412
1993-10-16,7.656,17.038,15.368
1993-11-16,4.700,9.921,14.596
1993-12-16,7.519,7.566,16.809
1994-01-16,9.263,6.497,12.630
1994-02-16,27.834,6.312,16.477
1994-03-16,39.615,17.953,37.399
1994-04-16,87.295,57.175,89.598
1994-05-16,121.261,103.025,97.235
1994-06-16,47.847,103.979,33.148
1994-07-16,11.624,45.520,12.861
1994-08-16,8.559,20.376,4.514
1994-09-16,1.720,11.227,2.051
1994-10-16,15.844,7.981,2.056
1994-11-16,21.625,6.535,5.920
1994-12-16,24.709,7.412,13.013
1995-01-16,199.943,219.057,189.421
1995-02-16,69.799,189.728,122.658
1995-03-16,363.676,423.534,350.382
1995-04-16,205.684,221.232,199.727
1995-05-16,388.333,304.421,439.059
1995-06-16,470.914,297.900,295.919
1995-07-16,340.441,400.519,357.246
1995-08-16,58.733,245.560,110.148
1995-09-16,12.977,86.118,34.569
1995-10-16,10.869,32.456,31.881
1995-11-16,7.063,15.601,26.068
1995-12-16,29.621,10.402,31.072
1996-01-16,66.182,14.498,44.430
1996-02-16,190.753,212.066,170.884
1996-03-16,161.473,269.393,210.810
1996-04-16,196.637,190.619,192.346
1996-05-16,317.364,343.471,466.773
1996-06-16,157.460,252.772,216.409
1996-07-16,51.462,174.502,46.962
1996-08-16,14.176,68.602,16.504
1996-09-16,6.077,25.635,7.903
1996-10-16,1.684,13.922,10.282
1996-11-16,57.254,16.108,26.790
1996-12-16,230.000,211.410,202.198
1997-01-16,633.700,820.773,617.912
1997-02-16,101.845,212.194,190.854
1997-03-16,116.000,101.421,91.561
1997-04-16,169.000,99.356,123.357
1997-05-16,277.668,170.275,184.305
