Date,FNF,Qsim,QsimBC
1979-10-16,50.940,32.745,80.557
1979-11-16,59.580,68.862,87.844
1979-12-16,60.130,94.522,90.541
1980-01-16,166.950,248.702,191.453
1980-02-16,231.730,315.863,248.053
1980-03-16,148.490,212.911,154.947
1980-04-16,104.900,134.683,97.529
1980-05-16,86.660,97.497,78.622
1980-06-16,64.220,73.723,66.336
1980-07-16,58.500,62.813,65.616
1980-08-16,53.230,44.183,64.499
1980-09-16,49.290,30.368,62.636
1980-10-16,50.000,24.408,63.198
1980-11-16,47.220,19.083,54.950
1980-12-16,71.040,57.218,72.436
1981-01-16,80.310,98.983,88.402
1981-02-16,97.530,157.325,119.076
1981-03-16,139.200,225.131,167.453
1981-04-16,89.440,138.877,112.158
1981-05-16,70.850,101.276,87.275
1981-06-16,55.230,77.386,69.223
1981-07-16,50.810,57.546,63.134
1981-08-16,46.300,40.029,58.764
1981-09-16,44.370,28.220,55.395
1981-10-16,56.510,23.927,58.348
1981-11-16,174.320,248.485,218.475
1981-12-16,202.450,336.601,263.039
1982-01-16,107.270,171.971,129.351
1982-02-16,167.880,207.664,138.251
1982-03-16,180.580,246.645,179.854
1982-04-16,250.070,322.140,281.614
1982-05-16,140.670,150.028,120.409
1982-06-16,90.770,89.197,78.222
1982-07-16,75.000,70.002,72.949
1982-08-16,64.600,51.041,71.086
1982-09-16,62.590,34.516,69.941
1982-10-16,70.450,30.573,74.587
1982-11-16,73.580,75.831,90.060
1982-12-16,154.820,242.134,202.768
1983-01-16,302.110,330.058,230.885
1983-02-16,280.060,393.986,271.933
1983-03-16,420.780,609.195,437.015
1983-04-16,223.810,250.633,177.410
1983-05-16,198.080,209.421,188.867
1983-06-16,129.310,138.521,128.266
1983-07-16,105.070,99.199,102.945
1983-08-16,90.320,66.636,85.462
1983-09-16,80.250,40.895,75.609
1983-10-16,79.870,30.940,74.578
1983-11-16,130.220,148.107,111.948
1983-12-16,237.100,303.456,215.271
1984-01-16,131.010,159.776,118.082
1984-02-16,111.090,126.721,98.412
1984-03-16,162.900,164.507,137.023
1984-04-16,113.280,119.118,90.268
1984-05-16,102.500,97.900,79.264
1984-06-16,82.360,76.734,66.265
1984-07-16,75.690,59.391,63.416
1984-08-16,71.140,40.271,59.145
1984-09-16,66.900,28.446,55.636
1984-10-16,69.540,22.699,55.999
1984-11-16,106.990,140.779,125.892
1984-12-16,89.700,118.353,109.813
1985-01-16,75.130,81.316,81.040
1985-02-16,68.420,69.955,67.844
1985-03-16,79.910,72.633,62.246
1985-04-16,86.230,71.709,54.835
1985-05-16,68.860,67.403,54.044
1985-06-16,59.820,50.953,42.841
1985-07-16,58.110,39.593,42.918
1985-08-16,56.480,28.957,37.566
1985-09-16,56.670,22.903,39.525
1985-10-16,57.160,19.387,46.134
1985-11-16,55.260,19.691,56.959
1985-12-16,66.740,63.516,78.865
1986-01-16,127.730,199.915,164.410
1986-02-16,365.970,547.188,483.323
1986-03-16,204.470,307.126,229.747
1986-04-16,101.960,135.069,98.614
1986-05-16,87.860,98.247,79.789
1986-06-16,70.490,80.381,74.534
1986-07-16,64.114,55.002,59.531
1986-08-16,59.705,37.059,55.489
1986-09-16,58.162,26.916,50.782
1986-10-16,58.530,23.713,56.781
