Date,FNF,Qsim,QsimBC
1979-10-16,203.630,60.213,198.540
1979-11-16,213.540,133.542,197.205
1979-12-16,234.480,151.435,240.215
1980-01-16,798.560,515.871,583.298
1980-02-16,685.010,512.115,625.297
1980-03-16,580.990,449.567,458.926
1980-04-16,391.220,244.223,298.286
1980-05-16,348.660,222.200,266.258
1980-06-16,192.110,143.110,200.297
1980-07-16,154.580,99.487,169.826
1980-08-16,128.700,65.554,154.145
1980-09-16,150.430,46.840,156.152
1980-10-16,173.310,40.732,162.457
1980-11-16,132.270,34.297,150.091
1980-12-16,191.590,103.969,201.404
1981-01-16,229.710,150.173,214.240
1981-02-16,249.700,212.049,248.318
1981-03-16,262.940,274.761,303.407
1981-04-16,250.400,184.326,279.643
1981-05-16,196.230,175.421,228.405
1981-06-16,164.290,108.113,177.122
1981-07-16,142.810,69.638,142.833
1981-08-16,132.050,49.550,129.480
1981-09-16,148.600,38.249,134.907
1981-10-16,164.220,37.189,148.302
1981-11-16,432.830,444.411,540.814
1981-12-16,565.670,520.193,605.698
1982-01-16,416.760,333.140,385.586
1982-02-16,624.510,451.790,544.135
1982-03-16,568.290,482.988,562.630
1982-04-16,758.730,602.175,713.525
1982-05-16,390.120,316.467,349.167
1982-06-16,239.030,164.914,210.250
1982-07-16,178.510,103.859,170.221
1982-08-16,162.400,68.917,159.200
1982-09-16,154.970,49.359,157.184
1982-10-16,178.720,47.630,183.685
1982-11-16,180.520,113.305,200.762
1982-12-16,357.550,307.636,300.009
1983-01-16,436.380,375.662,426.750
1983-02-16,683.780,553.942,651.215
1983-03-16,996.260,932.972,967.085
1983-04-16,554.720,483.746,529.269
1983-05-16,457.300,429.964,485.307
1983-06-16,313.740,361.757,383.699
1983-07-16,198.150,156.628,204.534
1983-08-16,170.870,92.163,173.705
1983-09-16,171.570,61.991,192.263
1983-10-16,182.260,50.114,191.291
1983-11-16,269.450,239.099,313.375
1983-12-16,548.690,458.638,484.742
1984-01-16,383.530,276.677,324.287
1984-02-16,309.280,240.825,279.205
1984-03-16,424.550,324.114,373.260
1984-04-16,337.750,240.719,293.288
1984-05-16,347.820,263.828,330.515
1984-06-16,239.420,213.078,258.138
1984-07-16,165.560,108.305,175.938
1984-08-16,158.910,64.636,144.722
1984-09-16,167.260,46.674,153.617
1984-10-16,194.390,40.133,153.084
1984-11-16,278.550,214.126,287.189
1984-12-16,250.140,157.664,248.956
1985-01-16,214.430,96.473,182.504
1985-02-16,217.300,107.717,185.233
1985-03-16,251.970,137.864,196.640
1985-04-16,279.800,159.278,245.103
1985-05-16,194.100,151.243,197.735
1985-06-16,175.230,92.989,165.603
1985-07-16,150.060,60.402,131.100
1985-08-16,140.440,44.326,120.620
1985-09-16,157.190,45.605,150.403
1985-10-16,178.602,33.985,145.505
1985-11-16,162.216,34.477,149.718
1985-12-16,213.636,121.771,203.267
1986-01-16,325.717,293.704,381.397
1986-02-16,1152.130,716.357,713.636
1986-03-16,444.631,649.119,771.385
1986-04-16,344.289,335.720,438.873
1986-05-16,284.538,290.388,348.150
1986-06-16,172.142,190.965,239.649
1986-07-16,170.286,99.336,166.384
1986-08-16,139.245,63.002,142.272
1986-09-16,156.222,46.568,150.829
1986-10-16,180.654,41.811,173.320
1986-11-16,165.292,37.874,162.812
1986-12-16,178.744,45.604,163.108
1987-01-16,205.102,107.168,202.511
1987-02-16,246.248,199.971,245.533
1987-03-16,372.951,295.538,316.522
1987-04-16,216.190,130.155,216.967
1987-05-16,190.314,115.834,183.860
1987-06-16,167.329,75.061,151.624
1987-07-16,161.826,54.272,126.341
1987-08-16,113.735,42.654,116.316
1987-09-16,146.000,33.980,124.768
1987-10-16,148.364,30.260,137.158
1987-11-16,152.340,26.612,128.401
1987-12-16,244.904,146.884,227.725
1988-01-16,249.385,153.502,221.667
1988-02-16,211.076,111.631,190.582
1988-03-16,225.906,96.868,149.739
1988-04-16,189.705,108.418,186.859
1988-05-16,207.069,137.380,193.818
1988-06-16,187.204,102.330,170.124
1988-07-16,140.899,62.718,133.592
1988-08-16,142.641,43.076,116.545
1988-09-16,128.450,33.031,114.901
1988-10-16,134.773,29.332,131.797
1988-11-16,182.702,74.704,185.097
1988-12-16,155.068,62.491,174.583
1989-01-16,160.679,81.003,175.745
1989-02-16,187.416,98.430,178.436
1989-03-16,631.751,478.314,559.136
1989-04-16,358.396,278.203,370.402
1989-05-16,223.115,210.033,250.887
1989-06-16,159.604,122.649,190.455
1989-07-16,133.533,80.139,153.290
1989-08-16,139.652,52.337,132.844
1989-09-16,136.860,39.624,136.314
1989-10-16,173.367,78.600,210.070
1989-11-16,151.575,49.985,175.459
1989-12-16,160.901,49.013,166.818
1990-01-16,203.421,152.282,222.448
1990-02-16,148.432,84.447,170.167
1990-03-16,262.797,186.456,247.971
1990-04-16,174.332,104.398,185.544
1990-05-16,181.430,165.992,210.750
1990-06-16,195.399,131.886,191.493
1990-07-16,132.542,68.751,141.128
1990-08-16,129.462,47.733,128.565
1990-09-16,127.344,36.413,129.756
1990-10-16,134.831,31.973,143.460
1990-11-16,131.547,27.528,132.208
1990-12-16,130.070,26.079,146.553
1991-01-16,149.374,24.714,139.337
1991-02-16,136.668,26.923,40.435
1991-03-16,230.113,224.062,262.903
1991-04-16,203.163,136.666,233.690
1991-05-16,229.468,117.886,186.909
1991-06-16,151.571,112.166,180.299
1991-07-16,123.464,69.024,141.634
1991-08-16,117.408,45.860,128.532
1991-09-16,119.629,34.475,127.936
1991-10-16,142.075,30.136,134.804
1991-11-16,132.641,25.956,123.300
1991-12-16,140.756,26.261,151.183
1992-01-16,154.130,36.920,168.329
1992-02-16,217.256,228.234,257.985
1992-03-16,192.502,162.982,236.627
1992-04-16,187.676,121.943,207.408
1992-05-16,148.368,77.230,150.237
1992-06-16,143.846,51.983,130.119
1992-07-16,133.606,40.173,110.865
1992-08-16,113.946,32.369,90.447
1992-09-16,128.737,26.575,81.024
1992-10-16,131.965,26.732,119.395
1992-11-16,131.848,32.191,146.457
1992-12-16,173.804,148.953,233.964
1993-01-16,270.817,258.743,300.985
1993-02-16,330.381,230.411,253.121
1993-03-16,762.273,482.989,562.632
1993-04-16,491.049,471.269,538.781
1993-05-16,320.437,344.195,393.313
1993-06-16,289.229,290.614,296.330
1993-07-16,153.106,126.047,189.457
1993-08-16,128.460,75.864,167.232
1993-09-16,134.799,52.024,170.562
1993-10-16,142.039,43.831,179.985
1993-11-16,128.578,37.313,162.021
1993-12-16,171.233,95.998,196.103
1994-01-16,162.002,98.355,200.364
1994-02-16,183.675,140.309,213.461
1994-03-16,222.253,149.489,214.647
1994-04-16,174.471,96.486,167.692
1994-05-16,182.463,120.760,191.766
1994-06-16,144.339,83.843,159.384
1994-07-16,121.186,56.920,130.380
1994-08-16,113.560,42.216,115.906
1994-09-16,124.616,33.461,119.316
1994-10-16,127.718,30.006,134.784
1994-11-16,146.041,26.617,128.410
1994-12-16,163.685,41.050,159.950
1995-01-16,718.958,563.870,679.306
1995-02-16,394.752,314.147,328.489
1995-03-16,131.947,808.258,938.040
1995-04-16,733.257,525.743,575.642
1995-05-16,875.341,534.864,594.271
1995-06-16,291.445,289.192,295.608
1995-07-16,197.675,159.035,207.538
1995-08-16,146.431,89.156,171.120
1995-09-16,158.917,57.850,181.271
1995-10-16,163.121,46.778,181.993
1995-11-16,156.924,38.015,164.845
1995-12-16,256.775,153.137,237.322
1996-01-16,298.864,212.264,263.309
1996-02-16,101.679,614.356,704.673
1996-03-16,616.598,486.024,569.638
1996-04-16,383.377,354.065,455.764
1996-05-16,428.878,408.558,451.145
1996-06-16,241.646,198.589,240.191
1996-07-16,176.546,106.164,171.881
1996-08-16,158.837,68.173,158.734
1996-09-16,156.134,49.755,159.988
1996-10-16,171.960,42.254,178.625
1996-11-16,198.934,83.364,187.073
1996-12-16,508.936,471.233,552.853
1997-01-16,829.000,804.963,1030.070
1997-02-16,434.000,432.904,523.850
1997-03-16,316.127,280.509,302.709
1997-04-16,294.447,223.716,280.560
1997-05-16,243.177,200.242,232.993
1997-06-16,177.104,119.762,186.768
1997-07-16,169.804,79.019,150.030
1997-08-16,151.478,55.854,137.497
1997-09-16,152.759,43.714,144.956
1997-10-16,176.648,40.222,153.592
1997-11-16,204.373,157.442,213.173
1997-12-16,233.485,165.124,256.506
1998-01-16,578.322,476.536,532.294
1998-02-16,619.222,775.346,1204.842
1998-03-16,562.630,513.504,612.360
1998-04-16,469.779,424.668,482.738
1998-05-16,583.344,525.029,829.451
1998-06-16,475.870,431.059,373.843
1998-07-16,238.620,205.217,265.343
1998-08-16,185.633,103.135,191.212
1998-09-16,196.101,65.744,198.652
1998-10-16,208.996,52.424,189.688
1998-11-16,290.965,158.177,205.049
1998-12-16,421.146,277.016,293.512
1999-01-16,389.110,267.632,305.112
1999-02-16,723.679,453.517,550.791
1999-03-16,837.811,464.741,505.862
1999-04-16,509.488,292.056,385.855
1999-05-16,369.276,234.856,295.946
1999-06-16,255.686,166.774,212.990
1999-07-16,205.630,94.359,157.833
1999-08-16,161.544,60.114,139.616
1999-09-16,170.537,44.577,148.970
1999-10-16,196.436,41.759,173.226
1999-11-16,172.238,37.530,161.716
1999-12-16,197.385,66.296,175.886
2000-01-16,322.937,271.751,315.952
2000-02-16,548.765,382.186,416.108
2000-03-16,637.026,340.920,428.132
2000-04-16,409.337,246.180,305.017
2000-05-16,238.666,173.931,221.159
2000-06-16,204.457,107.878,175.024
2000-07-16,171.645,69.990,144.009
2000-08-16,170.173,50.263,130.337
2000-09-16,187.312,40.489,136.772
2000-10-16,180.056,34.899,146.796
2000-11-16,177.337,34.211,146.722
2000-12-16,202.037,61.509,173.329
2001-01-16,199.744,82.271,170.428
2001-02-16,212.970,148.112,217.488
2001-03-16,247.813,170.805,235.938
2001-04-16,228.063,112.484,189.339
2001-05-16,198.176,106.338,175.364
2001-06-16,170.873,65.210,146.242
2001-07-16,148.151,46.326,123.398
2001-08-16,137.971,36.182,110.012
2001-09-16,140.257,33.285,117.267
2001-10-16,153.661,28.261,126.731
2001-11-16,175.357,67.899,180.809
2001-12-16,296.904,235.041,278.229
2002-01-16,360.351,282.335,342.846
2002-02-16,249.652,160.815,217.738
2002-03-16,250.947,203.092,251.033
2002-04-16,280.660,161.267,248.098
2002-05-16,231.908,143.528,194.572
2002-06-16,178.756,94.321,166.846
2002-07-16,147.672,59.173,130.427
2002-08-16,137.557,42.800,116.305
2002-09-16,136.431,33.586,123.164
2002-10-16,142.393,29.975,133.156
2002-11-16,146.723,29.216,135.617
2002-12-16,310.857,288.628,294.927
2003-01-16,394.365,366.983,416.465
2003-02-16,262.661,172.305,224.642
2003-03-16,258.871,228.251,267.069
2003-04-16,358.597,281.535,385.333
2003-05-16,392.169,286.208,344.291
2003-06-16,211.365,155.760,201.092
2003-07-16,160.760,88.968,154.152
2003-08-16,126.722,57.032,139.407
2003-09-16,150.757,41.680,140.592
2003-10-16,149.478,35.650,147.679
2003-11-16,149.385,30.745,140.702
2003-12-16,255.325,191.523,273.198
2004-01-16,307.934,197.090,256.670
2004-02-16,495.498,401.469,430.145
2004-03-16,372.871,330.179,431.818
2004-04-16,266.510,225.904,284.032
2004-05-16,211.233,166.359,210.068
2004-06-16,175.528,105.200,171.588
2004-07-16,141.111,71.052,148.491
2004-08-16,128.530,49.496,129.684
2004-09-16,126.653,38.123,135.779
2004-10-16,147.802,34.473,146.189
2004-11-16,143.976,30.983,141.803
2004-12-16,201.110,120.513,210.983
2005-01-16,223.234,170.977,249.532
2005-02-16,224.481,172.086,229.330
2005-03-16,302.035,250.911,292.282
2005-04-16,295.248,214.113,279.609
2005-05-16,482.938,343.408,388.971
2005-06-16,240.691,176.490,227.318
2005-07-16,151.280,96.712,163.670
2005-08-16,124.937,60.948,140.557
2005-09-16,123.566,44.300,149.758
2005-10-16,145.770,37.701,150.183
2005-11-16,161.394,40.867,168.114
2005-12-16,407.465,423.345,470.276
2006-01-16,550.248,624.046,816.232
2006-02-16,421.896,411.245,457.432
2006-03-16,561.543,587.729,654.425
2006-04-16,722.982,738.906,922.294
2006-05-16,435.190,427.705,480.224
2006-06-16,215.875,189.581,239.446
2006-07-16,174.505,105.151,171.057
2006-08-16,154.556,65.695,151.871
2006-09-16,150.300,47.919,156.600
2006-10-16,160.151,40.993,172.146
2006-11-16,175.493,35.594,152.660
2006-12-16,229.364,130.597,213.116
2007-01-16,201.648,103.254,201.963
2007-02-16,244.344,179.563,233.007
2007-03-16,262.884,181.689,247.045
2007-04-16,197.337,104.634,175.127
2007-05-16,178.037,91.436,158.173
2007-06-16,150.790,62.309,144.276
2007-07-16,142.948,46.391,123.485
2007-08-16,133.354,36.243,110.170
2007-09-16,141.190,29.954,111.765
2007-10-16,145.244,30.511,141.850
2007-11-16,138.892,25.846,121.204
2007-12-16,174.279,64.706,177.293
2008-01-16,227.615,170.593,249.311
2008-02-16,239.500,196.863,244.903
2008-03-16,303.542,184.010,247.776
2008-04-16,218.829,113.466,190.830
2008-05-16,206.465,111.586,181.492
2008-06-16,166.654,85.318,157.921
2008-07-16,125.784,53.680,127.383
2008-08-16,110.086,38.880,114.139
2008-09-16,114.978,30.865,112.486
2008-10-16,131.491,28.513,128.721
2008-11-16,140.958,33.272,146.759
2008-12-16,153.087,30.373,154.455
2009-01-16,176.317,70.965,163.210
2009-02-16,279.165,195.607,239.515
2009-03-16,458.458,295.326,315.952
2009-04-16,185.868,119.286,204.159
2009-05-16,165.307,198.563,233.610
2009-06-16,163.404,91.372,164.884
2009-07-16,127.510,63.033,140.932
2009-08-16,116.321,44.194,120.697
2009-09-16,111.621,33.940,126.438
2009-10-16,140.314,35.867,148.076
2009-11-16,135.779,28.808,132.578
2009-12-16,164.375,57.936,171.405
2010-01-16,258.375,256.077,298.928
2010-02-16,279.499,245.476,311.283
2010-03-16,247.700,215.460,260.091
2010-04-16,275.217,256.491,340.839
2010-05-16,249.029,209.324,242.866
2010-06-16,214.490,168.505,218.500
2010-07-16,140.951,91.783,157.845
2010-08-16,129.703,56.044,138.180
2010-09-16,130.093,40.857,140.373
2010-10-16,141.816,40.874,168.388
2010-11-16,146.655,67.203,179.238
2010-12-16,309.957,301.929,296.936
2011-01-16,255.224,189.299,256.190
2011-02-16,229.853,169.165,221.188
2011-03-16,551.902,520.880,619.061
2011-04-16,449.505,448.150,500.933
2011-05-16,385.279,334.971,364.363
2011-06-16,295.836,259.730,278.741
2011-07-16,172.329,143.290,199.082
2011-08-16,140.735,77.731,168.840
2011-09-16,137.072,51.951,170.436
2011-10-16,147.210,43.929,180.088
2011-11-16,157.791,36.650,159.697
2011-12-16,151.021,34.507,159.037
2012-01-16,169.689,59.850,165.473
2012-02-16,167.513,70.720,139.532
2012-03-16,302.164,257.338,301.320
2012-04-16,301.496,270.951,355.361
2012-05-16,209.445,154.208,197.524
2012-06-16,159.891,89.899,162.797
2012-07-16,130.242,61.815,133.591
2012-08-16,116.294,44.985,127.395
2012-09-16,118.875,35.061,128.789
2012-10-16,146.531,31.060,142.074
2012-11-16,164.800,51.589,176.036
2012-12-16,290.808,326.882,340.050
2013-01-16,221.062,156.783,228.827
2013-02-16,222.433,144.443,212.155
2013-03-16,243.446,155.848,224.176
2013-04-16,245.642,163.141,267.392
2013-05-16,184.448,111.346,181.282
2013-06-16,156.481,75.809,152.125
2013-07-16,131.253,55.560,128.771
2013-08-16,120.713,41.992,113.955
2013-09-16,129.193,33.600,123.593
2013-10-16,133.212,30.425,141.964
2013-11-16,122.504,26.732,131.593
2013-12-16,140.758,25.721,129.496
2014-01-16,138.680,24.420,147.597
2014-02-16,167.465,67.701,137.018
2014-03-16,247.965,211.932,256.974
2014-04-16,204.451,131.385,220.585
2014-05-16,146.563,80.360,154.037
2014-06-16,139.487,55.092,140.747
2014-07-16,113.111,40.987,118.307
2014-08-16,105.979,32.485,91.538
2014-09-16,109.420,27.358,94.409
2014-10-16,120.694,26.662,117.181
2014-11-16,119.543,25.704,122.040
2014-12-16,292.974,378.603,416.548
2015-01-16,183.014,114.490,206.538
2015-02-16,251.005,224.931,249.798
2015-03-16,163.856,100.708,193.818
2015-04-16,152.767,81.480,147.219
2015-05-16,150.505,64.811,122.995
2015-06-16,137.901,59.123,144.389
2015-07-16,117.487,44.249,122.789
2015-08-16,108.315,34.840,108.722
2015-09-16,111.711,28.425,110.430
2015-10-16,119.327,26.176,101.408
2015-11-16,113.760,23.264,108.195
2015-12-16,182.481,77.556,186.874
2016-01-16,379.582,367.361,417.601
2016-02-16,238.788,240.290,279.495
2016-03-16,595.712,566.180,636.318
2016-04-16,282.426,275.081,358.541
2016-05-16,228.212,197.991,231.889
2016-06-16,189.959,120.637,183.991
2016-07-16,130.447,79.247,151.652
2016-08-16,115.703,54.091,137.280
2016-09-16,113.962,40.744,139.272
2016-10-16,153.206,86.319,229.521
2016-11-16,163.053,167.621,272.833
2016-12-16,296.592,337.986,368.411
2017-01-16,592.278,496.429,564.715
2017-02-16,1287.470,881.336,1309.626
2017-03-16,682.527,632.198,710.247
2017-04-16,598.845,607.865,734.953
2017-05-16,335.672,340.873,388.684
2017-06-16,226.357,173.653,225.600
2017-07-16,167.598,99.233,165.414
2017-08-16,168.303,63.525,141.352
2017-09-16,156.983,46.564,150.756
2017-10-16,148.010,40.238,160.244
2017-11-16,188.837,66.181,175.832
2017-12-16,175.114,57.709,169.608
2018-01-16,207.133,121.780,208.283
2018-02-16,182.536,81.864,164.086
2018-03-16,300.718,225.402,262.835
2018-04-16,323.930,242.362,294.830
2018-05-16,194.664,155.760,206.611
2018-06-16,182.595,108.072,175.476
2018-07-16,130.040,69.679,143.491
2018-08-16,120.518,48.880,129.214
2018-09-16,124.232,37.556,133.251
2018-10-16,142.085,33.550,145.702
2018-11-16,128.403,29.238,138.924
2018-12-16,169.689,84.502,191.618
2019-01-16,294.803,321.639,388.099
2019-02-16,440.829,328.584,344.244
2019-03-16,685.331,623.714,673.875
2019-04-16,679.925,581.656,688.546
2019-05-16,345.680,368.225,432.729
2019-06-16,231.057,209.813,252.561
2019-07-16,154.152,109.240,176.755
2019-08-16,136.861,68.279,159.284
2019-09-16,135.994,49.431,157.503
2019-10-16,187.567,42.094,175.458
2019-11-16,128.111,35.515,156.600
2019-12-16,211.501,102.435,196.352
2020-01-16,246.590,159.354,228.129
2020-02-16,208.505,105.134,183.505
2020-03-16,194.558,91.587,124.754
2020-04-16,238.485,141.338,232.048
2020-05-16,191.023,164.999,209.250
2020-06-16,157.288,90.836,163.972
2020-07-16,124.469,60.705,132.760
2020-08-16,90.771,44.448,125.268
2020-09-16,83.411,34.921,128.672
2020-10-16,103.291,31.143,142.118
2020-11-16,190.933,27.698,131.920
2020-12-16,189.973,25.835,133.384
2021-01-16,112.063,46.947,161.582
2021-02-16,123.916,116.592,209.770
2021-03-16,307.740,105.048,193.806
2021-04-16,120.432,63.609,119.261
2021-05-16,122.757,64.331,145.478
2021-06-16,102.189,47.574,126.205
2021-07-16,89.883,36.607,103.071
2021-08-16,81.113,30.094,84.391
2021-09-16,82.288,25.649,80.505
2021-10-16,139.990,40.083,153.134
2021-11-16,134.520,94.838,191.803
2021-12-16,180.918,95.507,191.582
2022-01-16,263.586,186.617,254.522
2022-02-16,157.494,89.820,173.620
2022-03-16,154.061,71.777,103.407
2022-04-16,168.208,124.279,207.815
2022-05-16,154.038,112.421,182.872
2022-06-16,129.942,80.879,157.174
2022-07-16,97.365,54.686,128.326
2022-08-16,113.076,39.682,113.855
2022-09-16,123.272,31.264,114.189
2022-10-16,116.710,28.142,127.171
2022-11-16,116.480,24.676,117.213
2022-12-16,171.336,54.848,168.408
2023-01-16,356.373,398.918,462.755
2023-02-16,181.149,133.531,211.420
2023-03-16,451.772,381.593,453.890
2023-04-16,402.400,370.206,455.430
2023-05-16,351.905,402.793,434.563
2023-06-16,207.543,245.593,279.749
2023-07-16,167.979,115.384,177.688
2023-08-16,147.089,66.632,156.186
2023-09-16,146.695,47.090,156.162
2023-10-16,110.026,39.816,152.748
2023-11-16,114.368,34.165,146.722
2023-12-16,136.953,74.971,182.001
