Date,FNF,Qsim,QsimBC
1979-10-16,378.810,258.942,379.060
1979-11-16,497.350,386.905,639.286
1979-12-16,689.560,577.575,836.089
1980-01-16,1776.000,1458.145,1705.381
1980-02-16,2261.730,1857.785,2522.259
1980-03-16,1519.710,1718.100,1793.560
1980-04-16,783.000,877.363,750.230
1980-05-16,592.410,704.575,533.180
1980-06-16,362.220,537.181,361.259
1980-07-16,308.910,436.089,309.029
1980-08-16,256.690,332.169,274.529
1980-09-16,309.300,249.566,278.152
1980-10-16,299.460,205.472,311.251
1980-11-16,277.830,162.372,306.393
1980-12-16,509.440,277.568,467.936
1981-01-16,968.660,580.844,611.186
1981-02-16,908.400,795.983,945.243
1981-03-16,1227.460,1044.618,1276.871
1981-04-16,660.990,820.099,722.958
1981-05-16,467.520,651.127,516.918
1981-06-16,312.110,495.428,354.011
1981-07-16,272.580,386.818,273.261
1981-08-16,243.440,295.716,255.143
1981-09-16,244.190,223.819,251.308
1981-10-16,323.560,195.007,301.610
1981-11-16,1546.410,1049.488,1381.127
1981-12-16,2103.980,2113.417,2568.771
1982-01-16,1293.070,1616.622,1872.266
1982-02-16,1736.930,1490.249,1423.319
1982-03-16,1687.470,1716.975,1790.435
1982-04-16,2208.070,2019.401,1994.726
1982-05-16,929.070,1059.668,947.666
1982-06-16,533.870,657.766,487.449
1982-07-16,376.020,513.500,328.799
1982-08-16,313.080,378.917,284.032
1982-09-16,309.700,279.799,299.669
1982-10-16,382.990,235.115,368.047
1982-11-16,541.980,302.679,556.335
1982-12-16,1366.790,1167.368,1637.420
1983-01-16,1914.910,1546.214,1811.767
1983-02-16,2925.200,2686.850,3347.708
1983-03-16,4677.270,4306.804,5072.056
1983-04-16,1816.540,1853.856,1759.933
1983-05-16,1530.080,1382.028,1646.800
1983-06-16,852.680,934.444,810.683
1983-07-16,474.660,678.282,431.896
1983-08-16,341.100,496.960,343.932
1983-09-16,356.130,354.405,360.972
1983-10-16,376.960,278.139,428.168
1983-11-16,986.690,749.764,1177.412
1983-12-16,2569.420,2116.794,2302.383
1984-01-16,1029.120,1260.270,1460.373
1984-02-16,823.650,859.622,1023.657
1984-03-16,1068.550,954.772,1050.048
1984-04-16,726.450,793.046,678.760
1984-05-16,614.560,701.703,522.984
1984-06-16,440.940,572.976,443.251
1984-07-16,314.430,463.577,315.069
1984-08-16,276.500,343.974,276.994
1984-09-16,292.750,255.874,285.759
1984-10-16,371.560,209.788,323.505
1984-11-16,962.990,593.153,864.676
1984-12-16,661.040,711.515,1065.254
1985-01-16,428.150,496.029,561.842
1985-02-16,496.830,465.103,456.965
1985-03-16,554.460,475.575,420.807
1985-04-16,555.160,476.991,454.901
1985-05-16,338.020,407.357,341.641
1985-06-16,329.300,327.921,248.832
1985-07-16,252.050,272.820,221.167
1985-08-16,244.920,219.691,198.537
1985-09-16,312.030,203.534,243.686
1985-10-16,330.200,161.883,266.592
1985-11-16,342.500,155.243,276.522
1985-12-16,550.930,421.824,672.802
1986-01-16,1099.700,745.946,970.277
1986-02-16,3670.840,3046.048,3541.200
1986-03-16,2287.960,2590.637,2696.271
1986-04-16,764.190,1048.393,1112.627
1986-05-16,622.520,785.049,800.326
1986-06-16,360.930,613.129,482.319
1986-07-16,337.600,469.279,315.926
1986-08-16,259.800,343.234,276.469
1986-09-16,317.700,253.680,280.777
1986-10-16,323.440,209.145,320.216
1986-11-16,275.297,168.117,315.551
1986-12-16,329.780,152.929,299.930
1987-01-16,462.612,278.713,430.842
1987-02-16,750.789,657.617,778.014
1987-03-16,1336.800,1021.491,1192.679
1987-04-16,454.946,679.588,640.686
1987-05-16,373.110,535.367,479.088
1987-06-16,245.199,387.998,324.070
1987-07-16,269.860,310.338,254.562
1987-08-16,218.973,243.232,233.616
1987-09-16,239.027,188.812,235.097
1987-10-16,250.320,159.428,266.141
1987-11-16,279.169,128.597,255.290
