Date,FNF,Qsim,QsimBC
1979-10-16,2.095,4.951,4.081
1979-11-16,3.225,4.749,7.611
1979-12-16,3.495,4.864,7.990
1980-01-16,75.420,33.069,67.056
1980-02-16,72.991,77.385,91.379
1980-03-16,53.213,86.319,65.280
1980-04-16,37.072,35.320,27.781
1980-05-16,35.891,36.087,22.494
1980-06-16,26.617,29.337,25.931
1980-07-16,11.907,19.545,13.816
1980-08-16,4.988,7.973,5.227
1980-09-16,2.773,4.932,4.537
1980-10-16,2.233,4.963,6.555
1980-11-16,3.124,4.758,19.933
1980-12-16,4.887,4.868,8.151
1981-01-16,6.097,4.818,21.890
1981-02-16,10.255,4.315,9.430
1981-03-16,16.808,4.756,16.509
1981-04-16,18.205,4.658,11.869
1981-05-16,11.639,4.903,6.324
1981-06-16,4.376,4.753,2.006
1981-07-16,1.648,4.872,0.606
1981-08-16,0.571,4.823,0.208
1981-09-16,0.399,4.618,0.166
1981-10-16,1.748,4.718,0.388
1981-11-16,2.965,4.517,1.445
1981-12-16,5.518,4.613,2.955
1982-01-16,16.417,4.568,4.314
1982-02-16,19.619,4.101,5.375
1982-03-16,34.037,4.624,8.938
1982-04-16,78.029,18.007,19.308
1982-05-16,39.805,44.574,35.260
1982-06-16,17.604,19.232,10.897
1982-07-16,6.912,7.865,4.370
1982-08-16,3.243,5.092,2.048
1982-09-16,4.366,4.802,1.045
1982-10-16,7.490,4.924,2.095
1982-11-16,20.010,4.732,4.798
1982-12-16,45.208,4.924,10.515
1983-01-16,59.547,13.992,35.300
1983-02-16,86.762,64.318,73.388
1983-03-16,121.434,128.331,83.923
1983-04-16,69.149,69.741,79.860
1983-05-16,85.451,59.718,56.400
1983-06-16,72.054,71.220,87.409
1983-07-16,29.181,37.135,31.420
1983-08-16,11.901,11.060,8.546
1983-09-16,6.827,5.473,5.734
1983-10-16,7.680,4.985,7.371
1983-11-16,19.830,4.789,26.216
1983-12-16,42.950,6.053,49.404
1984-01-16,25.570,27.249,58.409
1984-02-16,19.600,22.960,38.191
1984-03-16,22.190,24.389,37.856
1984-04-16,18.470,23.156,24.221
1984-05-16,17.000,19.622,13.916
1984-06-16,7.150,10.751,5.910
1984-07-16,3.250,5.709,2.652
1984-08-16,1.510,4.980,1.176
1984-09-16,1.340,4.774,0.498
1984-10-16,2.800,4.884,1.374
1984-11-16,8.460,4.678,2.372
1984-12-16,7.860,4.782,3.989
1985-01-16,10.440,4.741,8.319
1985-02-16,13.390,4.256,7.322
1985-03-16,16.680,4.719,14.171
1985-04-16,24.530,4.726,12.936
1985-05-16,15.390,17.377,12.915
1985-06-16,6.840,11.481,6.435
1985-07-16,2.840,5.798,2.962
1985-08-16,1.060,4.980,1.436
1985-09-16,1.740,4.772,0.479
1985-10-16,2.091,4.883,1.357
1985-11-16,5.407,4.676,2.297
1985-12-16,9.564,4.788,4.248
1986-01-16,12.359,4.800,13.486
1986-02-16,67.171,39.859,52.852
1986-03-16,73.177,111.899,94.018
1986-04-16,34.392,60.629,54.473
1986-05-16,22.505,36.193,22.719
1986-06-16,11.310,23.057,16.683
1986-07-16,4.124,9.084,5.443
1986-08-16,2.711,5.230,2.445
1986-09-16,2.335,4.809,1.609
1986-10-16,3.300,4.924,2.095
1986-11-16,3.700,4.716,3.184
1986-12-16,3.900,4.823,6.700
1987-01-16,5.200,4.772,11.457
1987-02-16,8.400,4.272,8.400
1987-03-16,12.300,4.747,16.553
1987-04-16,12.000,4.723,14.066
1987-05-16,5.800,5.754,10.642
1987-06-16,1.600,5.291,2.551
1987-07-16,0.300,4.985,1.344
1987-08-16,0.300,4.938,0.485
1987-09-16,0.262,4.731,0.239
1987-10-16,0.720,4.839,0.534
1987-11-16,2.656,4.631,1.814
1987-12-16,4.028,4.734,3.341
1988-01-16,11.399,4.690,5.611
1988-02-16,5.302,4.367,15.189
1988-03-16,6.647,4.692,11.419
1988-04-16,6.793,4.620,11.273
1988-05-16,6.002,4.871,6.566
1988-06-16,1.974,4.728,2.048
1988-07-16,0.175,4.858,0.677
1988-08-16,0.069,4.814,0.291
1988-09-16,0.718,4.607,0.160
1988-10-16,0.000,4.710,0.407
1988-11-16,1.982,4.506,1.426
1988-12-16,3.358,4.603,2.935
1989-01-16,4.078,4.553,4.403
1989-02-16,6.403,4.071,4.633
1989-03-16,16.695,4.556,6.889
1989-04-16,12.081,4.629,11.236
1989-05-16,7.067,4.974,8.637
1989-06-16,1.946,4.832,2.411
1989-07-16,0.460,4.961,1.072
1989-08-16,0.369,4.913,0.318
1989-09-16,0.240,4.706,0.196
1989-10-16,0.662,4.813,0.512
1989-11-16,1.097,4.606,1.680
1989-12-16,1.523,4.709,3.243
1990-01-16,3.103,4.654,5.529
1990-02-16,3.884,4.157,6.387
1990-03-16,8.146,4.556,6.889
1990-04-16,5.264,4.455,7.162
1990-05-16,3.997,4.668,4.126
1990-06-16,2.089,4.507,0.809
1990-07-16,0.040,4.622,0.303
1990-08-16,0.000,4.575,0.106
1990-09-16,0.000,4.374,0.050
1990-10-16,0.000,4.467,0.267
1990-11-16,0.488,4.267,1.103
1990-12-16,1.008,4.353,2.099
1991-01-16,1.720,4.297,3.116
1991-02-16,0.912,3.828,2.970
1991-03-16,22.312,4.214,5.882
1991-04-16,14.297,4.205,4.825
1991-05-16,11.330,4.650,3.781
1991-06-16,6.028,4.599,1.485
1991-07-16,1.444,4.729,0.362
1991-08-16,0.321,4.688,0.132
1991-09-16,0.298,4.492,0.056
1991-10-16,0.486,4.591,0.329
1991-11-16,1.654,4.393,1.293
1991-12-16,1.734,4.488,2.801
1992-01-16,2.650,4.436,3.892
1992-02-16,6.817,4.110,5.616
1992-03-16,6.889,4.409,6.674
1992-04-16,6.496,4.360,6.168
1992-05-16,2.676,4.538,2.977
1992-06-16,0.264,4.372,0.144
1992-07-16,0.781,4.473,0.001
1992-08-16,0.655,4.424,0.001
1992-09-16,0.165,4.232,0.000
1992-10-16,0.662,4.320,0.079
1992-11-16,2.055,4.131,0.787
1992-12-16,3.330,4.217,1.562
1993-01-16,24.302,4.211,1.678
1993-02-16,16.705,3.948,3.346
1993-03-16,30.078,4.722,15.219
1993-04-16,23.760,24.499,25.189
1993-05-16,21.757,45.280,38.730
1993-06-16,13.121,21.589,14.417
1993-07-16,3.029,8.656,4.849
1993-08-16,1.002,5.176,2.389
1993-09-16,0.490,4.805,1.449
1993-10-16,0.313,4.917,2.093
1993-11-16,1.381,4.709,3.083
1993-12-16,2.947,4.816,6.114
1994-01-16,3.227,4.763,11.229
1994-02-16,7.414,4.261,7.975
1994-03-16,9.140,4.692,11.419
1994-04-16,7.702,4.572,7.594
1994-05-16,10.288,4.770,5.093
1994-06-16,2.077,4.627,1.581
1994-07-16,0.377,4.743,0.425
1994-08-16,0.351,4.694,0.151
1994-09-16,0.345,4.493,0.061
1994-10-16,0.531,4.589,0.312
1994-11-16,1.690,4.389,1.159
1994-12-16,3.001,4.479,2.506
1995-01-16,23.721,4.438,3.902
1995-02-16,16.947,4.097,5.233
1995-03-16,61.996,10.642,27.876
1995-04-16,34.324,43.182,35.969
1995-05-16,51.845,55.705,47.317
1995-06-16,37.014,36.001,28.485
1995-07-16,13.688,17.010,9.923
1995-08-16,4.380,7.002,4.215
1995-09-16,3.001,4.853,3.026
1995-10-16,2.464,4.955,4.538
1995-11-16,2.805,4.750,9.300
1995-12-16,4.441,4.860,7.857
1996-01-16,11.135,4.815,20.620
1996-02-16,38.188,5.526,20.249
1996-03-16,44.560,37.811,47.477
1996-04-16,28.431,48.956,37.413
1996-05-16,22.596,43.306,34.194
1996-06-16,8.107,18.124,11.095
1996-07-16,2.945,7.443,4.355
1996-08-16,1.843,5.045,2.032
1996-09-16,1.111,4.797,0.798
1996-10-16,1.500,4.909,1.858
1996-11-16,20.154,4.718,3.230
1996-12-16,54.905,27.650,161.701
1997-01-16,149.191,158.601,254.606
1997-02-16,46.225,69.685,81.772
1997-03-16,30.643,35.556,46.361
1997-04-16,21.077,30.712,27.561
1997-05-16,17.681,31.232,21.890
1997-06-16,7.765,12.764,7.112
1997-07-16,4.346,6.190,3.023
1997-08-16,2.269,4.990,1.530
1997-09-16,1.609,4.788,0.693
1997-10-16,4.303,4.900,1.584
1997-11-16,5.385,4.691,2.683
1997-12-16,7.839,4.807,5.242
1998-01-16,23.830,4.800,13.028
1998-02-16,77.910,24.745,29.687
1998-03-16,64.847,65.578,54.084
1998-04-16,86.889,89.215,99.817
1998-05-16,70.089,71.172,101.841
1998-06-16,68.841,56.091,55.466
1998-07-16,33.317,38.714,30.422
1998-08-16,11.449,12.987,13.975
1998-09-16,6.579,5.754,7.178
1998-10-16,6.555,4.988,7.685
1998-11-16,7.611,4.786,25.388
1998-12-16,8.230,4.902,11.011
1999-01-16,13.486,4.858,24.326
1999-02-16,15.689,4.393,15.964
1999-03-16,10.977,5.066,24.654
1999-04-16,14.930,10.728,19.547
1999-05-16,12.010,15.536,12.917
1999-06-16,4.713,8.581,5.284
1999-07-16,1.515,5.316,1.963
1999-08-16,1.176,4.971,1.068
1999-09-16,0.438,4.764,0.435
1999-10-16,0.932,4.870,1.311
1999-11-16,2.212,4.665,2.220
1999-12-16,2.521,4.769,3.910
2000-01-16,5.647,4.715,6.327
2000-02-16,24.484,4.381,15.287
2000-03-16,27.696,4.915,22.210
2000-04-16,17.221,21.582,23.054
2000-05-16,14.277,30.267,17.693
2000-06-16,5.500,12.971,7.798
2000-07-16,4.382,6.221,3.036
2000-08-16,2.124,4.987,1.487
2000-09-16,0.538,4.783,0.703
2000-10-16,1.751,4.893,1.508
2000-11-16,2.694,4.687,2.670
2000-12-16,2.765,4.793,4.969
2001-01-16,4.417,4.739,8.679
2001-02-16,6.966,4.236,6.817
2001-03-16,10.737,4.653,9.771
