Date,FNF,Qsim,QsimBC
1979-10-16,25.050,15.699,22.667
1979-11-16,38.250,56.737,48.281
1979-12-16,40.670,88.876,58.073
1980-01-16,146.800,215.185,186.820
1980-02-16,226.800,264.224,218.794
1980-03-16,119.800,155.760,132.632
1980-04-16,98.850,87.015,79.193
1980-05-16,71.190,56.065,58.328
1980-06-16,34.210,37.833,23.915
1980-07-16,19.720,29.556,17.050
1980-08-16,14.310,22.050,14.940
1980-09-16,13.050,15.285,14.743
1980-10-16,16.470,11.752,15.815
1980-11-16,15.010,9.228,16.409
1980-12-16,37.250,38.372,32.050
1981-01-16,90.230,108.662,74.233
1981-02-16,101.100,147.085,130.397
1981-03-16,132.000,182.903,161.178
1981-04-16,78.470,88.256,93.600
1981-05-16,51.820,57.628,69.487
1981-06-16,22.760,39.978,32.064
1981-07-16,14.420,29.556,17.280
1981-08-16,11.300,19.871,13.299
1981-09-16,11.070,13.707,12.243
1981-10-16,21.170,11.881,15.982
1981-11-16,185.500,290.850,171.777
1981-12-16,225.100,288.661,229.413
1982-01-16,88.090,133.219,104.676
1982-02-16,154.300,191.276,165.944
1982-03-16,161.100,188.407,165.157
1982-04-16,234.400,272.437,353.952
1982-05-16,128.300,92.920,123.115
1982-06-16,50.170,47.268,33.947
1982-07-16,29.900,33.929,20.187
1982-08-16,18.530,25.052,17.462
1982-09-16,15.550,17.374,15.803
1982-10-16,36.960,13.812,18.979
1982-11-16,43.170,58.724,50.003
1982-12-16,144.600,246.166,215.900
1983-01-16,210.900,247.951,215.325
1983-02-16,277.400,332.113,323.654
1983-03-16,489.300,526.113,492.980
1983-04-16,197.900,185.560,190.392
1983-05-16,259.200,151.203,231.286
1983-06-16,183.900,90.929,129.858
1983-07-16,70.200,49.129,40.334
1983-08-16,28.400,32.766,20.704
1983-09-16,23.560,22.231,17.376
1983-10-16,27.060,16.947,37.613
1983-11-16,109.500,185.404,109.359
1983-12-16,232.800,295.908,233.609
1984-01-16,97.540,115.075,77.919
1984-02-16,74.270,92.652,73.962
1984-03-16,102.000,125.034,103.923
1984-04-16,78.270,79.497,77.701
1984-05-16,77.310,60.997,72.617
