Date,FNF,Qsim,QsimBC
1979-10-16,272.580,200.444,289.933
1979-11-16,337.550,200.702,429.971
1979-12-16,346.890,260.809,687.201
1980-01-16,1241.230,579.782,911.483
1980-02-16,1401.920,1013.939,1628.450
1980-03-16,885.360,1194.497,1378.590
1980-04-16,567.940,662.414,658.273
1980-05-16,426.510,552.141,469.996
1980-06-16,271.260,435.251,269.505
1980-07-16,236.060,357.062,247.318
1980-08-16,204.560,279.342,215.201
1980-09-16,221.720,210.614,206.913
1980-10-16,215.480,172.329,238.706
1980-11-16,218.010,134.924,247.227
1980-12-16,353.220,164.316,371.047
1981-01-16,480.760,189.146,323.150
1981-02-16,559.900,336.605,555.214
1981-03-16,768.730,531.822,779.774
1981-04-16,441.580,589.643,569.822
1981-05-16,315.560,503.631,379.617
1981-06-16,220.560,404.431,262.470
1981-07-16,186.940,326.059,217.795
1981-08-16,166.800,250.464,190.628
1981-09-16,179.700,188.777,195.194
1981-10-16,231.660,155.328,211.054
1981-11-16,1057.780,321.983,706.088
1981-12-16,1325.590,1074.503,2350.610
1982-01-16,736.000,1015.273,1557.781
1982-02-16,1155.590,831.625,1175.598
1982-03-16,1126.230,1140.761,1246.839
1982-04-16,1575.800,1342.411,1248.906
1982-05-16,671.950,831.126,807.215
1982-06-16,373.290,542.448,366.283
1982-07-16,281.600,425.496,256.675
1982-08-16,248.040,321.146,227.542
1982-09-16,229.730,237.618,222.395
1982-10-16,290.930,191.636,256.283
1982-11-16,356.890,170.695,382.423
1982-12-16,822.480,387.398,909.543
1983-01-16,1124.800,701.726,1180.156
1983-02-16,1690.910,1508.578,2214.898
1983-03-16,2735.030,2438.190,3173.251
1983-04-16,1139.700,1303.994,1236.300
1983-05-16,1031.620,955.354,1097.242
1983-06-16,644.340,720.267,595.816
1983-07-16,373.290,554.225,343.524
1983-08-16,297.880,414.924,274.268
1983-09-16,287.350,299.528,270.920
1983-10-16,299.450,235.030,321.970
1983-11-16,654.100,298.276,898.857
1983-12-16,1436.590,777.793,1652.130
1984-01-16,691.310,855.962,1456.338
1984-02-16,580.910,565.480,833.376
1984-03-16,829.780,637.434,863.984
1984-04-16,572.840,586.048,526.321
1984-05-16,497.560,536.061,390.884
1984-06-16,357.030,463.619,341.814
1984-07-16,260.180,386.070,253.342
1984-08-16,246.050,294.063,215.748
1984-09-16,242.420,218.136,210.415
1984-10-16,273.390,176.255,246.672
1984-11-16,586.660,226.664,505.908
1984-12-16,441.330,397.418,972.381
1985-01-16,315.970,361.163,726.998
1985-02-16,349.890,293.929,508.321
1985-03-16,416.770,309.054,458.682
1985-04-16,432.870,301.659,351.602
1985-05-16,267.020,301.000,284.040
1985-06-16,230.260,260.839,204.088
1985-07-16,220.490,224.148,171.416
1985-08-16,209.000,181.638,156.308
1985-09-16,222.410,147.815,160.393
1985-10-16,249.800,128.071,186.794
1985-11-16,249.300,107.968,208.370
1985-12-16,374.900,171.364,410.532
1986-01-16,738.200,284.638,573.280
1986-02-16,2435.500,1403.885,1699.027
1986-03-16,1447.600,1666.725,2072.639
1986-04-16,576.000,806.156,822.398
1986-05-16,461.500,606.465,583.840
1986-06-16,271.300,493.380,349.630
1986-07-16,255.930,393.729,254.494
1986-08-16,234.170,293.565,215.156
1986-09-16,251.690,215.515,208.558
1986-10-16,259.000,174.393,238.930
1986-11-16,232.400,138.174,261.812
1986-12-16,254.200,123.216,296.458
1987-01-16,330.000,148.011,312.300
1987-02-16,502.400,242.640,369.553
1987-03-16,903.400,495.528,636.937
1987-04-16,372.400,511.365,469.298
1987-05-16,287.400,426.703,356.716
1987-06-16,204.300,326.782,230.640
1987-07-16,225.000,265.108,186.420
1987-08-16,172.000,207.683,171.729
1987-09-16,203.480,160.409,173.236
1987-10-16,209.050,134.369,198.783
1987-11-16,225.080,107.257,203.759
1987-12-16,678.660,196.588,452.601
1988-01-16,602.700,296.823,621.068
1988-02-16,363.620,323.504,545.846
1988-03-16,359.390,325.510,502.139
1988-04-16,319.550,286.237,252.082
1988-05-16,356.470,323.660,300.825
1988-06-16,261.150,306.019,222.298
1988-07-16,177.030,273.876,192.449
1988-08-16,183.690,221.665,178.512
1988-09-16,194.320,172.028,181.156
1988-10-16,191.980,143.508,208.841
1988-11-16,373.300,129.380,228.194
1988-12-16,296.000,178.042,435.026
1989-01-16,301.810,196.053,357.076
1989-02-16,288.020,193.711,339.440
1989-03-16,1501.800,505.991,645.330
1989-04-16,659.260,707.728,737.528
1989-05-16,335.690,580.454,495.409
1989-06-16,221.220,445.515,291.708
1989-07-16,178.480,353.269,242.303
1989-08-16,186.530,267.236,209.205
1989-09-16,210.530,198.524,203.319
1989-10-16,316.890,169.203,229.978
1989-11-16,227.460,170.580,381.133
1989-12-16,209.520,159.842,349.002
1990-01-16,429.280,215.526,382.738
1990-02-16,275.560,238.899,373.484
1990-03-16,471.900,325.532,502.230
1990-04-16,247.890,305.163,362.447
1990-05-16,494.840,298.524,274.454
1990-06-16,346.870,392.254,237.270
1990-07-16,207.810,330.916,225.132
1990-08-16,199.180,257.662,202.547
1990-09-16,188.370,194.375,202.684
1990-10-16,198.290,159.144,223.027
1990-11-16,197.690,124.690,225.533
1990-12-16,186.120,106.783,247.192
1991-01-16,204.190,90.567,240.164
1991-02-16,212.290,73.972,257.540
1991-03-16,607.490,196.034,274.604
1991-04-16,361.670,296.639,315.268
1991-05-16,347.820,291.830,255.433
1991-06-16,216.090,262.685,205.145
1991-07-16,185.810,237.400,177.560
1991-08-16,172.390,196.566,167.189
1991-09-16,169.120,154.963,165.777
1991-10-16,191.220,131.048,197.089
1991-11-16,177.380,105.207,195.665
1991-12-16,196.960,92.175,202.084
1992-01-16,238.400,87.696,197.600
1992-02-16,761.000,191.191,296.785
1992-03-16,587.600,414.631,609.136
1992-04-16,454.830,425.345,437.568
1992-05-16,277.220,394.999,346.052
1992-06-16,203.090,302.175,225.757
1992-07-16,194.060,245.016,182.908
1992-08-16,160.260,193.177,166.660
1992-09-16,177.490,149.927,161.504
1992-10-16,202.300,126.058,178.079
1992-11-16,188.600,108.462,211.563
1992-12-16,409.640,165.007,355.406
1993-01-16,795.300,340.041,678.306
1993-02-16,844.260,495.693,612.482
1993-03-16,1607.470,869.889,1049.161
1993-04-16,901.560,1109.007,974.238
1993-05-16,648.220,798.884,753.721
1993-06-16,538.900,699.742,614.896
1993-07-16,255.580,527.372,315.644
1993-08-16,222.060,386.149,260.562
1993-09-16,210.870,276.373,264.892
1993-10-16,222.670,216.749,298.709
1993-11-16,206.780,164.192,335.533
1993-12-16,320.420,171.071,409.234
1994-01-16,323.150,189.154,325.392
1994-02-16,390.520,236.664,349.651
1994-03-16,380.260,335.462,530.896
1994-04-16,272.330,297.602,347.793
1994-05-16,282.960,285.572,193.231
1994-06-16,190.290,249.432,190.584
1994-07-16,168.350,218.534,171.409
1994-08-16,169.420,179.157,154.575
1994-09-16,166.330,141.946,152.100
1994-10-16,177.180,121.137,172.845
1994-11-16,208.250,98.374,180.665
1994-12-16,221.820,92.162,196.816
1995-01-16,2132.310,594.547,946.450
1995-02-16,851.110,988.193,1501.063
1995-03-16,2383.690,1831.525,1859.913
1995-04-16,1229.880,1292.038,1130.004
1995-05-16,1096.610,1069.540,1253.351
1995-06-16,506.590,663.762,546.574
1995-07-16,327.770,538.885,328.732
1995-08-16,250.090,406.957,289.419
1995-09-16,227.580,294.503,282.660
1995-10-16,251.320,230.630,320.569
1995-11-16,221.870,173.310,401.513
1995-12-16,500.960,214.710,507.641
1996-01-16,555.090,315.987,675.624
1996-02-16,1633.600,828.587,1162.818
1996-03-16,1048.140,1240.398,1455.495
1996-04-16,686.580,750.045,768.763
1996-05-16,807.540,780.280,678.926
1996-06-16,383.160,649.509,517.836
1996-07-16,265.570,479.850,286.157
1996-08-16,258.030,350.775,247.800
1996-09-16,234.300,252.838,242.736
1996-10-16,254.270,199.917,285.365
1996-11-16,400.300,167.279,343.625
1996-12-16,1701.520,419.205,1014.995
1997-01-16,2040.370,1893.157,3132.377
1997-02-16,711.380,1015.525,1634.220
1997-03-16,502.180,667.681,897.885
1997-04-16,457.040,530.251,485.846
1997-05-16,350.410,478.180,367.741
1997-06-16,275.920,382.558,234.964
1997-07-16,242.050,314.023,207.825
1997-08-16,242.480,246.283,186.282
1997-09-16,245.490,189.147,194.625
1997-10-16,266.980,158.179,215.305
1997-11-16,435.110,166.548,337.034
1997-12-16,431.060,341.483,832.201
1998-01-16,1578.200,663.137,1040.940
1998-02-16,2138.600,2167.370,3074.510
1998-03-16,1305.050,1333.070,1525.709
1998-04-16,993.050,1124.906,959.088
1998-05-16,1162.580,923.237,991.618
1998-06-16,940.140,911.544,815.454
1998-07-16,429.540,630.732,424.820
1998-08-16,316.620,466.814,335.133
1998-09-16,297.060,331.446,317.970
1998-10-16,321.640,255.069,349.571
1998-11-16,569.200,209.727,418.797
1998-12-16,704.770,452.071,1328.533
1999-01-16,718.850,461.541,806.905
1999-02-16,1169.840,714.501,899.778
1999-03-16,1091.090,1054.083,1110.756
1999-04-16,786.180,787.377,770.791
1999-05-16,613.940,619.119,615.999
1999-06-16,390.550,494.371,346.964
1999-07-16,298.650,397.072,254.961
1999-08-16,267.940,297.710,220.644
1999-09-16,265.710,218.445,210.551
1999-10-16,289.760,175.455,243.157
1999-11-16,329.780,137.601,249.169
1999-12-16,327.716,136.839,298.951
2000-01-16,835.635,239.605,432.084
2000-02-16,1546.550,690.516,850.927
2000-03-16,1091.410,1143.222,1253.915
2000-04-16,762.198,701.200,682.719
2000-05-16,495.119,609.656,613.324
2000-06-16,349.699,458.856,322.628
2000-07-16,284.642,360.266,243.653
2000-08-16,259.944,271.417,210.851
2000-09-16,266.759,202.402,206.418
2000-10-16,290.960,164.350,225.604
2000-11-16,269.187,128.455,226.865
2000-12-16,312.996,117.713,253.909
2001-01-16,337.810,126.888,281.359
2001-02-16,555.017,169.871,282.441
2001-03-16,650.217,362.180,536.442
2001-04-16,416.700,359.913,368.833
2001-05-16,368.403,340.437,314.506
2001-06-16,263.335,279.165,215.530
2001-07-16,251.323,232.564,176.080
2001-08-16,220.145,186.621,159.938
2001-09-16,200.817,146.758,159.655
2001-10-16,202.783,125.967,177.123
2001-11-16,361.665,112.548,218.925
2001-12-16,831.386,284.234,694.455
2002-01-16,876.689,548.418,894.782
2002-02-16,521.212,465.162,609.400
2002-03-16,574.636,536.940,793.953
2002-04-16,483.883,481.253,451.856
2002-05-16,363.119,425.265,350.268
2002-06-16,234.852,340.562,231.431
2002-07-16,209.440,278.686,194.843
2002-08-16,202.414,216.681,172.378
2002-09-16,181.429,165.121,179.245
2002-10-16,186.417,136.747,202.599
2002-11-16,225.792,110.015,212.564
2002-12-16,1119.800,191.623,438.973
2003-01-16,1040.700,717.482,1260.308
2003-02-16,484.190,620.501,845.609
2003-03-16,695.471,596.187,834.372
2003-04-16,818.128,595.467,568.723
2003-05-16,805.624,737.606,643.466
2003-06-16,341.083,535.536,371.100
2003-07-16,242.634,419.802,258.229
2003-08-16,202.551,309.683,226.762
2003-09-16,206.752,224.200,222.094
2003-10-16,209.299,178.069,251.812
2003-11-16,266.565,136.979,247.420
2003-12-16,671.593,207.426,478.463
2004-01-16,660.658,401.429,740.697
2004-02-16,1371.780,612.024,835.143
2004-03-16,779.172,978.465,1096.098
2004-04-16,516.186,637.522,591.933
2004-05-16,391.394,543.298,426.335
2004-06-16,264.051,413.892,262.758
2004-07-16,228.916,329.934,218.722
2004-08-16,188.127,251.237,195.052
2004-09-16,180.703,187.866,190.770
2004-10-16,245.297,153.507,209.045
2004-11-16,211.128,121.274,223.569
2004-12-16,477.175,146.155,312.194
2005-01-16,600.360,245.837,444.735
2005-02-16,498.918,335.813,559.628
2005-03-16,790.508,482.510,632.661
2005-04-16,600.314,580.886,513.352
2005-05-16,1096.470,606.003,497.525
2005-06-16,441.279,572.024,391.379
2005-07-16,267.209,461.804,270.053
2005-08-16,215.152,344.749,246.958
2005-09-16,202.277,249.916,232.625
2005-10-16,214.262,197.590,271.128
2005-11-16,290.287,153.233,280.510
2005-12-16,1206.700,251.277,633.986
2006-01-16,1414.450,1288.733,2142.441
2006-02-16,825.197,931.381,1395.620
2006-03-16,1378.720,1221.438,1437.317
2006-04-16,1752.390,1522.603,1758.377
2006-05-16,933.094,992.081,1118.985
2006-06-16,436.378,618.864,451.204
2006-07-16,298.662,478.180,280.253
2006-08-16,254.225,351.620,248.226
2006-09-16,228.965,252.197,240.618
2006-10-16,240.337,198.440,272.880
2006-11-16,287.919,150.794,267.950
2006-12-16,478.587,157.684,324.059
2007-01-16,325.381,223.433,430.915
2007-02-16,606.259,255.824,468.744
2007-03-16,543.969,411.349,594.189
2007-04-16,345.694,366.267,378.732
2007-05-16,298.539,317.077,297.711
2007-06-16,211.784,253.104,194.362
2007-07-16,221.726,211.129,156.005
2007-08-16,191.088,169.222,146.466
2007-09-16,190.850,133.011,140.566
2007-10-16,226.904,113.934,170.739
2007-11-16,208.920,93.612,173.956
2007-12-16,323.316,93.372,209.714
2008-01-16,576.072,192.633,327.755
2008-02-16,609.639,283.000,496.609
2008-03-16,525.294,409.779,587.966
2008-04-16,369.064,380.841,416.727
2008-05-16,390.365,351.478,324.867
2008-06-16,240.134,292.949,218.921
2008-07-16,183.634,247.237,185.933
2008-08-16,164.537,196.218,169.151
2008-09-16,162.566,151.914,164.902
2008-10-16,199.165,127.817,186.391
2008-11-16,249.022,107.861,208.029
2008-12-16,223.604,97.710,215.034
2009-01-16,245.553,104.131,256.669
2009-02-16,663.873,147.393,264.847
2009-03-16,1039.790,531.534,767.591
2009-04-16,469.248,511.309,457.037
2009-05-16,613.084,529.559,385.978
2009-06-16,266.289,425.564,267.362
2009-07-16,206.016,338.436,231.716
2009-08-16,176.865,257.943,202.615
2009-09-16,160.435,192.416,201.746
2009-10-16,263.492,158.676,218.948
2009-11-16,212.909,126.827,226.762
2009-12-16,291.686,121.838,284.984
2010-01-16,927.379,270.844,520.009
2010-02-16,836.424,520.870,727.256
2010-03-16,637.336,682.507,920.307
2010-04-16,733.568,662.822,600.916
2010-05-16,579.722,655.327,634.792
2010-06-16,484.736,554.724,379.053
2010-07-16,253.719,455.388,266.702
2010-08-16,214.990,339.966,245.063
2010-09-16,197.309,245.996,229.529
2010-10-16,236.193,195.152,265.576
2010-11-16,261.503,168.834,367.117
2010-12-16,823.482,307.903,763.845
2011-01-16,462.516,495.227,854.367
2011-02-16,488.596,432.611,599.124
2011-03-16,1481.380,790.586,986.678
2011-04-16,942.478,1081.853,897.153
2011-05-16,724.777,770.462,666.599
2011-06-16,565.298,611.854,429.957
2011-07-16,296.829,510.741,298.841
2011-08-16,222.442,384.470,259.856
2011-09-16,209.428,277.500,265.807
2011-10-16,222.263,218.096,301.151
2011-11-16,242.164,165.315,336.825
2011-12-16,211.237,138.927,308.876
2012-01-16,275.591,121.805,289.162
2012-02-16,258.581,137.691,278.986
2012-03-16,832.596,229.370,330.395
2012-04-16,772.545,527.643,481.873
2012-05-16,397.134,543.340,426.670
2012-06-16,233.601,417.490,264.761
2012-07-16,186.403,330.655,224.125
2012-08-16,170.732,252.026,199.581
2012-09-16,157.305,188.623,193.729
2012-10-16,170.557,153.776,210.027
2012-11-16,381.653,121.815,222.251
2012-12-16,918.003,392.619,887.488
2013-01-16,392.029,448.881,789.048
2013-02-16,338.381,380.882,575.012
