Date,FNF,Qsim,QsimBC
1979-10-16,23.750,69.073,48.010
1979-11-16,29.120,45.999,44.525
1979-12-16,33.530,42.321,49.424
1980-01-16,326.840,304.199,268.070
1980-02-16,282.470,287.849,224.111
1980-03-16,215.780,268.181,217.175
1980-04-16,314.700,147.268,187.816
1980-05-16,527.540,261.485,324.373
1980-06-16,642.080,288.766,223.260
1980-07-16,426.460,676.839,367.182
1980-08-16,113.410,384.066,151.696
1980-09-16,37.000,146.124,68.477
1980-10-16,23.860,77.613,53.768
1980-11-16,19.300,48.062,51.846
1980-12-16,29.400,39.786,45.164
1981-01-16,36.490,36.201,39.536
1981-02-16,56.730,39.687,41.783
1981-03-16,87.270,82.239,94.523
1981-04-16,205.950,147.750,188.594
1981-05-16,317.700,260.299,349.358
1981-06-16,208.240,269.550,222.806
1981-07-16,51.380,136.193,53.982
1981-08-16,19.020,85.489,24.174
1981-09-16,12.700,61.352,18.428
1981-10-16,18.750,44.489,23.126
1981-11-16,70.400,35.551,24.465
1981-12-16,64.900,68.298,107.402
1982-01-16,119.240,144.933,150.354
1982-02-16,198.780,247.299,210.968
1982-03-16,231.450,303.238,253.589
1982-04-16,612.930,489.106,513.249
1982-05-16,725.350,408.517,615.800
1982-06-16,584.620,559.833,846.054
1982-07-16,371.470,510.029,309.424
1982-08-16,148.370,274.156,113.495
1982-09-16,169.790,138.974,47.792
1982-10-16,125.950,96.877,58.839
1982-11-16,145.530,105.554,224.137
1982-12-16,211.900,194.712,222.773
1983-01-16,227.000,218.785,164.230
1983-02-16,271.310,298.889,273.635
1983-03-16,427.870,451.952,453.204
1983-04-16,280.460,229.242,280.855
1983-05-16,727.500,354.085,535.852
1983-06-16,1166.100,776.193,958.841
1983-07-16,686.030,926.864,855.694
1983-08-16,280.290,538.212,276.316
1983-09-16,91.940,179.164,123.151
1983-10-16,53.060,101.260,127.752
1983-11-16,148.770,70.061,111.566
1983-12-16,226.650,214.629,218.326
1984-01-16,126.400,256.711,226.022
1984-02-16,107.450,117.946,81.673
1984-03-16,162.490,131.516,120.717
1984-04-16,203.010,149.840,203.429
