Date,FNF,Qsim,QsimBC
1979-10-16,10.850,25.145,21.904
1979-11-16,23.050,20.278,46.976
1979-12-16,31.520,24.754,33.507
1980-01-16,383.490,445.683,278.783
1980-02-16,256.890,330.721,246.703
1980-03-16,136.450,222.282,166.629
1980-04-16,201.870,99.625,125.378
1980-05-16,320.500,160.533,202.068
1980-06-16,267.740,143.648,97.780
1980-07-16,133.590,239.491,162.422
1980-08-16,25.870,148.708,41.382
1980-09-16,12.630,61.768,28.678
1980-10-16,9.460,30.257,46.038
1980-11-16,7.380,18.879,30.311
1980-12-16,11.510,15.938,22.083
1981-01-16,40.180,19.362,16.326
1981-02-16,39.880,60.027,42.706
1981-03-16,82.460,139.086,108.220
1981-04-16,164.430,148.282,185.053
1981-05-16,164.620,154.512,201.189
1981-06-16,57.100,131.864,94.681
1981-07-16,6.290,50.057,17.611
1981-08-16,2.900,23.147,6.300
1981-09-16,4.790,15.823,3.720
1981-10-16,9.530,14.490,7.888
1981-11-16,99.700,41.249,50.322
1981-12-16,187.090,225.086,160.114
1982-01-16,169.320,263.160,183.785
1982-02-16,329.080,356.365,254.626
1982-03-16,253.190,288.252,253.915
1982-04-16,432.670,411.191,442.952
1982-05-16,440.570,297.204,487.594
1982-06-16,251.340,296.962,522.810
1982-07-16,108.700,209.620,108.110
1982-08-16,25.590,132.093,38.611
1982-09-16,38.270,53.644,25.565
1982-10-16,88.400,37.744,51.360
1982-11-16,121.710,137.544,214.780
1982-12-16,160.380,302.602,212.391
1983-01-16,182.760,227.277,156.160
1983-02-16,245.140,276.124,184.014
1983-03-16,411.480,437.878,388.341
1983-04-16,213.290,184.243,221.330
1983-05-16,504.010,258.411,379.023
1983-06-16,632.380,451.957,777.184
1983-07-16,286.500,388.920,288.096
1983-08-16,76.630,203.562,48.718
1983-09-16,28.900,84.283,44.276
1983-10-16,23.760,42.238,98.925
1983-11-16,225.130,150.879,133.510
1983-12-16,153.450,367.414,283.192
1984-01-16,144.210,188.449,123.362
1984-02-16,98.370,89.345,74.643
1984-03-16,137.020,120.092,90.320
1984-04-16,156.540,113.805,132.824
1984-05-16,297.060,207.499,332.229
1984-06-16,147.750,274.184,452.489
1984-07-16,41.250,151.426,52.769
1984-08-16,9.510,46.554,11.039
1984-09-16,0.010,23.769,7.876
1984-10-16,10.980,17.866,13.337
1984-11-16,47.680,19.756,34.765
1984-12-16,31.160,65.639,125.462
1985-01-16,26.050,54.621,50.109
1985-02-16,48.090,60.028,39.881
1985-03-16,78.630,109.500,87.609
1985-04-16,205.960,170.049,212.403
1985-05-16,171.160,216.406,365.855
1985-06-16,52.530,137.518,96.443
1985-07-16,3.470,46.275,15.336
1985-08-16,0.000,23.104,6.287
1985-09-16,2.330,16.201,3.877
1985-10-16,0.000,15.482,9.488
1985-11-16,40.271,14.673,12.902
1985-12-16,43.461,27.222,35.844
1986-01-16,98.977,112.713,87.605
1986-02-16,532.074,542.925,466.583
1986-03-16,352.657,378.076,297.863
1986-04-16,252.875,174.799,212.205
1986-05-16,300.463,196.953,296.329
1986-06-16,214.736,284.932,483.416
1986-07-16,56.527,110.011,27.847
1986-08-16,19.067,34.460,10.091
1986-09-16,25.097,20.858,5.985
1986-10-16,13.370,16.588,10.513
1986-11-16,3.187,14.857,14.197
1986-12-16,8.916,14.448,12.597
1987-01-16,12.804,13.660,11.054
1987-02-16,28.864,21.863,27.291
1987-03-16,58.541,93.372,78.628
1987-04-16,103.717,92.423,117.419
1987-05-16,94.242,129.810,157.246
1987-06-16,27.057,46.648,16.695
1987-07-16,11.213,22.894,3.578
1987-08-16,5.959,15.483,0.006
1987-09-16,4.170,13.075,0.000
1987-10-16,3.100,12.288,2.711
1987-11-16,10.407,11.048,3.743
1987-12-16,13.519,11.140,8.744
1988-01-16,26.543,22.562,25.971
1988-02-16,34.972,29.427,28.835
1988-03-16,59.147,54.307,32.566
1988-04-16,86.169,65.177,84.309
1988-05-16,82.998,80.700,88.993
1988-06-16,39.764,78.861,36.903
1988-07-16,12.432,34.659,10.322
1988-08-16,5.882,17.488,2.457
1988-09-16,3.301,12.898,0.000
1988-10-16,8.823,11.997,2.395
1988-11-16,5.970,10.867,3.136
1988-12-16,13.919,11.358,9.479
1989-01-16,17.590,20.715,25.202
1989-02-16,29.890,33.899,29.080
1989-03-16,181.145,263.895,233.341
1989-04-16,233.539,191.141,221.961
1989-05-16,161.540,146.753,183.503
1989-06-16,93.535,122.827,66.287
1989-07-16,23.555,73.234,21.255
1989-08-16,7.488,27.704,7.592
1989-09-16,1.313,17.706,4.891
1989-10-16,22.251,15.945,9.520
1989-11-16,17.364,18.899,30.505
1989-12-16,12.561,26.149,37.156
1990-01-16,24.811,38.719,41.542
1990-02-16,24.011,56.618,36.920
1990-03-16,82.528,111.934,89.541
1990-04-16,133.768,136.953,174.917
1990-05-16,87.323,115.402,130.212
