Date,FNF,Qsim,QsimBC
1979-10-16,29.209,129.612,51.587
1979-11-16,42.254,78.129,89.575
1979-12-16,49.367,59.193,104.756
1980-01-16,532.139,240.985,256.571
1980-02-16,394.146,364.540,499.638
1980-03-16,221.193,398.312,401.719
1980-04-16,312.976,209.736,308.676
1980-05-16,497.417,164.343,341.649
1980-06-16,538.735,171.959,91.360
1980-07-16,346.614,398.745,86.911
1980-08-16,58.826,501.881,114.829
1980-09-16,22.257,279.240,54.505
1980-10-16,11.252,156.540,120.479
1980-11-16,8.336,88.430,155.645
1980-12-16,25.775,61.385,195.051
1981-01-16,48.161,47.295,70.422
1981-02-16,63.489,56.117,80.454
1981-03-16,125.911,94.623,135.815
1981-04-16,243.170,131.808,261.845
1981-05-16,328.483,164.226,347.784
1981-06-16,151.210,271.460,224.744
1981-07-16,21.814,207.776,32.770
1981-08-16,19.142,113.646,13.469
1981-09-16,8.773,69.436,6.530
1981-10-16,29.096,50.958,10.666
1981-11-16,173.742,46.300,25.028
1981-12-16,220.245,95.684,240.091
1982-01-16,227.881,220.963,257.090
1982-02-16,388.399,276.456,336.973
1982-03-16,339.749,411.389,478.766
1982-04-16,660.325,501.730,725.986
1982-05-16,693.110,386.065,817.485
1982-06-16,566.805,439.350,783.512
1982-07-16,322.582,496.083,234.397
1982-08-16,79.983,450.922,79.655
1982-09-16,103.860,248.442,35.145
1982-10-16,152.862,145.096,54.388
1982-11-16,176.231,137.728,345.295
1982-12-16,244.606,257.237,404.760
1983-01-16,261.243,280.118,312.413
1983-02-16,327.834,346.389,393.031
1983-03-16,560.146,550.982,597.037
1983-04-16,303.525,341.495,452.598
1983-05-16,695.933,299.309,633.632
1983-06-16,1016.190,478.564,810.517
1983-07-16,629.625,726.134,762.495
1983-08-16,205.170,537.651,119.005
1983-09-16,58.030,287.323,51.734
1983-10-16,43.833,163.892,145.471
1983-11-16,310.276,123.760,178.459
1983-12-16,402.190,268.669,404.342
1984-01-16,175.424,336.701,566.600
1984-02-16,150.674,189.046,217.690
1984-03-16,199.589,169.726,227.856
1984-04-16,202.815,134.942,265.961
1984-05-16,535.744,143.138,316.652
1984-06-16,329.550,329.090,515.138
1984-07-16,92.967,416.387,142.821
1984-08-16,21.172,238.220,35.359
1984-09-16,6.534,118.529,18.144
1984-10-16,26.106,74.860,18.706
1984-11-16,85.226,52.802,39.871
1984-12-16,48.236,57.980,86.030
1985-01-16,40.637,57.912,96.863
1985-02-16,68.682,55.290,77.666
1985-03-16,125.917,91.108,127.937
1985-04-16,301.904,129.940,255.044
1985-05-16,341.349,192.091,508.858
1985-06-16,134.904,296.186,353.667
1985-07-16,22.584,193.310,28.552
1985-08-16,15.241,105.972,9.624
1985-09-16,17.827,65.108,6.216
1985-10-16,30.726,48.411,10.223
1985-11-16,49.202,37.300,14.192
1985-12-16,94.118,38.389,29.295
1986-01-16,129.323,67.055,104.420
1986-02-16,616.493,314.439,351.957
1986-03-16,492.540,534.019,578.716
1986-04-16,319.713,304.492,347.836
1986-05-16,540.315,255.520,565.042
1986-06-16,506.647,481.840,890.869
1986-07-16,144.170,518.538,316.483
1986-08-16,30.006,224.768,27.600
1986-09-16,17.643,112.863,16.261
1986-10-16,18.326,72.120,17.771
1986-11-16,8.274,49.683,35.191
1986-12-16,13.130,40.342,46.610
1987-01-16,6.352,33.889,32.240
1987-02-16,37.076,30.790,34.562
1987-03-16,88.982,57.859,108.078
1987-04-16,194.340,74.084,178.391
1987-05-16,203.457,144.993,321.778
1987-06-16,64.654,142.041,57.113
1987-07-16,10.193,90.690,12.722
1987-08-16,8.082,59.955,2.626
1987-09-16,2.725,42.799,0.787
1987-10-16,10.666,35.417,1.884
1987-11-16,26.144,29.041,6.072
1987-12-16,50.314,26.633,4.690
1988-01-16,70.422,28.326,12.789
1988-02-16,57.053,32.892,36.906
1988-03-16,104.925,46.445,89.909
1988-04-16,159.417,56.266,176.226
1988-05-16,212.874,76.643,190.135
1988-06-16,98.221,121.097,55.801
1988-07-16,23.503,127.656,18.436
1988-08-16,6.396,81.483,7.591
1988-09-16,0.915,53.369,4.319
1988-10-16,3.554,41.370,5.040
1988-11-16,21.228,32.484,8.314
1988-12-16,26.609,29.292,13.309
1989-01-16,36.544,29.240,22.441
1989-02-16,61.500,32.061,35.211
1989-03-16,285.046,126.468,171.680
1989-04-16,309.418,163.606,301.144
1989-05-16,320.768,161.642,337.150
1989-06-16,207.394,207.687,142.968
1989-07-16,28.061,255.586,53.933
1989-08-16,2.106,148.095,19.129
1989-09-16,9.679,82.632,8.473
1989-10-16,48.807,57.042,11.213
1989-11-16,24.878,42.680,18.893
1989-12-16,21.644,38.393,32.105
1990-01-16,38.235,38.219,48.207
1990-02-16,52.727,42.836,58.617
1990-03-16,129.680,79.840,123.618
1990-04-16,220.291,99.089,199.238
1990-05-16,181.713,140.940,317.400
1990-06-16,100.254,166.116,61.735
1990-07-16,20.080,135.824,21.263
1990-08-16,3.600,85.754,8.162
1990-09-16,0.682,55.975,4.524
1990-10-16,1.249,43.226,6.063
1990-11-16,8.477,33.759,12.121
1990-12-16,4.504,29.673,18.013
1991-01-16,4.977,26.355,4.967
1991-02-16,8.149,21.899,33.294
1991-03-16,167.738,51.947,98.801
1991-04-16,179.569,127.929,258.486
1991-05-16,335.932,122.838,249.880
1991-06-16,295.465,139.777,56.556
1991-07-16,67.290,223.697,33.141
1991-08-16,18.991,140.117,14.327
1991-09-16,6.738,80.194,8.196
1991-10-16,15.712,55.879,11.060
1991-11-16,25.216,41.490,17.897
1991-12-16,17.934,35.325,26.202
1992-01-16,25.329,33.319,27.613
1992-02-16,92.880,49.151,64.201
1992-03-16,114.853,111.733,164.202
1992-04-16,230.294,110.988,218.675
1992-05-16,189.424,182.371,443.950
1992-06-16,46.305,177.450,113.679
1992-07-16,59.231,106.297,12.933
1992-08-16,13.795,67.259,4.758
1992-09-16,4.047,46.539,1.970
1992-10-16,10.431,37.719,3.338
1992-11-16,14.271,30.577,7.147
1992-12-16,45.928,29.765,17.969
1993-01-16,278.432,107.968,173.977
1993-02-16,161.069,183.593,154.829
1993-03-16,319.015,259.264,306.972
1993-04-16,334.965,320.424,397.072
1993-05-16,630.922,313.549,695.946
1993-06-16,524.051,408.441,688.619
1993-07-16,225.810,415.883,127.437
1993-08-16,53.823,300.995,49.325
1993-09-16,24.843,153.102,21.850
1993-10-16,18.787,90.110,30.069
1993-11-16,7.484,57.344,61.591
1993-12-16,18.418,44.354,69.184
1994-01-16,21.904,36.230,39.581
1994-02-16,53.241,33.007,39.569
1994-03-16,108.309,62.038,115.176
1994-04-16,195.219,67.165,174.191
1994-05-16,275.062,90.416,191.283
1994-06-16,118.698,166.340,61.863
1994-07-16,32.885,140.293,20.738
1994-08-16,25.176,83.950,7.558
1994-09-16,9.502,54.192,4.184
1994-10-16,10.217,41.913,4.656
1994-11-16,64.214,33.134,8.456
1994-12-16,57.836,36.489,26.316
1995-01-16,347.701,187.397,222.371
1995-02-16,160.230,254.136,341.947
1995-03-16,578.656,396.092,364.472
1995-04-16,384.947,364.472,522.070
1995-05-16,658.899,384.827,814.181
1995-06-16,810.870,352.146,561.753
1995-07-16,651.643,580.117,358.959
1995-08-16,161.589,575.187,219.494
1995-09-16,35.003,316.517,114.413
1995-10-16,12.041,166.987,155.749
1995-11-16,7.169,91.174,174.710
1995-12-16,71.564,64.123,201.729
