Date,FNF,Qsim,QsimBC
1979-10-16,37.430,50.724,15.250
1979-11-16,81.560,45.789,69.706
1979-12-16,85.200,72.656,192.269
1980-01-16,239.900,131.284,231.574
1980-02-16,312.600,195.927,283.573
1980-03-16,162.500,287.937,404.557
1980-04-16,195.800,212.231,249.839
1980-05-16,201.000,174.172,176.362
1980-06-16,101.900,122.097,59.371
1980-07-16,45.180,92.645,15.993
1980-08-16,5.960,68.064,6.997
1980-09-16,3.730,48.521,1.705
1980-10-16,7.540,38.262,4.989
1980-11-16,10.690,28.333,12.523
1980-12-16,65.370,28.291,30.022
1981-01-16,132.300,38.529,82.325
1981-02-16,162.800,78.116,125.942
1981-03-16,146.100,148.948,190.112
1981-04-16,158.600,173.989,221.662
1981-05-16,124.500,166.674,168.922
1981-06-16,42.060,120.536,58.771
1981-07-16,10.930,90.130,15.487
1981-08-16,2.050,65.063,5.940
1981-09-16,1.080,46.114,1.683
1981-10-16,19.580,36.186,4.219
1981-11-16,261.560,68.157,146.561
1981-12-16,369.320,240.477,543.661
1982-01-16,104.710,283.147,446.015
1982-02-16,274.160,211.266,303.241
1982-03-16,198.130,286.963,395.643
1982-04-16,261.360,249.219,272.327
1982-05-16,301.850,287.345,381.127
1982-06-16,158.140,231.591,175.123
1982-07-16,51.190,158.230,47.491
1982-08-16,11.150,104.217,14.818
1982-09-16,5.520,70.119,7.885
1982-10-16,45.750,51.637,17.029
1982-11-16,54.510,44.172,68.791
1982-12-16,156.480,85.446,283.366
1983-01-16,231.440,150.869,271.404
1983-02-16,284.860,234.968,374.043
1983-03-16,514.810,442.526,549.872
1983-04-16,271.410,366.203,477.694
1983-05-16,560.250,320.182,392.927
1983-06-16,513.720,365.097,462.774
1983-07-16,247.970,287.281,149.787
1983-08-16,76.690,178.109,27.563
1983-09-16,32.530,109.114,16.985
1983-10-16,21.090,77.581,67.506
1983-11-16,143.720,84.406,323.917
1983-12-16,305.810,190.385,442.510
1984-01-16,163.000,223.916,372.214
1984-02-16,113.750,168.473,273.927
1984-03-16,171.530,167.793,201.738
1984-04-16,164.570,174.105,221.714
1984-05-16,262.430,181.840,181.965
1984-06-16,115.760,158.614,86.362
1984-07-16,65.690,122.859,33.596
1984-08-16,15.140,86.325,9.430
1984-09-16,16.730,59.528,6.834
1984-10-16,14.170,44.939,11.217
1984-11-16,147.160,43.116,54.070
1984-12-16,72.390,82.844,246.946
1985-01-16,50.970,91.501,152.294
1985-02-16,61.440,75.681,126.042
1985-03-16,77.000,79.978,119.664
1985-04-16,207.190,94.342,117.746
1985-05-16,122.930,121.735,121.964
1985-06-16,54.390,101.171,38.434
1985-07-16,13.950,82.306,13.191
1985-08-16,8.000,61.541,2.737
1985-09-16,8.120,45.035,1.437
1985-10-16,11.730,38.217,4.946
1985-11-16,12.380,33.974,20.795
1985-12-16,33.750,41.197,95.844
1986-01-16,152.060,66.838,132.882
1986-02-16,499.517,227.618,306.789
1986-03-16,356.720,387.151,503.515
1986-04-16,190.460,305.252,312.302
1986-05-16,194.010,240.091,307.955
1986-06-16,90.860,174.043,106.921
1986-07-16,22.860,121.265,33.405
1986-08-16,8.900,82.667,9.310
1986-09-16,12.360,56.320,6.086
1986-10-16,16.930,43.878,10.299
1986-11-16,12.627,35.237,34.766
1986-12-16,21.413,31.190,44.167
1987-01-16,46.365,28.514,61.673
1987-02-16,107.737,39.215,62.936
1987-03-16,238.150,115.655,158.126
1987-04-16,207.070,159.615,190.709
1987-05-16,157.988,162.659,154.302
1987-06-16,46.680,116.301,47.786
1987-07-16,13.490,84.998,14.372
1987-08-16,12.093,60.466,2.517
1987-09-16,0.000,42.900,1.035
1987-10-16,3.359,33.393,3.537
1987-11-16,9.619,25.346,10.563
1987-12-16,194.537,26.320,20.754
1988-01-16,103.753,38.736,82.784
1988-02-16,104.192,54.748,92.071
1988-03-16,113.200,84.011,139.991
1988-04-16,138.890,112.868,145.391
1988-05-16,140.411,127.385,123.576
1988-06-16,100.639,115.615,44.810
1988-07-16,27.020,97.022,17.317
1988-08-16,7.310,73.271,7.568
1988-09-16,0.000,52.353,3.229
1988-10-16,3.620,41.139,7.786
1988-11-16,59.617,30.623,15.021
1988-12-16,38.468,34.610,65.227
1989-01-16,45.474,43.809,109.661
1989-02-16,48.180,45.245,86.656
1989-03-16,369.891,118.759,165.208
1989-04-16,242.950,201.621,241.803
1989-05-16,157.840,217.972,259.819
1989-06-16,60.899,160.890,93.906
1989-07-16,15.065,112.964,25.055
1989-08-16,8.307,78.107,8.760
1989-09-16,13.730,53.767,3.870
1989-10-16,51.749,42.161,8.428
1989-11-16,20.461,43.405,65.932
1989-12-16,28.768,46.533,119.495
1990-01-16,83.152,54.314,125.205
1990-02-16,42.706,67.097,107.886
1990-03-16,111.934,86.608,152.307
1990-04-16,96.731,99.532,139.570
1990-05-16,156.809,94.712,72.764
1990-06-16,105.680,114.294,42.513
1990-07-16,16.789,103.801,22.752
1990-08-16,3.476,77.444,8.497
1990-09-16,0.601,55.349,6.000
1990-10-16,2.852,43.273,9.978
1990-11-16,5.565,31.713,17.457
1990-12-16,7.956,26.695,22.900
1991-01-16,15.300,22.059,32.483
1991-02-16,28.102,17.313,43.977
1991-03-16,96.545,24.083,45.047
1991-04-16,105.796,51.175,51.057
1991-05-16,124.148,95.748,80.638
1991-06-16,60.346,95.033,34.180
1991-07-16,21.641,78.563,11.242
1991-08-16,11.561,58.681,2.102
1991-09-16,7.172,43.792,1.132
1991-10-16,6.731,34.406,3.771
1991-11-16,10.463,26.585,11.782
1991-12-16,17.164,22.844,20.073
1992-01-16,25.783,18.762,14.094
1992-02-16,154.617,23.834,48.530
1992-03-16,170.343,80.250,115.366
1992-04-16,269.109,144.424,167.632
1992-05-16,182.667,166.899,158.397
1992-06-16,46.040,118.691,55.828
1992-07-16,12.836,89.445,15.298
1992-08-16,2.106,67.625,6.764
1992-09-16,1.717,49.265,2.677
1992-10-16,8.433,39.293,6.500
1992-11-16,17.065,30.670,15.596
1992-12-16,42.020,31.983,55.926
1993-01-16,81.051,40.952,105.444
1993-02-16,161.099,71.835,111.214
1993-03-16,398.404,158.662,195.290
