Date,FNF,Qsim,QsimBC
1979-10-16,5.850,12.681,9.040
1979-11-16,7.540,11.789,13.959
1979-12-16,9.200,12.203,17.142
1980-01-16,87.170,21.204,33.170
1980-02-16,55.410,28.503,36.603
1980-03-16,41.040,33.681,63.899
1980-04-16,91.000,60.917,101.848
1980-05-16,140.480,159.850,260.359
1980-06-16,87.950,100.629,133.922
1980-07-16,41.390,53.584,44.263
1980-08-16,6.480,24.035,7.250
1980-09-16,5.800,14.724,7.131
1980-10-16,5.670,12.544,7.271
1980-11-16,8.680,11.649,12.021
1980-12-16,10.440,11.685,15.646
1981-01-16,9.770,11.446,21.162
1981-02-16,18.780,10.819,14.943
1981-03-16,18.350,15.018,27.452
1981-04-16,37.830,22.557,51.125
1981-05-16,41.160,19.609,46.986
1981-06-16,13.210,12.937,16.554
1981-07-16,1.500,12.159,5.041
1981-08-16,0.460,11.648,1.492
1981-09-16,1.300,10.851,1.491
1981-10-16,7.290,10.927,3.404
1981-11-16,80.430,16.558,35.856
1981-12-16,108.040,49.334,119.140
1982-01-16,40.260,41.683,89.309
1982-02-16,113.140,67.452,162.697
1982-03-16,62.000,76.617,149.790
1982-04-16,132.410,94.590,171.738
1982-05-16,191.370,154.566,236.039
1982-06-16,103.440,108.249,160.580
1982-07-16,42.560,60.969,49.873
1982-08-16,4.940,26.162,9.056
1982-09-16,12.910,15.657,7.342
1982-10-16,30.290,14.049,21.361
1982-11-16,24.820,16.240,72.374
1982-12-16,28.760,19.212,50.291
1983-01-16,23.390,18.859,34.960
1983-02-16,24.490,20.703,34.311
1983-03-16,87.540,50.697,74.831
1983-04-16,86.110,50.955,88.252
1983-05-16,279.720,127.186,172.407
1983-06-16,254.210,202.118,285.229
1983-07-16,92.690,89.062,87.559
1983-08-16,31.290,36.645,14.545
1983-09-16,8.300,19.556,12.979
1983-10-16,16.120,13.743,24.624
1983-11-16,84.580,18.596,90.330
1983-12-16,80.390,37.979,99.284
1984-01-16,48.440,38.109,75.724
1984-02-16,27.720,23.145,35.643
1984-03-16,57.890,33.138,61.074
1984-04-16,67.730,51.526,89.073
1984-05-16,125.270,105.594,157.282
1984-06-16,67.290,88.078,100.596
1984-07-16,19.630,40.575,25.752
1984-08-16,6.070,20.742,6.299
1984-09-16,9.040,13.238,5.659
1984-10-16,0.000,12.287,6.350
1984-11-16,19.290,11.522,9.393
1984-12-16,12.740,11.632,14.939
1985-01-16,10.570,11.300,15.971
1985-02-16,12.380,10.045,14.180
1985-03-16,23.920,11.936,22.909
1985-04-16,88.600,31.772,66.590
1985-05-16,69.200,32.096,68.338
1985-06-16,22.890,18.578,32.483
1985-07-16,6.110,14.595,7.630
1985-08-16,2.100,12.350,2.881
1985-09-16,3.200,11.516,2.975
1985-10-16,5.032,11.486,4.500
1985-11-16,8.515,10.767,6.548
1985-12-16,11.195,11.023,10.232
1986-01-16,29.232,11.115,11.933
1986-02-16,145.181,41.099,54.925
1986-03-16,156.926,57.000,92.221
1986-04-16,98.051,69.397,106.499
1986-05-16,101.679,89.352,125.386
1986-06-16,73.077,107.348,148.034
1986-07-16,19.143,44.614,34.551
1986-08-16,3.418,20.908,6.441
1986-09-16,6.217,13.282,5.805
1986-10-16,6.049,12.196,5.666
1986-11-16,6.901,11.389,8.549
1986-12-16,8.293,11.368,11.114
1987-01-16,9.683,10.996,11.656
1987-02-16,14.196,9.790,12.369
1987-03-16,24.428,11.539,20.666
1987-04-16,38.970,18.058,38.988
1987-05-16,38.027,14.458,31.422
1987-06-16,5.244,11.230,10.746
1987-07-16,1.500,10.999,3.205
1987-08-16,1.000,10.601,0.566
1987-09-16,3.300,9.896,0.563
1987-10-16,1.480,9.885,2.972
1987-11-16,6.528,9.203,4.771
1987-12-16,10.218,9.335,6.139
1988-01-16,7.961,9.186,5.986
1988-02-16,11.198,8.572,8.748
1988-03-16,18.265,10.332,16.220
1988-04-16,20.092,11.951,16.001
1988-05-16,20.800,10.781,16.527
1988-06-16,10.068,9.539,4.934
1988-07-16,1.463,9.358,0.975
1988-08-16,0.000,9.088,0.000
1988-09-16,0.000,8.574,0.000
1988-10-16,2.239,8.655,0.000
1988-11-16,12.910,8.310,3.196
1988-12-16,9.409,8.437,3.986
1989-01-16,9.221,8.341,4.167
1989-02-16,15.745,7.626,5.885
1989-03-16,87.013,20.847,42.608
1989-04-16,98.865,39.976,82.972
1989-05-16,70.929,43.344,85.633
1989-06-16,45.576,22.243,34.729
1989-07-16,7.019,13.267,6.766
1989-08-16,3.390,12.419,2.852
1989-09-16,4.571,11.508,2.948
1989-10-16,10.002,11.628,4.607
1989-11-16,9.616,11.010,7.262
1989-12-16,8.745,11.400,11.501
1990-01-16,12.554,11.940,23.503
1990-02-16,10.945,10.605,14.624
1990-03-16,31.590,18.403,35.105
1990-04-16,59.494,27.068,59.730
1990-05-16,33.904,15.591,40.318
1990-06-16,18.232,13.196,16.540
1990-07-16,3.791,12.350,5.508
1990-08-16,1.888,11.833,1.789
1990-09-16,3.250,11.008,1.868
1990-10-16,3.406,10.982,3.908
1990-11-16,3.509,10.299,5.483
1990-12-16,4.166,10.314,8.183
1991-01-16,4.475,10.006,9.606
1991-02-16,6.328,8.788,9.905
1991-03-16,24.730,10.268,15.910
1991-04-16,30.420,15.975,29.249
1991-05-16,47.230,20.469,46.130
1991-06-16,34.348,14.463,24.164
1991-07-16,6.792,11.665,4.247
1991-08-16,2.794,11.084,0.991
1991-09-16,2.159,10.286,1.237
1991-10-16,4.434,10.428,3.005
1991-11-16,7.234,9.710,4.995
1991-12-16,6.388,9.795,6.784
1992-01-16,5.953,9.540,7.603
1992-02-16,14.254,9.532,11.494
1992-03-16,22.369,13.831,24.985
1992-04-16,39.927,15.936,28.327
1992-05-16,22.125,12.161,22.395
1992-06-16,6.715,10.220,6.741
1992-07-16,2.323,10.089,1.477
1992-08-16,0.976,9.756,0.002
1992-09-16,1.218,9.174,0.000
1992-10-16,3.601,9.207,1.806
1992-11-16,4.216,8.698,3.981
1992-12-16,10.518,8.970,5.611
1993-01-16,15.964,8.957,5.515
1993-02-16,14.741,8.200,7.690
1993-03-16,76.892,24.000,44.783
1993-04-16,110.359,66.414,102.032
1993-05-16,159.866,91.733,125.896
1993-06-16,96.341,47.298,60.101
1993-07-16,25.017,32.244,20.109
1993-08-16,5.667,18.545,4.238
1993-09-16,3.045,12.711,4.677
1993-10-16,6.071,12.353,6.791
1993-11-16,5.063,11.426,8.614
1993-12-16,8.149,11.432,12.096
1994-01-16,6.008,11.128,12.095
1994-02-16,8.751,9.850,12.723
1994-03-16,24.076,13.728,24.652
1994-04-16,27.770,16.296,38.042
1994-05-16,29.711,15.726,41.312
1994-06-16,9.849,11.480,11.642
1994-07-16,1.022,11.194,3.975
1994-08-16,0.159,10.767,0.984
1994-09-16,1.323,10.045,0.822
1994-10-16,4.547,10.007,2.952
1994-11-16,5.172,9.381,4.937
1994-12-16,8.676,9.507,6.363
1995-01-16,38.972,10.903,11.120
1995-02-16,33.879,14.848,24.489
1995-03-16,117.982,47.524,71.992
1995-04-16,103.488,54.388,91.456
1995-05-16,187.264,107.194,157.655
1995-06-16,170.856,131.418,207.911
1995-07-16,87.654,92.824,96.605
1995-08-16,14.603,38.976,33.280
1995-09-16,5.073,19.452,12.881
1995-10-16,3.792,13.501,19.364
1995-11-16,5.536,11.791,14.017
1995-12-16,25.224,12.604,17.023
1996-01-16,23.229,14.161,27.019
1996-02-16,77.919,36.102,46.682
1996-03-16,65.655,56.008,98.169
1996-04-16,107.478,87.975,134.370
1996-05-16,174.952,133.766,191.671
1996-06-16,62.999,72.464,87.348
1996-07-16,17.266,29.561,18.894
1996-08-16,1.004,16.808,4.064
1996-09-16,0.000,12.526,4.544
1996-10-16,3.240,12.308,6.576
1996-11-16,20.714,11.703,11.578
1996-12-16,67.195,19.217,41.053
1997-01-16,212.977,126.856,209.632
1997-02-16,36.785,51.609,126.241
1997-03-16,84.255,55.590,89.242
1997-04-16,105.808,85.683,132.543
1997-05-16,56.146,91.159,136.661
1997-06-16,46.251,49.326,66.774
1997-07-16,10.139,24.120,11.330
1997-08-16,2.005,14.958,3.470
1997-09-16,1.851,12.049,3.286
1997-10-16,4.770,12.064,5.658
1997-11-16,7.769,11.174,8.252
1997-12-16,8.634,11.170,10.480
1998-01-16,23.965,11.299,15.826
1998-02-16,19.957,11.063,16.450
1998-03-16,69.846,26.940,50.503
1998-04-16,80.221,35.360,76.242
1998-05-16,124.867,78.086,105.694
1998-06-16,140.205,100.331,108.645
1998-07-16,51.091,63.026,50.200
1998-08-16,3.535,28.217,11.903
1998-09-16,12.231,16.358,8.608
1998-10-16,6.593,12.857,11.368
1998-11-16,14.006,12.097,17.091
1998-12-16,15.666,13.030,19.900
1999-01-16,21.571,13.449,25.752
1999-02-16,22.983,16.648,32.788
1999-03-16,56.349,34.173,66.047
1999-04-16,86.580,48.410,86.230
1999-05-16,164.486,119.780,171.271
1999-06-16,105.631,98.254,106.156
1999-07-16,24.050,46.576,41.767
1999-08-16,6.908,22.291,6.470
1999-09-16,4.480,13.902,6.100
1999-10-16,7.088,12.559,7.391
1999-11-16,8.554,11.544,9.758
1999-12-16,7.675,11.547,13.404
2000-01-16,21.810,11.568,23.253
2000-02-16,32.033,13.904,20.422
2000-03-16,42.713,22.539,45.499
2000-04-16,84.157,53.963,96.988
2000-05-16,85.911,61.807,99.586
2000-06-16,33.912,37.325,55.768
2000-07-16,4.822,21.755,10.055
2000-08-16,1.090,14.050,3.417
2000-09-16,0.000,11.827,3.207
2000-10-16,4.766,11.752,4.801
2000-11-16,5.680,11.040,7.589
2000-12-16,6.345,11.013,10.401
2001-01-16,6.940,10.695,10.727
2001-02-16,8.703,9.428,11.186
2001-03-16,23.395,11.164,18.649
2001-04-16,28.348,14.766,26.848
2001-05-16,44.681,13.720,26.892
2001-06-16,6.368,10.765,9.848
2001-07-16,1.554,10.626,1.542
