Date,FNF,Qsim,QsimBC
1979-10-16,1.110,2.171,2.054
1979-11-16,1.290,3.404,2.207
1979-12-16,1.050,5.103,3.151
1980-01-16,7.140,22.461,12.916
1980-02-16,4.390,11.056,12.392
1980-03-16,3.970,9.151,9.619
1980-04-16,15.330,6.624,6.455
1980-05-16,28.820,33.352,22.799
1980-06-16,19.310,30.221,18.615
1980-07-16,11.630,17.490,15.410
1980-08-16,3.630,5.448,5.055
1980-09-16,2.330,2.772,2.915
1980-10-16,1.580,1.947,1.821
1980-11-16,1.360,1.549,1.428
1980-12-16,1.470,2.057,1.414
1981-01-16,1.420,3.284,2.142
1981-02-16,2.300,3.018,2.095
1981-03-16,2.880,4.020,3.644
1981-04-16,11.740,10.580,8.266
1981-05-16,11.750,23.979,14.662
1981-06-16,4.690,9.139,6.384
1981-07-16,2.140,4.216,2.033
1981-08-16,1.460,2.355,1.206
1981-09-16,0.750,1.443,0.802
1981-10-16,1.130,1.069,0.875
1981-11-16,6.280,6.003,2.965
1981-12-16,9.710,14.209,11.034
1982-01-16,4.730,10.613,6.716
1982-02-16,10.090,6.525,3.974
1982-03-16,7.380,8.967,8.772
1982-04-16,17.370,11.528,9.411
1982-05-16,37.580,54.432,38.030
1982-06-16,25.160,39.373,30.847
1982-07-16,11.990,13.295,12.523
1982-08-16,4.100,4.987,4.328
1982-09-16,2.970,3.083,3.183
1982-10-16,4.890,6.006,3.499
1982-11-16,5.240,10.179,10.768
1982-12-16,3.950,6.246,3.231
1983-01-16,3.420,4.080,2.246
1983-02-16,3.090,2.716,1.997
1983-03-16,4.820,2.886,3.098
1983-04-16,6.590,3.387,1.771
1983-05-16,38.080,24.527,14.706
1983-06-16,59.310,81.081,59.043
1983-07-16,26.600,36.429,29.729
1983-08-16,13.100,8.192,7.263
1983-09-16,7.160,5.336,6.307
1983-10-16,3.210,5.709,4.778
1983-11-16,9.280,8.513,5.189
1983-12-16,8.910,7.875,3.961
1984-01-16,6.200,6.296,3.867
1984-02-16,4.090,3.789,2.932
1984-03-16,7.470,3.034,3.236
1984-04-16,14.630,5.807,5.617
1984-05-16,30.460,48.297,37.494
1984-06-16,16.850,31.026,21.099
1984-07-16,6.550,9.369,7.278
1984-08-16,3.030,4.354,3.809
1984-09-16,2.300,2.498,2.643
1984-10-16,2.110,1.854,1.693
1984-11-16,2.690,3.679,2.242
1984-12-16,3.150,4.372,1.978
1985-01-16,2.520,3.074,2.038
1985-02-16,2.360,2.026,1.419
1985-03-16,2.960,1.853,2.304
1985-04-16,16.470,12.187,10.034
1985-05-16,14.990,34.394,25.515
1985-06-16,6.720,8.511,5.595
1985-07-16,2.760,3.862,1.815
1985-08-16,2.250,2.180,1.055
1985-09-16,1.970,1.621,1.014
1985-10-16,1.430,2.493,2.556
1985-11-16,1.440,3.539,2.241
1985-12-16,1.980,3.272,1.753
1986-01-16,3.330,2.839,1.920
1986-02-16,8.700,3.359,2.423
1986-03-16,18.250,10.622,11.251
1986-04-16,23.200,21.941,17.230
1986-05-16,29.660,46.498,35.393
1986-06-16,20.800,30.831,20.531
1986-07-16,7.420,7.317,5.490
1986-08-16,3.610,3.626,2.510
1986-09-16,2.580,2.182,2.065
1986-10-16,1.880,2.139,2.018
1986-11-16,1.620,2.094,1.598
1986-12-16,2.040,1.783,1.238
1987-01-16,2.050,1.458,1.253
1987-02-16,1.870,1.194,1.235
1987-03-16,2.760,2.039,2.370
1987-04-16,9.200,15.310,15.052
1987-05-16,12.030,13.448,7.208
1987-06-16,3.210,6.262,2.927
1987-07-16,2.020,3.736,1.719
1987-08-16,1.440,2.248,1.150
