Date,FNF,Qsim,QsimBC
1979-10-16,2.990,7.405,5.222
1979-11-16,2.990,5.485,4.129
1979-12-16,3.100,4.886,3.897
1980-01-16,10.240,9.920,7.315
1980-02-16,6.770,10.699,6.349
1980-03-16,6.530,10.201,6.664
1980-04-16,21.490,23.096,17.964
1980-05-16,53.190,44.714,37.591
1980-06-16,73.710,97.820,78.991
1980-07-16,69.410,131.387,99.216
1980-08-16,18.510,37.306,35.677
1980-09-16,6.690,14.242,14.408
1980-10-16,4.340,9.530,10.367
1980-11-16,3.290,6.668,5.891
1980-12-16,3.080,5.540,4.575
1981-01-16,2.590,5.249,4.019
1981-02-16,3.180,5.415,3.994
1981-03-16,4.310,9.054,6.368
1981-04-16,17.720,19.420,16.088
1981-05-16,35.290,67.617,53.561
1981-06-16,27.350,34.628,46.097
1981-07-16,6.350,14.330,12.677
1981-08-16,2.890,9.048,3.785
1981-09-16,1.810,6.125,2.092
1981-10-16,2.350,4.713,1.956
1981-11-16,7.260,4.911,3.407
1981-12-16,9.020,6.719,5.609
1982-01-16,5.380,8.038,6.023
1982-02-16,11.860,11.852,6.766
1982-03-16,8.770,14.498,9.984
1982-04-16,28.460,21.977,17.790
1982-05-16,74.730,85.869,67.849
1982-06-16,81.010,162.203,122.798
1982-07-16,61.550,89.818,79.841
1982-08-16,23.450,23.980,23.195
1982-09-16,14.550,12.088,9.688
1982-10-16,13.480,11.318,12.304
1982-11-16,10.390,13.510,11.295
1982-12-16,7.170,11.904,9.143
1983-01-16,6.260,9.499,8.012
1983-02-16,5.720,6.878,4.460
1983-03-16,8.740,6.461,4.139
1983-04-16,11.910,11.420,7.559
1983-05-16,61.760,66.133,50.260
1983-06-16,123.000,169.842,128.884
1983-07-16,85.050,124.312,95.784
1983-08-16,40.740,37.738,26.869
1983-09-16,14.630,14.331,13.061
1983-10-16,7.330,9.879,11.254
1983-11-16,10.740,7.811,6.474
1983-12-16,8.730,7.984,7.450
1984-01-16,8.310,8.235,5.500
1984-02-16,5.850,6.972,4.589
1984-03-16,9.940,13.655,8.749
1984-04-16,18.310,25.770,19.219
1984-05-16,68.430,109.130,74.427
1984-06-16,57.330,84.031,73.412
1984-07-16,31.720,21.591,33.523
1984-08-16,10.810,11.794,9.553
1984-09-16,5.970,7.557,3.958
1984-10-16,4.450,5.633,3.281
1984-11-16,4.510,4.715,3.258
1984-12-16,4.180,5.100,3.897
1985-01-16,3.380,4.870,3.580
1985-02-16,3.280,4.090,3.148
1985-03-16,5.360,5.553,3.873
1985-04-16,25.440,30.666,21.684
1985-05-16,42.720,85.611,68.347
1985-06-16,32.540,21.059,36.422
1985-07-16,8.380,12.263,7.986
1985-08-16,3.730,8.014,2.738
1985-09-16,3.640,5.553,1.385
1985-10-16,5.530,4.462,1.465
1985-11-16,4.090,3.976,3.009
1985-12-16,4.610,4.220,3.267
1986-01-16,5.280,4.610,3.490
1986-02-16,11.710,11.980,7.416
1986-03-16,21.850,21.958,15.179
1986-04-16,31.230,47.600,28.415
1986-05-16,67.690,118.564,107.121
1986-06-16,89.850,79.813,70.235
1986-07-16,35.540,19.293,22.019
1986-08-16,11.770,10.869,6.050
1986-09-16,5.320,7.055,3.549
1986-10-16,4.670,5.316,3.010
1986-11-16,3.020,4.006,3.071
1986-12-16,3.300,3.368,2.535
1987-01-16,2.880,2.797,2.232
1987-02-16,2.880,2.225,2.146
1987-03-16,3.730,3.059,2.827
1987-04-16,15.910,31.441,23.463
1987-05-16,27.770,23.023,23.235
1987-06-16,14.040,12.912,12.304
1987-07-16,3.960,9.576,4.467
1987-08-16,2.210,6.841,2.005
1987-09-16,1.320,4.941,1.151
1987-10-16,1.331,3.945,1.255
1987-11-16,3.060,3.031,1.344
1987-12-16,8.640,2.587,1.359
1988-01-16,4.020,2.269,1.754
1988-02-16,3.740,2.148,2.098
1988-03-16,4.870,8.132,5.232
1988-04-16,11.090,35.816,25.764
1988-05-16,23.210,18.463,21.872
1988-06-16,19.910,13.169,12.527
1988-07-16,6.670,9.719,4.114
1988-08-16,2.680,6.876,2.097
1988-09-16,1.490,4.940,1.150
1988-10-16,1.320,3.937,1.241
1988-11-16,1.800,3.022,1.337
1988-12-16,2.210,2.539,1.292
1989-01-16,2.520,2.117,1.366
1989-02-16,3.090,1.779,1.517
1989-03-16,9.740,9.653,6.464
1989-04-16,25.910,29.326,20.134
1989-05-16,38.880,64.911,50.202
1989-06-16,46.370,49.742,48.962
1989-07-16,14.590,17.011,16.578
1989-08-16,5.160,10.231,5.817
1989-09-16,3.540,6.792,2.927
1989-10-16,3.530,5.475,3.172
1989-11-16,3.160,5.061,3.717
1989-12-16,2.690,6.199,5.168
1990-01-16,2.000,5.894,4.811
1990-02-16,2.400,4.800,3.742
1990-03-16,6.570,8.416,5.446
1990-04-16,19.940,44.501,28.293
1990-05-16,22.692,24.240,27.468
1990-06-16,19.570,15.202,18.601
1990-07-16,8.060,11.347,6.264
1990-08-16,3.300,8.575,3.443
1990-09-16,1.460,6.391,2.258
1990-10-16,1.340,5.114,2.349
1990-11-16,1.360,3.927,2.973
1990-12-16,1.310,3.314,2.479
1991-01-16,1.390,2.778,2.224
1991-02-16,1.410,2.218,2.167
1991-03-16,2.690,2.769,2.926
1991-04-16,7.080,15.295,13.037
1991-05-16,31.820,32.764,30.584
1991-06-16,47.390,43.958,46.722
1991-07-16,14.660,16.245,14.144
1991-08-16,3.890,10.013,5.092
1991-09-16,2.300,6.687,2.819
1991-10-16,1.690,5.116,2.370
1991-11-16,3.490,3.922,2.846
1991-12-16,2.790,3.840,3.137
1992-01-16,2.290,3.765,3.207
1992-02-16,2.580,3.730,3.014
1992-03-16,3.870,8.312,5.561
1992-04-16,18.490,43.949,28.049
1992-05-16,30.500,24.393,25.414
1992-06-16,12.340,12.301,11.623
1992-07-16,6.960,8.631,3.542
1992-08-16,2.430,6.325,1.535
1992-09-16,1.400,4.696,1.077
1992-10-16,1.250,3.819,1.125
1992-11-16,1.650,2.996,1.239
1992-12-16,1.600,2.810,2.153
1993-01-16,2.230,2.723,1.994
1993-02-16,2.140,2.324,2.467
1993-03-16,8.600,12.764,7.759
1993-04-16,19.412,39.224,25.964
1993-05-16,71.610,115.020,96.234
1993-06-16,72.990,69.837,63.594
1993-07-16,45.260,30.473,37.101
1993-08-16,13.300,13.559,10.852
1993-09-16,5.090,8.134,4.624
1993-10-16,3.280,5.956,3.868
1993-11-16,2.710,4.355,3.177
1993-12-16,2.520,3.564,2.871
1994-01-16,2.340,2.913,2.341
1994-02-16,2.040,2.251,2.366
1994-03-16,4.260,4.629,3.468
1994-04-16,14.530,15.236,12.429
1994-05-16,33.070,37.565,31.816
1994-06-16,21.990,21.196,38.192
1994-07-16,5.320,11.843,7.023
1994-08-16,2.240,7.919,2.723
1994-09-16,1.320,5.528,1.393
1994-10-16,3.280,4.337,1.388
1994-11-16,4.240,3.453,2.020
