Date,FNF,Qsim,QsimBC
1979-10-16,36.470,39.694,45.652
1979-11-16,74.380,38.518,110.005
1979-12-16,127.190,81.797,144.606
1980-01-16,945.710,908.820,846.609
1980-02-16,598.840,647.982,670.326
1980-03-16,315.690,460.219,458.482
1980-04-16,335.990,209.060,223.367
1980-05-16,397.220,208.199,284.105
1980-06-16,224.370,135.929,125.963
1980-07-16,86.110,92.577,41.389
1980-08-16,25.440,54.493,17.901
1980-09-16,18.550,41.644,19.039
1980-10-16,21.120,37.226,30.985
1980-11-16,25.120,32.405,50.032
1980-12-16,55.440,30.843,44.559
1981-01-16,101.320,32.617,40.635
1981-02-16,166.400,137.917,102.936
1981-03-16,226.640,270.352,244.232
1981-04-16,248.740,254.073,317.557
1981-05-16,179.430,158.898,198.824
1981-06-16,46.680,83.539,60.378
1981-07-16,16.810,58.971,20.387
1981-08-16,12.210,45.820,12.355
1981-09-16,0.000,36.516,12.501
1981-10-16,40.170,33.662,20.641
1981-11-16,613.440,348.123,549.479
1981-12-16,777.120,807.353,1047.552
1982-01-16,375.900,446.070,454.861
1982-02-16,669.230,601.899,566.352
1982-03-16,468.080,495.648,517.395
1982-04-16,885.170,727.056,797.001
1982-05-16,635.660,423.534,613.618
1982-06-16,304.920,256.169,398.857
1982-07-16,101.090,143.185,113.629
1982-08-16,26.470,65.092,45.025
1982-09-16,29.140,45.357,25.630
1982-10-16,119.320,41.840,49.010
1982-11-16,190.520,110.878,342.606
1982-12-16,361.350,424.874,497.341
1983-01-16,309.610,378.528,341.309
1983-02-16,565.660,584.648,554.947
1983-03-16,926.430,891.915,1001.663
1983-04-16,428.030,416.893,465.052
1983-05-16,714.990,433.391,634.002
1983-06-16,713.380,460.352,757.217
1983-07-16,275.210,329.050,309.407
1983-08-16,61.550,112.704,65.233
1983-09-16,33.080,56.862,40.378
1983-10-16,51.200,45.044,119.404
1983-11-16,519.170,328.921,583.622
1983-12-16,816.280,702.501,893.538
1984-01-16,308.410,402.357,374.547
1984-02-16,243.570,232.640,201.928
1984-03-16,325.650,293.629,285.119
1984-04-16,254.720,240.656,283.684
1984-05-16,395.610,254.798,357.996
1984-06-16,175.130,248.791,334.320
1984-07-16,41.450,108.234,82.177
1984-08-16,13.530,57.560,25.373
1984-09-16,18.680,43.058,20.438
1984-10-16,33.660,37.834,35.000
1984-11-16,172.430,50.710,181.007
1984-12-16,96.550,142.540,212.143
1985-01-16,60.980,112.748,103.102
1985-02-16,126.980,156.923,138.053
1985-03-16,162.240,204.181,172.760
1985-04-16,327.960,270.249,318.608
1985-05-16,233.010,198.620,282.403
1985-06-16,60.870,93.809,74.091
1985-07-16,13.740,59.987,22.749
1985-08-16,13.490,45.794,12.160
1985-09-16,16.660,36.675,12.753
1985-10-16,36.015,33.653,20.605
1985-11-16,53.445,29.313,28.076
1985-12-16,112.286,59.446,120.150
1986-01-16,275.109,215.413,209.654
1986-02-16,1351.200,1213.787,1439.128
1986-03-16,791.545,730.068,752.867
1986-04-16,317.480,284.476,326.928
1986-05-16,294.265,220.184,304.965
1986-06-16,144.379,177.105,190.103
1986-07-16,36.231,87.159,41.015
1986-08-16,17.686,53.980,16.138
1986-09-16,41.983,41.368,18.732
1986-10-16,37.149,37.079,28.820
1986-11-16,23.822,33.017,52.739
1986-12-16,26.339,33.041,52.654
1987-01-16,48.761,35.297,50.809
1987-02-16,155.869,126.769,101.307
1987-03-16,217.800,259.134,227.681
1987-04-16,199.700,187.498,193.676
1987-05-16,113.785,124.832,157.256
1987-06-16,24.786,69.315,28.104
1987-07-16,16.000,52.319,13.724
1987-08-16,12.550,41.589,5.784
1987-09-16,6.449,34.163,8.630
1987-10-16,6.474,31.501,17.139
1987-11-16,17.422,27.405,21.343
1987-12-16,141.051,39.968,86.286
1988-01-16,155.886,185.320,172.934
1988-02-16,92.695,143.022,129.767
